unit_id,predictor_viability_fraction_vs_simple
E153::Frangieh,
E153::Lara_exvivo,
E153::Liang,
E153::Nadig_two_cellline,
E153::Replogle_two_cellline,
E153::Santinha,
E153::Shifrut,
E153::Tian_CRISPRi,
E96::Norman_P1,
E96::Norman_P2,
E159::Norman_P3::official,
E159::Norman_P3::raw_log_prob,
E159::Norman_P4::official,
E159::Norman_P4::raw_log_prob,
E165::Wessels::PRESCRIBE_seed3407,0.60416666666666663
E165::Wessels::PRESCRIBE_seed3408,0.60416666666666663
E165::Wessels::PRESCRIBE_seed3409,0.60416666666666663
E87::sciPlex3_to_OpenProblems,0
E89::sciPlex3_to_sciPlex4,0.6785714285714286
