manifest_id,task_key,context,perturbation_key,dose_key,quadrant,n_cells,predicted_effect_key,predicted_magnitude_cpa,target_truth_used_for_prediction,predicted_magnitude_ridge,cpa_ridge_disagreement_rmse,error_cpa_rmse,error_ridge_rmse,pair_mean_rmse,pair_max_rmse,true_magnitude_oracle,target_truth_used_for_scores,predicted_magnitude_mean,predicted_magnitude_max
E81_r1_p75,A549::Alvespimycin::dose=10.0,A549,Alvespimycin,10.0,new_context_seen_perturbation,114,E83::E81_r1_p75::A549::Alvespimycin::dose=10.0::CPA_RDKIT::pred,0.3891097605228424,False,0.07901662588119507,0.39710041880607605,0.3979003429412842,0.12018150091171265,0.2590409219264984,0.3979003429412842,0.0878438726067543,False,0.23406319320201874,0.3891097605228424
E81_r1_p75,A549::Alvespimycin::dose=100.0,A549,Alvespimycin,100.0,new_context_seen_perturbation,91,E83::E81_r1_p75::A549::Alvespimycin::dose=100.0::CPA_RDKIT::pred,0.3891315758228302,False,0.1113329529762268,0.40393608808517456,0.4327950179576874,0.19819030165672302,0.3154926598072052,0.4327950179576874,0.18122269213199615,False,0.2502322643995285,0.3891315758228302
E81_r1_p75,A549::Alvespimycin::dose=1000.0,A549,Alvespimycin,1000.0,new_context_seen_perturbation,66,E83::E81_r1_p75::A549::Alvespimycin::dose=1000.0::CPA_RDKIT::pred,0.3888909220695495,False,0.15046590566635132,0.4153800308704376,0.4338114261627197,0.22867797315120697,0.33124469965696335,0.4338114261627197,0.19648398458957672,False,0.26967841386795044,0.3888909220695495
E81_r1_p75,A549::Alvespimycin::dose=10000.0,A549,Alvespimycin,10000.0,new_context_seen_perturbation,61,E83::E81_r1_p75::A549::Alvespimycin::dose=10000.0::CPA_RDKIT::pred,0.3882879614830017,False,0.19229796528816223,0.431012898683548,0.43392300605773926,0.2524193823337555,0.3431711941957474,0.43392300605773926,0.19543644785881042,False,0.29029296338558197,0.3882879614830017
E81_r1_p75,A549::Belinostat::dose=10.0,A549,Belinostat,10.0,new_context_seen_perturbation,103,E83::E81_r1_p75::A549::Belinostat::dose=10.0::CPA_RDKIT::pred,0.3876464962959289,False,0.07668399810791016,0.3985079824924469,0.4015413522720337,0.10396957397460938,0.25275546312332153,0.4015413522720337,0.08538084477186203,False,0.23216524720191953,0.3876464962959289
E81_r1_p75,A549::Belinostat::dose=100.0,A549,Belinostat,100.0,new_context_seen_perturbation,109,E83::E81_r1_p75::A549::Belinostat::dose=100.0::CPA_RDKIT::pred,0.389676421880722,False,0.12443085014820099,0.4195825755596161,0.41743332147598267,0.15203030407428741,0.28473181277513504,0.41743332147598267,0.11140452325344086,False,0.2570536360144615,0.389676421880722
E81_r1_p75,A549::Belinostat::dose=1000.0,A549,Belinostat,1000.0,new_context_seen_perturbation,128,E83::E81_r1_p75::A549::Belinostat::dose=1000.0::CPA_RDKIT::pred,0.3879436552524566,False,0.186611607670784,0.44685763120651245,0.4384148120880127,0.24469849467277527,0.341556653380394,0.4384148120880127,0.20450524985790253,False,0.28727763146162033,0.3879436552524566
E81_r1_p75,A549::Belinostat::dose=10000.0,A549,Belinostat,10000.0,new_context_seen_perturbation,73,E83::E81_r1_p75::A549::Belinostat::dose=10000.0::CPA_RDKIT::pred,0.392018973827362,False,0.2527904212474823,0.48764029145240784,0.43344560265541077,0.38158300518989563,0.4075143039226532,0.43344560265541077,0.3845198452472687,False,0.3224046975374222,0.392018973827362
E81_r1_p75,A549::Dacinostat::dose=10.0,A549,Dacinostat,10.0,new_context_seen_perturbation,149,E83::E81_r1_p75::A549::Dacinostat::dose=10.0::CPA_RDKIT::pred,0.3875191211700439,False,0.12503524124622345,0.41010260581970215,0.42471781373023987,0.2017679512500763,0.3132428824901581,0.42471781373023987,0.18852967023849487,False,0.2562771812081337,0.3875191211700439
E81_r1_p75,A549::Dacinostat::dose=100.0,A549,Dacinostat,100.0,new_context_seen_perturbation,115,E83::E81_r1_p75::A549::Dacinostat::dose=100.0::CPA_RDKIT::pred,0.3887086808681488,False,0.1561993509531021,0.42464202642440796,0.41481417417526245,0.26496246457099915,0.3398883193731308,0.41481417417526245,0.2586546242237091,False,0.27245401591062546,0.3887086808681488
