recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,adv_cell_line,penalty_cell_line,acc_cell_line,epoch,mode
1236.8280517578125,,1.0335731182152252,1.1562788572644895,-0.21497917970021568,-1.4213409503300984,,,,,,,,,0,valid
1307.3350771949404,,0.0,0.0,-0.33098314810736557,-0.8711566476702166,3.318213110878354,0.1399212454756101,2.330052863983881,0.07943481251242615,0.09974930577334903,0.9881602724393209,0.04017194183099838,0.5372023809523809,0,train
1173.7505615234375,,1.0647742445946142,1.1475804396910279,-0.07157925963401794,-0.9398344298203787,,,,,,,,,1,valid
1150.9131382533483,,0.0,0.0,-0.006586979531627247,-0.3989682523307363,2.966533978780111,0.09363119162264325,2.2581094673701694,0.13063221992481322,0.06397939774961699,0.7084245114099412,0.02965179422781581,0.8377976190476191,1,train
1075.19658203125,,1.0645525960444204,1.147294787418119,0.11138290166854858,-0.2518882155418396,,,,,,,,,2,valid
1038.0569109235491,,0.0,0.0,0.15326705148198355,-0.12075252463461975,2.7025063264937628,0.0637638485502629,2.1801544484638034,0.1513696401601746,0.041992912867239544,0.5223518652575356,0.02177093577172075,0.9099702380952381,2,train
958.9574462890625,,1.0938591715567172,1.1621059152317217,0.27375495235125225,0.05560870369275411,,,,,,,,,3,valid
955.5231788271949,,0.0,0.0,0.24630774207740155,-0.06830280714230932,2.486880029950823,0.04539317974732036,2.10201514902569,0.19434480972233273,0.0295874827674457,0.38486485396112713,0.01580569702422335,0.9337797619047619,3,train
884.174951171875,,1.0816910254821601,1.1533879279143793,0.37245391805966693,0.18436346848805746,,,,,,,,,4,valid
903.2711326962426,,0.0,0.0,0.29330596419582805,-0.03387776366161742,2.299647501536778,0.031683435663580894,2.0210298015957786,0.22584233184655508,0.02087679851268019,0.2786176914260501,0.010806637283946787,0.9605654761904762,4,train
830.3912841796875,,1.0880478957398494,1.166415263748597,0.4273434400558472,0.18809974789619446,,,,,,,,,5,valid
872.9065900530134,,0.0,0.0,0.328603919033382,-0.07995141291456952,2.1792702674865723,0.024850575342064814,1.9543963273366292,0.2399168461561203,0.016457026159124716,0.2248739351828893,0.008393549271637485,0.96875,5,train
816.9907348632812,,1.0456111260462277,1.14113510861212,0.4530322949091593,0.17549299001693724,,,,,,,,,6,valid
852.4936174665179,,0.0,0.0,0.3521525239989577,-0.0850607127669741,2.1245886711847213,,1.9149616389047532,0.235013457990828,,0.20962701170217424,,0.9717261904761905,6,train
778.0782592773437,,1.062084677456053,1.1516611187033212,0.5019843916098277,0.15418897867202758,,,,,,,,,7,valid
829.0483834402902,,0.0,0.0,0.3793453777495045,-0.09154712430150987,2.129386141186669,,1.9116049096697854,0.2581332056295304,,0.21778124287014916,,0.9702380952380952,7,train
778.985546875,,1.04237652611125,1.1417962460248796,0.5043894628683726,0.1779017527898153,,,,,,,,,8,valid
824.1813034784226,,0.0,0.0,0.3789314512243402,-0.06782514247434591,2.1776425384339833,,1.9219631581079393,0.2432201433749426,,0.2556793654248828,,0.9538690476190477,8,train
747.6797119140625,,1.034647126341576,1.144725329210813,0.5481942176818848,0.08150533239046734,,,,,,,,,9,valid
804.7358543759301,,0.0,0.0,0.4099142236962453,-0.09397025618158752,2.153759468169439,,1.899498014223008,0.25361037254333496,,0.254261457494327,,0.9516369047619048,9,train
