schema_version,record_id,task_id,task_key,dataset_name,dataset_group,fold_id,split,context,perturbation,predictor_name,run_type,gene_panel_id,gene_order_hash,effect_definition,normalization_id,error_normalization,predicted_effect_key,true_effect_key,true_error_rmse,true_error_cosine,gears_uncertainty_logvar_mean,gears_uncertainty_confidence,n_cells,adapter_remediation_version,source_records_csv,source_predicted_npz,source_true_npz,gene_panel_source_h5ad,predicted_effect_l2,predicted_effect_abs_mean,predicted_effect_nonzero_frac,true_effect_l2_diagnostic,true_effect_abs_mean_diagnostic,rmse_over_true_effect_rms_diagnostic,log1p_n_cells,low_support_risk
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::PDIA6+ctrl,PDIA6+ctrl,adamson::PDIA6+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,PDIA6+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::PDIA6+ctrl::pred,GEARS::adamson::seed2::single::PDIA6+ctrl::true,0.0342201218008995,0.9214245011252612,,,618,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.7283214330673218,0.013246463611721992,0.999603410668253,1.84950852394104,0.008180779404938221,1.3139218387416354,6.428105272684596,-6.428105272684596
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::PSMD12+ctrl,PSMD12+ctrl,adamson::PSMD12+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,PSMD12+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::PSMD12+ctrl::pred,GEARS::adamson::seed2::single::PSMD12+ctrl::true,0.0548688806593418,0.9167628046835052,,,63,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,2.5696167945861816,0.022488944232463837,0.9994051160023796,3.150763988494873,0.02671835385262966,1.2366722443602762,4.1588830833596715,-4.1588830833596715
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::UFM1+ctrl,UFM1+ctrl,adamson::UFM1+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,UFM1+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::UFM1+ctrl::pred,GEARS::adamson::seed2::single::UFM1+ctrl::true,0.0230501722544431,0.6273751989096203,,,723,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.5023764371871948,0.011789429932832718,0.9994051160023796,1.417531967163086,0.00995814148336649,1.1547436432277458,6.584791392385716,-6.584791392385716
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::YIPF5+ctrl,YIPF5+ctrl,adamson::YIPF5+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,YIPF5+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::YIPF5+ctrl::pred,GEARS::adamson::seed2::single::YIPF5+ctrl::true,0.0337443575263023,0.5229118790022782,,,1457,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,2.113853693008423,0.015624566935002804,0.999603410668253,2.5221173763275146,0.013596252538263798,0.9501238751405279,7.284820912568604,-7.284820912568604
safeconf_prediction_record_v1,GEARS::adamson::seed3::single::AMIGO3+ctrl,AMIGO3+ctrl,adamson::AMIGO3+ctrl,adamson,gears_crispr_group,3,test,GEARS_single_heldout,AMIGO3+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed3::single::AMIGO3+ctrl::pred,GEARS::adamson::seed3::single::AMIGO3+ctrl::true,0.0250233840197324,0.5505014361376765,,,750,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.981245517730713,0.014854269102215767,0.9970255800118977,1.0504118204116821,0.008132434450089931,1.6917283646113084,6.621405651764134,-6.621405651764134
safeconf_prediction_record_v1,GEARS::adamson::seed3::single::ATF4+ctrl,ATF4+ctrl,adamson::ATF4+ctrl,adamson,gears_crispr_group,3,test,GEARS_single_heldout,ATF4+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed3::single::ATF4+ctrl::pred,GEARS::adamson::seed3::single::ATF4+ctrl::true,0.0347613915801048,0.9085200775186228,,,382,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.971427083015442,0.014800680801272392,0.9972238746777712,1.6769189834594727,0.01337915938347578,1.4720730874119365,5.948034989180646,-5.948034989180646
safeconf_prediction_record_v1,GEARS::adamson::seed3::single::EIF2S1+ctrl,EIF2S1+ctrl,adamson::EIF2S1+ctrl,adamson,gears_crispr_group,3,test,GEARS_single_heldout,EIF2S1+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed3::single::EIF2S1+ctrl::pred,GEARS::adamson::seed3::single::EIF2S1+ctrl::true,0.1124528124928474,0.4067373842781697,,,534,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.9674986600875854,0.014879276975989342,0.9970255800118977,8.994333267211914,0.05855756253004074,0.8878626691497553,6.282266746896006,-6.282266746896006
safeconf_prediction_record_v1,GEARS::adamson::seed3::single::FARSB+ctrl,FARSB+ctrl,adamson::FARSB+ctrl,adamson,gears_crispr_group,3,test,GEARS_single_heldout,FARSB+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed3::single::FARSB+ctrl::pred,GEARS::adamson::seed3::single::FARSB+ctrl::true,0.0610308013856411,0.4724606789232097,,,655,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.9552758932113647,0.014292879030108452,0.9970255800118977,5.034585475921631,0.03267915919423103,0.8608545452827454,6.486160788944089,-6.486160788944089
safeconf_prediction_record_v1,GEARS::adamson::seed3::single::GMPPB+ctrl,GMPPB+ctrl,adamson::GMPPB+ctrl,adamson,gears_crispr_group,3,test,GEARS_single_heldout,GMPPB+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed3::single::GMPPB+ctrl::pred,GEARS::adamson::seed3::single::GMPPB+ctrl::true,0.0278720837086439,0.6994037090758067,,,634,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.971477746963501,0.014855758287012577,0.9970255800118977,1.210795283317566,0.009420689195394516,1.634718383309181,6.453624998892692,-6.453624998892692
safeconf_prediction_record_v1,GEARS::adamson::seed3::single::SPCS2+ctrl,SPCS2+ctrl,adamson::SPCS2+ctrl,adamson,gears_crispr_group,3,test,GEARS_single_heldout,SPCS2+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed3::single::SPCS2+ctrl::pred,GEARS::adamson::seed3::single::SPCS2+ctrl::true,0.0421967320144176,0.7064526402008613,,,612,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,3.0159828662872314,0.022516895085573196,0.9974221693436447,1.7020636796951294,0.010559589602053165,1.760545753821169,6.418364935936212,-6.418364935936212
