manifest_id,evidence_role,reference_set,score_name,n_tasks,n_finite,n_nan,n_infinite,n_unique_rounded_12dp,minimum,maximum,standard_deviation,estimability
E81_r1_p75,development_adapter,perturbed_train_only,native_cosine_distance,59,59,0,0,59,0.001515947157183728,0.8169339852432269,0.3716801089744896,ESTIMABLE
E81_r1_p75,development_adapter,perturbed_train_only,native_euclidean_distance,59,59,0,0,55,0.2903535907277138,7.686546743325362,3.2463283867963577,ESTIMABLE
E81_r1_p75,development_adapter,perturbed_train_only,predicted_magnitude_cpa,59,59,0,0,59,0.2100909054279327,0.3995902836322784,0.07750962492282504,ESTIMABLE
E81_r1_p75,development_adapter,perturbed_train_only,cpa_ridge_disagreement_rmse,59,59,0,0,59,0.2089698761701584,0.5125540494918823,0.09298881609801775,ESTIMABLE
E81_r2_p25,formal_manifest,all_explicit_train_conditions,native_cosine_distance,92,92,0,0,92,0.001299821737717144,0.12233882562623655,0.0264453552414113,ESTIMABLE
E81_r2_p25,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,92,92,0,0,55,0.31545063926823713,2.7938927440112664,0.6716183486006726,ESTIMABLE
E81_r2_p25,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,92,92,0,0,92,0.236754834651947,0.3838720917701721,0.04746662871870384,ESTIMABLE
E81_r2_p25,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,92,92,0,0,92,0.2352413684129715,0.4631548523902893,0.07305643620535868,ESTIMABLE
E81_r2_p25,formal_manifest,official_gt30_train_conditions,native_cosine_distance,92,92,0,0,92,0.001299821737717144,0.12233882562623655,0.0264453552414113,ESTIMABLE
E81_r2_p25,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,92,92,0,0,55,0.31545063926823713,2.7938927440112664,0.6716183486006723,ESTIMABLE
E81_r2_p25,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,92,92,0,0,92,0.236754834651947,0.3838720917701721,0.04746662871870384,ESTIMABLE
