manifest_id,evidence_role,gate,observed,required,passed
E81_r1_p75,development_adapter,strict_state_file_sha256,7e457786638cb85a183a82e7ce7b6442ed1c63dc76fccacfa5d28c3866b9d51d,7e457786638cb85a183a82e7ce7b6442ed1c63dc76fccacfa5d28c3866b9d51d,True
E81_r1_p75,development_adapter,strict_load_missing_keys,0,0,True
E81_r1_p75,development_adapter,strict_load_unexpected_keys,0,0,True
E81_r1_p75,development_adapter,module_eval_mode,True,True,True
E81_r1_p75,development_adapter,parameter_hash_unchanged_after_all_inference,9b9e20d3277f768a9ce1430ddb48819fca2d5c0cb0f0b4430d7bdfd69b842be3,9b9e20d3277f768a9ce1430ddb48819fca2d5c0cb0f0b4430d7bdfd69b842be3,True
E81_r1_p75,development_adapter,pseudo_test_effect_max_abs_difference,4.76837158203125e-07,<= 1e-05,True
E81_r1_p75,development_adapter,pseudo_test_effect_count,59,59,True
E81_r1_p75,development_adapter,test_task_join_one_to_one,59,59,True
E81_r1_p75,development_adapter,distance_rows_per_task,177,177,True
E81_r1_p75,development_adapter,validation_or_test_conditions_in_primary_reference,0,0,True
E81_r1_p75,development_adapter,all_explicit_train_conditions_preserved,38,38,True
E81_r1_p75,development_adapter,reference_provenance_only_train,True,True,True
E81_r1_p75,development_adapter,outcome_columns_absent_from_preoutcome_distance_stage,True,True,True
E81_r1_p75,development_adapter,frozen_model_seed,20260712,20260712,True
E81_r1_p75,development_adapter,frozen_train_task_set_sha256,f289875516cde39be0c52c9a8466e8e14629a34d35fab5082dac465acacc8fdd,f289875516cde39be0c52c9a8466e8e14629a34d35fab5082dac465acacc8fdd,True
E81_r1_p75,development_adapter,frozen_validation_task_set_sha256,08bd10a933a9db8e480a979ebf9da6155c9fa06748b6bafcf672bca5c30b4d2a,08bd10a933a9db8e480a979ebf9da6155c9fa06748b6bafcf672bca5c30b4d2a,True
E81_r1_p75,development_adapter,frozen_primary_reference_condition_sha256,d18fd3495cf627e5612f6ec2148ca6f871acaafccbf20bf88e9b069e2d1a74f7,d18fd3495cf627e5612f6ec2148ca6f871acaafccbf20bf88e9b069e2d1a74f7,True
E81_r1_p25,formal_manifest,strict_state_file_sha256,cf8c449a08ba6bcdc9aecdf89d0429410aacdea078013e614196ea7059329540,cf8c449a08ba6bcdc9aecdf89d0429410aacdea078013e614196ea7059329540,True
E81_r1_p25,formal_manifest,strict_load_missing_keys,0,0,True
E81_r1_p25,formal_manifest,strict_load_unexpected_keys,0,0,True
E81_r1_p25,formal_manifest,module_eval_mode,True,True,True
E81_r1_p25,formal_manifest,parameter_hash_unchanged_after_all_inference,372ab9742e8fb0a313ce3565fbf8beecadb4dfddd5346b1b698ec096c081ab40,372ab9742e8fb0a313ce3565fbf8beecadb4dfddd5346b1b698ec096c081ab40,True
E81_r1_p25,formal_manifest,pseudo_test_effect_max_abs_difference,5.960464477539062e-07,<= 1e-05,True
E81_r1_p25,formal_manifest,pseudo_test_effect_count,91,91,True
E81_r1_p25,formal_manifest,test_task_join_one_to_one,91,91,True
E81_r1_p25,formal_manifest,distance_rows_per_task,273,273,True
E81_r1_p25,formal_manifest,validation_or_test_conditions_in_primary_reference,0,0,True
E81_r1_p25,formal_manifest,all_explicit_train_conditions_preserved,11,11,True
E81_r1_p25,formal_manifest,reference_provenance_only_train,True,True,True
E81_r1_p25,formal_manifest,outcome_columns_absent_from_preoutcome_distance_stage,True,True,True
E81_r1_p25,formal_manifest,frozen_model_seed,20268400,20268400,True
E81_r1_p25,formal_manifest,frozen_train_task_set_sha256,f3ac95d2509a3cb8dd755342d4ef595d1993ac776a1a9d94b82c20e3bcbde131,f3ac95d2509a3cb8dd755342d4ef595d1993ac776a1a9d94b82c20e3bcbde131,True
E81_r1_p25,formal_manifest,frozen_validation_task_set_sha256,1fd4dc8819a1cf45792bffd7993da32a7f81e95da269061e088be378ab81d9bc,1fd4dc8819a1cf45792bffd7993da32a7f81e95da269061e088be378ab81d9bc,True
E81_r1_p25,formal_manifest,frozen_primary_reference_condition_sha256,b7f2be4b286251b86daba4088c2a447f091014bf53906673b874948708363037,b7f2be4b286251b86daba4088c2a447f091014bf53906673b874948708363037,True
E81_r1_p50,formal_manifest,strict_state_file_sha256,1c79f7976d9a3230a1c88e5192167855b861129c06bf9493f7a2fec99fc727de,1c79f7976d9a3230a1c88e5192167855b861129c06bf9493f7a2fec99fc727de,True
E81_r1_p50,formal_manifest,strict_load_missing_keys,0,0,True
E81_r1_p50,formal_manifest,strict_load_unexpected_keys,0,0,True
E81_r1_p50,formal_manifest,module_eval_mode,True,True,True
E81_r1_p50,formal_manifest,parameter_hash_unchanged_after_all_inference,c625a4ad87a98b4e5123ad87b3c75f40a1cae258e5435607979c5bf79c0b3c42,c625a4ad87a98b4e5123ad87b3c75f40a1cae258e5435607979c5bf79c0b3c42,True
E81_r1_p50,formal_manifest,pseudo_test_effect_max_abs_difference,4.76837158203125e-07,<= 1e-05,True
