artifact_scope,artifact_role,path,bytes,expected_sha256,observed_sha256,hash_locked,hash_match
input,formal_code_lock,/home/yyf/proj/docs/实验结果/E196_cpa_native_support_distance_20260730/E196_CODE_LOCK.json,5539,,b11814c450b10bfd8c963a651dcf16e1ba2c12ed24f3823938bc9b67cdb15359,False,
input,formal_runner,/home/yyf/proj/tools/scripts/run_e196_cpa_native_support_distance.py,105655,aa0a598169452ef13554abbe20226c52d645ae2465b0d548e408ccb03eb47b32,aa0a598169452ef13554abbe20226c52d645ae2465b0d548e408ccb03eb47b32,True,True
input,formal_analysis_freeze,/home/yyf/proj/docs/实验结果/E196_cpa_native_support_distance_20260730/ANALYSIS_FREEZE.md,9385,1785c29d962dc761f004876ff7c4e33a8126f2efe123f1abd8be3f285dd833be,1785c29d962dc761f004876ff7c4e33a8126f2efe123f1abd8be3f285dd833be,True,True
input,frozen_common,/home/yyf/proj/docs/实验结果/E81_sciplex_cartesian_contract_20260712/tables/E81_SPLIT_MANIFEST.csv,155428,00aaed01fece99b55595c982faa75f6b134b4de277a2415a982036eb7ce427e2,00aaed01fece99b55595c982faa75f6b134b4de277a2415a982036eb7ce427e2,True,True
input,frozen_common,/home/yyf/proj/docs/实验结果/E81_sciplex_cartesian_contract_20260712/tables/E81_GENE_PANEL.csv,159507,71cb9dd8d16897f2fa8ebbcdf6cab0981a080847602ba7c3f006be2c3308280e,71cb9dd8d16897f2fa8ebbcdf6cab0981a080847602ba7c3f006be2c3308280e,True,True
input,frozen_common,/home/yyf/proj/tools/scripts/run_e83_cpa_rdkit_pilot.py,20769,b748f8a455698873c89af9635d6ff5ed0824747f0eb21770869667233853ad72,b748f8a455698873c89af9635d6ff5ed0824747f0eb21770869667233853ad72,True,True
input,frozen_common,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/tables/E83_TASK_SCORES.csv,22217,3a71241a9c0effe9eba4776e660054d84c87fe2ea6ff8b0f7b29e68f31f1b1a7,3a71241a9c0effe9eba4776e660054d84c87fe2ea6ff8b0f7b29e68f31f1b1a7,True,True
input,source_h5ad,/home/yyf/data/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/sciplex3.h5ad,589108092,f4a14eedeb5189ec4c0ae6b9dcc816db5a01c0cf6b029c52df0d9d47b466be7d,f4a14eedeb5189ec4c0ae6b9dcc816db5a01c0cf6b029c52df0d9d47b466be7d,True,True
input,smiles_mapping,/home/yyf/archive/external/chemCPA/embeddings/trapnell_drugs_smiles.csv,14213,3fe1296157f35d19baf9c3cd80df08a4894a9d3fc6d8695cd0da868d41c26dcc,3fe1296157f35d19baf9c3cd80df08a4894a9d3fc6d8695cd0da868d41c26dcc,True,True
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/__init__.py,499,,dd9f0cac580ee821a8a9a4b0807fdf6f72d793c738be335d72c0119661d59b64,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_api.py,44350,,56d50507ca7e043398d1d53e6bb23794143b8715227cd2280e097d245e9e63e7,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_data.py,2296,,340552d355ed4f14f674ca88c5ce4dddc549d5f6d78d65ed46d46622fa30eac9,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_metrics.py,2691,,90103d486344d5b0778256d14061688b664b2a39aab409c4cacad1cefd2a3c1a,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_model.py,38493,,eb45cd988b9b54d7736bb3aba21d8935726e12d3b477ff129bf897921b5d95cc,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_module.py,19354,,4cb563a51c0cead37a2c03a72323e0b1e7310929e7ebd1a2a0bed7d79ac2358a,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_plotting.py,42085,,43f111637b3e13dc766a36b47fc5cf42183b8636d694ad77b5b99cb607aa46c0,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_task.py,27718,,95c4563296b10a50814ed7a4f28b7de7248caef3c518110d70c119a324b9d225,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_tuner.py,28300,,ed5cd421de3634be5d9c074abea816e705d31df45ec4418a49555dd44d3b15aa,False,
input,cpa_runtime_source,/home/yyf/archive/external/cpa/cpa/_utils.py,8447,,93ecdb6c04b7a8855604a4d266731581e07f6e93035124c8db6ead8c412f7248,False,
input,cpa_runtime_source_set_aggregate,/home/yyf/archive/external/cpa/cpa/**/*.py (path + SHA-256),214233,8e85132053ca391579a31c064f05b88c52d0bab064257e9126439e122b847a9a,8e85132053ca391579a31c064f05b88c52d0bab064257e9126439e122b847a9a,True,True
input,frozen_e84_launcher,/home/yyf/proj/tools/scripts/run_e84_cpa_rdkit_cartesian_formal.py,9820,,f726e26b71f7977db89d45383b7316fef08198986d295d81b6de8c19f1eae6c9,False,
input,E81_r1_p75::cpa_state,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/raw_cpa/cpa_rdkit_state.pt,2085821,7e457786638cb85a183a82e7ce7b6442ed1c63dc76fccacfa5d28c3866b9d51d,7e457786638cb85a183a82e7ce7b6442ed1c63dc76fccacfa5d28c3866b9d51d,True,True
input,E81_r1_p75::prediction_manifest,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/tables/E83_PREDICTION_MANIFEST.csv,11319,,f2bb981b7bd51194dbe0271964c0138530e19ba959eccb98863c902f50b79b7c,False,
input,E81_r1_p75::prediction_array,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/arrays/E83_CPA_PREDICTED_EFFECTS.npz,239536,,2761f2d328c033c9a4a5db6d0b12213d3ca35f37ae23098e67ee45a75a1584ba,False,
input,E81_r1_p75::task_scores,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/tables/E83_TASK_SCORES.csv,22217,,3a71241a9c0effe9eba4776e660054d84c87fe2ea6ff8b0f7b29e68f31f1b1a7,False,
input,E81_r1_p75::predict_status,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/PREDICT_STATUS.json,924,,f77157c432438b3955abc816e175768bf74fd03b571f778645e06f861d53b694,False,
input,E81_r1_p75::run_status,/home/yyf/proj/docs/实验结果/E94_cpa_pinned_reproduction_20260712/RUN_STATUS.json,969,,d3e96e29c0ba9835b9a2fb5b794dacb1ce6bcbddcea92fc829f526f3df928b1d,False,
input,E81_r1_p25::cpa_state,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p25/raw_cpa/cpa_rdkit_state.pt,2085470,cf8c449a08ba6bcdc9aecdf89d0429410aacdea078013e614196ea7059329540,cf8c449a08ba6bcdc9aecdf89d0429410aacdea078013e614196ea7059329540,True,True
input,E81_r1_p25::prediction_manifest,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p25/tables/E83_PREDICTION_MANIFEST.csv,17201,,826db662bf0db4a59ae5a67103ce446187906bf59096e8cc8305636f3ccfc95b,False,
input,E81_r1_p25::prediction_array,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p25/arrays/E83_CPA_PREDICTED_EFFECTS.npz,368339,,f934959d65eacb55a4e389ac18f8aef46d8193f3b906bd452a98b5e51ba724ee,False,
input,E81_r1_p25::task_scores,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p25/tables/E83_TASK_SCORES.csv,33802,,ef20c2d8b9212c39fc543e5df1b46b4948bec425bae3f11f4c848e2481fc3b3b,False,
input,E81_r1_p25::predict_status,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p25/PREDICT_STATUS.json,923,,2c523ea2ab09d3f6c9d6af98b7cd7d00b14b230716a48ee3951448892a1846eb,False,
input,E81_r1_p25::run_status,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p25/RUN_STATUS.json,337,,f25e65ed41bf8a611dd67446f7be42b3697912e4e068f62fe7845cd598cb71a5,False,
input,E81_r1_p50::cpa_state,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p50/raw_cpa/cpa_rdkit_state.pt,2085470,1c79f7976d9a3230a1c88e5192167855b861129c06bf9493f7a2fec99fc727de,1c79f7976d9a3230a1c88e5192167855b861129c06bf9493f7a2fec99fc727de,True,True
input,E81_r1_p50::prediction_manifest,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p50/tables/E83_PREDICTION_MANIFEST.csv,14668,,1aaf0f5f2d54f7c0573122190835d2061baaa5282d54c25f15f30ae7792c40f0,False,
input,E81_r1_p50::prediction_array,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p50/arrays/E83_CPA_PREDICTED_EFFECTS.npz,312308,,0d3d84256c348b047060e11c50e1defbaa2d963da99b1cf4e916f52b341d010f,False,
input,E81_r1_p50::task_scores,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p50/tables/E83_TASK_SCORES.csv,28836,,6a5cec04ee9599189dd05d0c8c53635729f3a45270333eda82d48deb94376200,False,
input,E81_r1_p50::predict_status,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p50/PREDICT_STATUS.json,924,,c9b29aaa09f5f7960fa984bf652c1e6be31e5aeb806e8c1da4fa17bf86e6057c,False,
input,E81_r1_p50::run_status,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r1_p50/RUN_STATUS.json,337,,00b7ba3429713cffdd55d03b3300a178b24f86ed1bfe49649b30dce5ff19cf14,False,
input,E81_r2_p25::cpa_state,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p25/raw_cpa/cpa_rdkit_state.pt,2085470,830a317f6cff5fc7496d894f2c6dbfc37c2041f6d3eea1e3cb015ef974b5a2bb,830a317f6cff5fc7496d894f2c6dbfc37c2041f6d3eea1e3cb015ef974b5a2bb,True,True
input,E81_r2_p25::prediction_manifest,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p25/tables/E83_PREDICTION_MANIFEST.csv,17298,,79a032642feb769e344f5467aaf81b13e08dd3ab793759451f545f64f6e890a5,False,
input,E81_r2_p25::prediction_array,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p25/arrays/E83_CPA_PREDICTED_EFFECTS.npz,372283,,32d81f4d5c08a327711f66f60bb903eb0217eccc568fe9bf6fea288764fcc7c6,False,
input,E81_r2_p25::task_scores,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p25/tables/E83_TASK_SCORES.csv,34119,,974f50ee70af333e6b34622ae4a303cec0350d11070df109b494c1a440ab9897,False,
input,E81_r2_p25::predict_status,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p25/PREDICT_STATUS.json,923,,b016c2655e9517487ebab3a022eb3cffd94f7755d3bac95b3f177a05b26214a1,False,
input,E81_r2_p25::run_status,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p25/RUN_STATUS.json,337,,1cd8fed6dac9f3159cd7d5525d31ade248c2dc044eaaf158c3867bf1f46acd14,False,
input,E81_r2_p50::cpa_state,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p50/raw_cpa/cpa_rdkit_state.pt,2085470,5b1c5e33ae174e234696069c7e1bd50e93d78361b52bf30dde42a54d6040ce62,5b1c5e33ae174e234696069c7e1bd50e93d78361b52bf30dde42a54d6040ce62,True,True
input,E81_r2_p50::prediction_manifest,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p50/tables/E83_PREDICTION_MANIFEST.csv,14715,,d80cee71cf0e0484ae3e607241045dcb54931a6f82ed0d2ea7df066bc41bba30,False,
input,E81_r2_p50::prediction_array,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p50/arrays/E83_CPA_PREDICTED_EFFECTS.npz,315858,,f6d423c136898c3982f9a544a04234165a1fc2e66605472bd6895e463c2a7819,False,
input,E81_r2_p50::task_scores,/home/yyf/proj/docs/实验结果/E84_cpa_rdkit_cartesian_formal_20260712/manifests/E81_r2_p50/tables/E83_TASK_SCORES.csv,29047,,e916fc03a8e3a84a5badff91bfec6eb6d9b6246b46d86f255726c676725262cc,False,
