panel_id,seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
R04,3410,scGPT,4,0.010067112650722266,129,,
R04,3410,GEARS,1,0.010223240855460365,,1168,4416
R04,3411,scGPT,4,0.010080900151903431,129,,
R04,3411,GEARS,1,0.010259727962935965,,1168,4416
