dataset_name,dataset_family,score_name,variant_kind,variant_description,n,aligned_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse,aligned_rho_ci_low,aligned_rho_ci_high,partial_rho_ci_low,partial_rho_ci_high,n_bootstrap,interpretation_note
CuiHacohen2023,gene_main,protocol_full_confidence,full,full frozen v0.2 formula,2506,0.44537588172141973,0.10910776228099044,0.7358455041044434,0.3284789922988475,21.581017548363633,0.21104441417229275,0.4123884794571147,0.4764362373854317,0.2905935180558338,0.36433892162486087,1000,
CuiHacohen2023,gene_main,loo_no_context_confidence,leave_one_out,remove context_similarity,2506,0.27245918831611804,0.04497296885400592,0.7358455041044434,0.1883086587534924,8.21955267278761,0.21104441417229275,0.2339882530818187,0.3062237020333332,0.1511326046467958,0.22699727830219155,1000,
CuiHacohen2023,gene_main,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,2506,0.3390316979498787,0.092002261813586,0.7358455041044434,0.23899711117571404,21.22480917758959,0.21104441417229275,0.3042103306810668,0.3720594262251658,0.20517074137622135,0.27620477410807437,1000,
CuiHacohen2023,gene_main,loo_no_support_confidence,leave_one_out,remove support_count,2506,0.49629885518164246,0.09528888326633936,0.7358455041044434,0.3616838650262457,22.22284178482913,0.21104441417229275,0.4651450541215477,0.5234277350293651,0.3253038861683299,0.39525823515144043,1000,
CuiHacohen2023,gene_main,single_context_similarity_confidence,single_feature,context_similarity only,2506,0.43495383712267005,0.058051536554424646,0.7358455041044434,0.2785548355368935,21.83549978182484,0.21104441417229275,0.40273681156904917,0.46668367785406034,0.24177750924855673,0.31368047867193954,1000,
CuiHacohen2023,gene_main,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,2506,0.3547471003747907,0.017804288390168902,0.7358455041044434,0.2238998401035499,13.769284023744918,0.21104441417229275,0.31942521508905125,0.387258684428216,0.18704238055013628,0.2618011634072596,1000,
CuiHacohen2023,gene_main,single_support_count_confidence,single_feature,support_count only,2506,0.037646074668584016,0.05950769082381585,0.7358455041044434,0.0674953414148573,0.14963814960809532,0.21104441417229275,-0.0002294606213407084,0.07762123478646998,0.029270436877851306,0.10771124038122055,1000,
Frangieh,gene_main,protocol_full_confidence,full,full frozen v0.2 formula,1266,0.582722177199959,0.3175579575788219,0.7973336548301498,0.47381962305649994,5.0190818385919025,0.05611442497642327,0.5415674228037128,0.6219555550150772,0.43686408157853424,0.5115402003281095,1000,
Frangieh,gene_main,loo_no_context_confidence,leave_one_out,remove context_similarity,1266,0.5631160888662675,0.5739507382156849,0.7973336548301498,0.654192273023368,8.078406500204673,0.05611442497642327,0.5235897357107288,0.6025872507073581,0.6257640865572569,0.6788218859936604,1000,
Frangieh,gene_main,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,1266,0.41825805147828726,0.22568095298928573,0.7973336548301498,0.30956505425994646,2.9824556849285715,0.05611442497642327,0.36637186750652423,0.4666454362435902,0.2670253013067846,0.35069231448916127,1000,
Frangieh,gene_main,loo_no_support_confidence,leave_one_out,remove support_count,1266,0.5360260076018827,-0.17261545144494592,0.7973336548301498,0.06490516274669315,3.528211992586771,0.05611442497642327,0.4944064808262129,0.5750165560549181,0.0014720831397760637,0.1304355849127869,1000,
Frangieh,gene_main,single_context_similarity_confidence,single_feature,context_similarity only,1266,0.2117626583164111,-0.3701249974790302,0.7973336548301498,-0.2597294237127362,1.0638699562439156,0.05611442497642327,0.16412654017684103,0.25827697254031207,-0.3050638790694663,-0.21024227960053563,1000,
Frangieh,gene_main,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,1266,0.5978203359678955,0.2784798885879454,0.7973336548301498,0.5019014701169817,11.35358408874343,0.05611442497642327,0.5583796889974109,0.6360876173782822,0.458777027813156,0.5412343661006531,1000,
Frangieh,gene_main,single_support_count_confidence,single_feature,support_count only,1266,0.36903887380035855,0.6404268365996503,0.7973336548301498,0.606827762402012,1.575321002800909,0.05611442497642327,0.31603892863277905,0.42118089307631257,0.573199987495543,0.6352385865303042,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,protocol_full_confidence,full,full frozen v0.2 formula,662,0.56145999292136,0.15459431273607951,0.5127229698351297,0.4301180557525983,56.11989640564583,1.23504217944862,0.5002127616998298,0.6166668796973253,0.3661083706129572,0.4914813807387915,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,loo_no_context_confidence,leave_one_out,remove context_similarity,662,0.17184557151166988,0.22102790632340072,0.5127229698351297,0.22416107032480745,3.5781578751152376,1.23504217944862,0.09853277599034806,0.24127405251000372,0.1527538656263687,0.2954316559523924,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,662,0.41350244680158355,-0.02750132886226533,0.5127229698351297,0.2166279081359108,49.32262728888642,1.23504217944862,0.3429208294415138,0.48016175033611536,0.1406756682743598,0.2875079327698024,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,loo_no_support_confidence,leave_one_out,remove support_count,662,0.6467616337596913,0.2519616429275078,0.5127229698351297,0.5427171397087672,54.77311609006311,1.23504217944862,0.5930235633231357,0.6912406108988262,0.48665014292587605,0.5934226141784475,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,single_context_similarity_confidence,single_feature,context_similarity only,662,0.4277466060451093,-0.05709549359980198,0.5127229698351297,0.19651426335379893,49.24840222694158,1.23504217944862,0.3558789027057313,0.49910710553698917,0.12470952628684451,0.2661731322801633,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,662,0.26607727182322144,0.4018950317850516,0.5127229698351297,0.3804095689820551,-1.7311105754777076,1.23504217944862,0.1961556848689202,0.33494838646943886,0.3197314408310318,0.4422357112222376,1000,
LaraAstiasoHuntly2023_exvivo,gene_main,single_support_count_confidence,single_feature,support_count only,662,0.06759796944685037,0.019809379008148643,0.5127229698351297,0.04936355268740156,5.6346961755230875,1.23504217944862,-0.01010669102399216,0.14404473992364136,-0.031319796367320525,0.12519052965306315,1000,
LaraAstiasoHuntly2023_invivo,gene_main,protocol_full_confidence,full,full frozen v0.2 formula,780,0.4125607962236096,0.18463996368826918,0.6394552984193019,0.3577644552525397,12.826016448597693,4.889280440571608,0.3511069584399079,0.46851583122199136,0.2963168110791836,0.4191033579130524,1000,
LaraAstiasoHuntly2023_invivo,gene_main,loo_no_context_confidence,leave_one_out,remove context_similarity,780,0.4993877358079286,0.06446675961806976,0.6394552984193019,0.3572803718047591,20.1419717753244,4.889280440571608,0.44607706211155784,0.5502078070847777,0.2970599167725964,0.4222446324440483,1000,
LaraAstiasoHuntly2023_invivo,gene_main,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,780,0.1296151427641971,0.26807378315314256,0.6394552984193019,0.22078447336619933,-0.46443106546722024,4.889280440571608,0.06252715575335603,0.19546913192886525,0.1534378072789365,0.2834612408404086,1000,
LaraAstiasoHuntly2023_invivo,gene_main,loo_no_support_confidence,leave_one_out,remove support_count,780,0.3261821212695234,0.19631841151483,0.6394552984193019,0.31116690041037187,14.10121170366087,4.889280440571608,0.26182817522314905,0.39425460065348494,0.25091482547903254,0.3752316511580767,1000,
LaraAstiasoHuntly2023_invivo,gene_main,single_context_similarity_confidence,single_feature,context_similarity only,780,-0.19458449097204694,0.3066125223165771,0.6394552984193019,0.07698578649047112,-0.24400017208921157,4.889280440571608,-0.2626800541393141,-0.12230073776633191,0.01665849341062181,0.1362828398602636,1000,
LaraAstiasoHuntly2023_invivo,gene_main,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,780,0.46601577809708367,0.08241974898141698,0.6394552984193019,0.34175125335948736,21.836138241906742,4.889280440571608,0.40471131602433713,0.5235873136550232,0.2772123168861215,0.4058371772029769,1000,
LaraAstiasoHuntly2023_invivo,gene_main,single_support_count_confidence,single_feature,support_count only,780,0.24177234285061863,0.06728814831958212,0.6394552984193019,0.17399725320079226,13.687541437992477,4.889280440571608,0.17518971915606524,0.30926905214958583,0.10803138827363723,0.2421322116779501,1000,
McFarlandTsherniak2020,chem_robust,protocol_full_confidence,full,full frozen v0.2 formula,2326,-0.08593379956770722,-0.11575848926018104,0.7954459780613539,-0.060923907709103685,3.9664157723553264,1.5409755797887161,-0.12868147745564135,-0.04136253835874817,-0.10152814751605956,-0.02148200169789218,1000,
McFarlandTsherniak2020,chem_robust,loo_no_context_confidence,leave_one_out,remove context_similarity,2326,-0.08593379956770722,-0.11575848926018104,0.7954459780613539,-0.060923907709103685,3.9664157723553264,1.5409755797887161,-0.12918126469198007,-0.043461016361135744,-0.10316226547471971,-0.021377215697751025,1000,not_applicable_same_as_full_for_chem_robust
McFarlandTsherniak2020,chem_robust,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,2326,-0.15802504954772298,-0.07931789022764457,0.7954459780613539,-0.09070988410951326,-1.6277212453100407,1.5409755797887161,-0.20177016641752138,-0.11419696446841382,-0.12896053577966013,-0.054426841211176094,1000,
McFarlandTsherniak2020,chem_robust,loo_no_support_confidence,leave_one_out,remove support_count,2326,0.15366288136105113,-0.04510839738175022,0.7954459780613539,0.08433716319347763,5.564702263307464,1.5409755797887161,0.10977646260225654,0.19369394772598966,0.03835396228505699,0.12480565780255645,1000,
McFarlandTsherniak2020,chem_robust,single_context_similarity_confidence,single_feature,context_similarity only,2326,-0.07714265351411591,0.20502806894793546,0.7954459780613539,0.12192646470608956,1.2177861007663209,1.5409755797887161,-0.11799218655197274,-0.03624574588631757,0.08391007351455354,0.15986624783717368,1000,
McFarlandTsherniak2020,chem_robust,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,2326,0.15366288136105113,-0.04510839738175022,0.7954459780613539,0.08433716319347763,5.564702263307464,1.5409755797887161,0.11359441991294485,0.19325368025660594,0.04143897966668408,0.12340325468126594,1000,
McFarlandTsherniak2020,chem_robust,single_support_count_confidence,single_feature,support_count only,2326,-0.15802504954772298,-0.07931789022764457,0.7954459780613539,-0.09070988410951326,-1.6277212453100407,1.5409755797887161,-0.19767442702652335,-0.11712817812388247,-0.12612126499804724,-0.05088739821599079,1000,
SantinhaPlatt2023,chem_robust,protocol_full_confidence,full,full frozen v0.2 formula,566,0.2059353150212266,0.14189987043013755,0.824004132237498,0.22418522441283315,2.1512495908083538,0.37820565229836806,0.12938057598268085,0.282085164880853,0.14133296427743997,0.2975630281417774,1000,
SantinhaPlatt2023,chem_robust,loo_no_context_confidence,leave_one_out,remove context_similarity,566,0.2059353150212266,0.14189987043013755,0.824004132237498,0.22418522441283315,2.1512495908083538,0.37820565229836806,0.124495764567467,0.2761257554686404,0.1470462907771297,0.2982370497594493,1000,not_applicable_same_as_full_for_chem_robust
SantinhaPlatt2023,chem_robust,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,566,0.11755022707602249,0.0882382789916241,0.824004132237498,0.10333856262267749,0.6523118900193955,0.37820565229836806,0.03285757437788943,0.19481566065563233,0.028423946622497087,0.18933322324932528,1000,
