culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.1285715500104765,True
Rest,seen_160,160,True,160,1.0516944318858472,True
Stim8hr,all_200,200,True,200,1.127194542971049,True
Stim8hr,seen_160,160,True,160,1.0538138975183491,True
Stim48hr,all_200,200,True,200,1.1243772370928631,True
Stim48hr,seen_160,160,True,160,1.0492990046518984,True
