dataset_name,n_records,magnitude_l2_vs_rmse_rho,magnitude_abs_mean_vs_rmse_rho,magnitude_l2_vs_normalized_rmse_rho
CuiHacohen2023,2506,0.7358455041044434,0.7113688899425226,-0.4745254047050113
Frangieh,702,0.7946844813546771,0.7969901154212167,-0.3316817409836976
LaraAstiasoHuntly2023_exvivo,269,0.6262997905331943,0.6347562989607033,-0.19244397994836596
LaraAstiasoHuntly2023_invivo,329,0.6772493498800183,0.5650084947846558,-0.40302059554500086
McFarlandTsherniak2020,2094,0.7929112689090713,0.7506576886576501,-0.41804901889114393
SantinhaPlatt2023,258,0.8773164428388531,0.8222692955558302,-0.5414004816594128
SrivatsanTrapnell2020_sciplex3,450,0.7811672485625444,0.7944643018813263,-0.7103942241690083
