level,dataset_name,dataset_family,predictor_name,score_name,score_type,n,raw_spearman,normalized_rmse_spearman,magnitude_l2_baseline_rho,magnitude_abs_mean_baseline_rho,magnitude_l2_vs_normalized_rmse_rho,partial_rho_control_magnitude,partial_rho_control_l2_normalized_rmse,within_perturbation_n_strata,within_perturbation_mean_rho,within_perturbation_weighted_rho,within_context_n_strata,within_context_mean_rho,within_context_weighted_rho,rho_minus_magnitude_l2
dataset_predictor_score,CuiHacohen2023,gene_main,ContextSimBaseline,context_similarity_score,confidence,1253,0.5007557436436295,0.15868560780642713,0.7301720897895864,0.7204576177087552,-0.4764652944585928,0.38998291034999777,0.39004694946746643,86,0.5356004137792268,0.5369991793246938,0,,,-0.22941634614595685
dataset_predictor_score,CuiHacohen2023,gene_main,V0StrongBaseline,context_similarity_score,confidence,1253,0.3649390685465703,-0.027025444756017522,0.7423327386789552,0.7037274321685127,-0.47128314915932357,0.17526237776280687,0.16250704456098441,86,0.4052786461700059,0.40650012804590674,0,,,-0.3773936701323849
dataset_predictor_score,CuiHacohen2023,gene_main,ContextSimBaseline,historical_residual_risk,risk,2506,0.19824407733669067,-0.07973577514013684,0.7301720897895863,0.7204576177087549,-0.47646529445859276,0.08859786898839864,0.012563888555831787,86,-0.1826852501243057,-0.18359904269390653,15,0.4024388817339304,0.4000175617605678,-0.5319280124528956
dataset_predictor_score,CuiHacohen2023,gene_main,V0StrongBaseline,historical_residual_risk,risk,2506,0.34863149391760667,0.12675252291328964,0.7423327386789551,0.7037274321685127,-0.4712831491593235,0.31545066949004585,0.24985385811045782,86,-0.07386992991462384,-0.07461727071549394,15,0.5328657362076378,0.5330430014089073,-0.39370124476134843
dataset_predictor_score,CuiHacohen2023,gene_main,ContextSimBaseline,learned_risk_score,risk,1253,0.6696095037532733,-0.036430585126282125,0.7301720897895864,0.7204576177087552,-0.4764652944585928,0.4121718399946625,0.3670217716294784,86,0.5720454430732306,0.5724514214797506,15,0.3701101167089581,0.3671450452268431,-0.06056258603631304
dataset_predictor_score,CuiHacohen2023,gene_main,V0StrongBaseline,learned_risk_score,risk,1253,0.688606127428554,0.02382133467532864,0.7423327386789552,0.7037274321685127,-0.47128314915932357,0.469215295952764,0.41745233241984336,86,0.5283420931503298,0.5292690690000136,15,0.4719708432946545,0.47169558597171457,-0.053726611250401235
dataset_predictor_score,CuiHacohen2023,gene_main,ContextSimBaseline,model_disagreement_risk,risk,2506,0.2711590170353003,-0.0750320239725254,0.7301720897895863,0.7204576177087549,-0.47646529445859276,0.09822285985071631,0.07105043414915985,86,0.09231727574750831,0.09156858703945696,15,0.24183189281133075,0.241043566102552,-0.45901307275428593
dataset_predictor_score,CuiHacohen2023,gene_main,V0StrongBaseline,model_disagreement_risk,risk,2506,0.4371610524029517,0.115180289563787,0.7423327386789551,0.7037274321685127,-0.4712831491593235,0.35313242667368144,0.2939622855264247,86,0.19598134423715816,0.19575568087140313,15,0.4077601295068546,0.41186342558759054,-0.3051716862760034
dataset_predictor_score,CuiHacohen2023,gene_main,ContextSimBaseline,prediction_magnitude_risk,risk,1253,-0.1777186912164127,0.26105657411710037,0.7301720897895864,0.7204576177087552,-0.4764652944585928,0.05853884959589195,0.14306459820989526,86,-0.04064656273958599,-0.04135569139559562,15,-0.23659928398513455,-0.23663726292770992,-0.9078907810059991
dataset_predictor_score,CuiHacohen2023,gene_main,V0StrongBaseline,prediction_magnitude_risk,risk,1253,-0.23971110208666727,0.16994215792915293,0.7423327386789552,0.7037274321685127,-0.47128314915932357,-0.038101515930754476,0.03941390060209312,86,-0.1302453360592895,-0.12934671075133966,15,-0.24329697702624536,-0.24442372989261985,-0.9820438407656225
