fold_id,metric,score,endpoint,n_tasks,spearman
Replogle_cellline_holdout_1_K562,absolute_safeconf_spearman,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,128,
Replogle_cellline_holdout_1_K562,absolute_magnitude_spearman,baseline_predicted_magnitude,error_two_predictor_mean_rmse,128,-0.10889858212430863
Replogle_cellline_holdout_1_K562,absolute_disagreement_spearman,risk_model_disagreement,error_two_predictor_mean_rmse,128,-0.018500503570774582
Replogle_cellline_holdout_1_K562,directional_pearson_spearman,directional_risk_frozen,error_centered_pearson_mean,128,0.17986476583874889
Replogle_cellline_holdout_1_K562,directional_cosine_spearman,directional_risk_frozen,error_centered_cosine_mean,128,0.17134036935350014
Replogle_cellline_holdout_1_K562,directional_composite_spearman,directional_risk_frozen,direction_error_rank_target,128,0.17560784338711372
Replogle_cellline_holdout_1_K562,magnitude_pearson_spearman,baseline_predicted_magnitude,error_centered_pearson_mean,128,-0.12184566788659174
Replogle_cellline_holdout_1_K562,magnitude_cosine_spearman,baseline_predicted_magnitude,error_centered_cosine_mean,128,-0.11620903607406184
Replogle_cellline_holdout_1_K562,magnitude_composite_spearman,baseline_predicted_magnitude,direction_error_rank_target,128,-0.12134859754169636
Replogle_cellline_holdout_2_RPE1,absolute_safeconf_spearman,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,128,
Replogle_cellline_holdout_2_RPE1,absolute_magnitude_spearman,baseline_predicted_magnitude,error_two_predictor_mean_rmse,128,0.1976858633949826
Replogle_cellline_holdout_2_RPE1,absolute_disagreement_spearman,risk_model_disagreement,error_two_predictor_mean_rmse,128,0.199888985533785
Replogle_cellline_holdout_2_RPE1,directional_pearson_spearman,directional_risk_frozen,error_centered_pearson_mean,128,0.2449303082804252
Replogle_cellline_holdout_2_RPE1,directional_cosine_spearman,directional_risk_frozen,error_centered_cosine_mean,128,0.2447843869949444
Replogle_cellline_holdout_2_RPE1,directional_composite_spearman,directional_risk_frozen,direction_error_rank_target,128,0.24478744934811392
Replogle_cellline_holdout_2_RPE1,magnitude_pearson_spearman,baseline_predicted_magnitude,error_centered_pearson_mean,128,0.2089303698956235
Replogle_cellline_holdout_2_RPE1,magnitude_cosine_spearman,baseline_predicted_magnitude,error_centered_cosine_mean,128,0.21103621131660866
Replogle_cellline_holdout_2_RPE1,magnitude_composite_spearman,baseline_predicted_magnitude,direction_error_rank_target,128,0.20984367386832167
