split_setting,group,n_tasks,predictor_pair,rho_risk_model,top20_error_enrichment,target_truth_used_for_fit,source,delta_combined_minus_magnitude,delta_ci95_low,delta_ci95_high,reliably_better_than_magnitude
cross_dataset_risk_calibrator_transfer,Adamson->Norman::gears_ensemble_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,-0.377391304347826,1.1000064443135318,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::gears_ensemble_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.7078260869565216,1.283876335089138,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::scgpt_finetuned_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.3399999999999999,1.1394585687073768,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::scgpt_finetuned_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.3547826086956521,1.1394585687073764,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::task_mean_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.4339130434782608,1.1907772559621703,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::task_mean_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.5469565217391303,1.1907772559621703,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::task_max_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.4034782608695652,1.131609261253604,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Adamson->Norman::task_max_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.5426086956521738,1.4564667712438646,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::gears_ensemble_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.0756521739130434,0.9369276691609554,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::gears_ensemble_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.3347826086956522,1.377177588224566,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::scgpt_finetuned_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.3713043478260869,1.229421103230537,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::scgpt_finetuned_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.557391304347826,1.452841369576231,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::task_mean_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.2843478260869565,1.1464075507145062,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::task_mean_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.4713043478260869,1.4176331994624911,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::task_max_rmse::magnitude,24.0,GEARS_3seed+scGPT_finetune,0.368695652173913,1.120837240221462,False,E69,,,,
cross_dataset_risk_calibrator_transfer,Norman->Adamson::task_max_rmse::magnitude_plus_disagreement,24.0,GEARS_3seed+scGPT_finetune,0.5895652173913043,1.4807315682050992,False,E69,,,,
cross_dataset_risk_calibrator_transfer_delta,Adamson->Norman::gears_ensemble_rmse,,,,,,E69,1.0852173913043477,0.4888856414782213,1.5979370476417718,True
cross_dataset_risk_calibrator_transfer_delta,Adamson->Norman::scgpt_finetuned_rmse,,,,,,E69,0.0147826086956521,-0.1161584738859287,0.1667522677531799,False
cross_dataset_risk_calibrator_transfer_delta,Adamson->Norman::task_mean_rmse,,,,,,E69,0.1130434782608695,-0.0263022759410914,0.2890877346137051,False
cross_dataset_risk_calibrator_transfer_delta,Adamson->Norman::task_max_rmse,,,,,,E69,0.1391304347826086,-0.0614750242797832,0.3768855287305796,False
cross_dataset_risk_calibrator_transfer_delta,Norman->Adamson::gears_ensemble_rmse,,,,,,E69,0.2591304347826087,-0.3925009708266589,0.812662102503966,False
cross_dataset_risk_calibrator_transfer_delta,Norman->Adamson::scgpt_finetuned_rmse,,,,,,E69,0.186086956521739,-0.0289226325014992,0.4729072673609731,False
cross_dataset_risk_calibrator_transfer_delta,Norman->Adamson::task_mean_rmse,,,,,,E69,0.1869565217391304,-0.04898001998002,0.4833897159619603,False
cross_dataset_risk_calibrator_transfer_delta,Norman->Adamson::task_max_rmse,,,,,,E69,0.2208695652173913,-0.1708512430308616,0.6783224444267388,False
