panel_id,dataset_family,panel_index,perturbation,context,predictor_pair,split_setting,gears_rmse,scgpt_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,gears_predicted_magnitude,scgpt_predicted_magnitude,predicted_magnitude_mean,true_effect_key,gene_order_hash,source_dir,rank_disagreement,rank_magnitude,rank_pair_mean_error
Adamson_P1,Adamson,P1,NEDD8+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.16264199692917283,0.15617437564749903,0.15940818628833592,0.16264199692917283,0.08526939369362622,0.8402403910667767,2.031730044141441,1.435985217604109,E65::Adamson::NEDD8+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.75,0.625,0.875
Adamson_P1,Adamson,P1,OST4+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.06494987554796398,0.06640130434915502,0.0656755899485595,0.06640130434915502,0.07514008083031487,0.9022317008630254,1.6190748086427216,1.2606532547528735,E65::Adamson::OST4+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.375,0.20833333333333334,0.25
Adamson_P1,Adamson,P1,PDIA6+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.0785371355897325,0.07091908546580433,0.07472811052776843,0.0785371355897325,0.07952518512816863,0.7263629188243563,1.8830287253553315,1.304695822089844,E65::Adamson::PDIA6+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.6666666666666666,0.25,0.4166666666666667
Adamson_P1,Adamson,P1,PSMD4+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.2162949100840667,0.249336051968762,0.23281548102641436,0.249336051968762,0.10218093675578416,0.9731245108658031,2.6258074842645382,1.7994659975651706,E65::Adamson::PSMD4+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.9166666666666666,0.9166666666666666,0.9583333333333334
Adamson_P1,Adamson,P1,PTDSS1+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.0446355671451616,0.08280474910256552,0.06372015812386356,0.08280474910256552,0.07778697618368734,0.836485408268304,1.8964841669553036,1.3664847876118038,E65::Adamson::PTDSS1+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.5416666666666666,0.5,0.20833333333333334
Adamson_P1,Adamson,P1,SEC61G+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.088403026565964,0.10550345182131465,0.09695323919363932,0.10550345182131465,0.07736028042543695,1.111520193560897,1.5527781863439263,1.3321491899524116,E65::Adamson::SEC61G+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.4583333333333333,0.375,0.625
Adamson_P1,Adamson,P1,SEL1L+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.07721429679139799,0.09969627139125703,0.08845528409132751,0.09969627139125703,0.06647017295826617,1.0249415542595919,1.3428225370242703,1.1838820456419312,E65::Adamson::SEL1L+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.20833333333333334,0.16666666666666666,0.5833333333333334
Adamson_P1,Adamson,P1,SLC35B1+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.043769599455385756,0.06520908535271543,0.054489342404050595,0.06520908535271543,0.06740280654832258,0.9521418020637031,1.6915568263531353,1.3218493142084191,E65::Adamson::SLC35B1+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.25,0.3333333333333333,0.041666666666666664
Adamson_P1,Adamson,P1,SPCS3+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.09711840552710271,0.11332623925037467,0.10522232238873869,0.11332623925037467,0.06540046648918615,0.7946795125868118,1.269479051423193,1.0320792820050024,E65::Adamson::SPCS3+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.16666666666666666,0.08333333333333333,0.7083333333333334
Adamson_P1,Adamson,P1,SRP68+ctrl,Adamson_fixed_unseen_gene_panel512,GEARS_3seed+scGPT_finetune,col_holdout_unseen_gene,0.09239025295507183,0.11160744378692387,0.10199884837099785,0.11160744378692387,0.08442208280623197,0.7128457024571577,1.9768698874958452,1.3448577949765015,E65::Adamson::SRP68+ctrl::shared_true,sha256:586ea4c98066352ff566ac5a498c2702e484aacc80180f2d61a23262af34aeac,docs/实验结果/E65_scgpt_formal_fixed_panel_20260711,0.7083333333333334,0.4166666666666667,0.6666666666666666
