history_fraction,budget,method,baseline,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
0.1,0.1,M,magnitude,utility,0.0,0.0,0.0,0,4
0.1,0.1,M,magnitude,capture,0.0,0.0,0.0,0,4
0.1,0.1,M,magnitude,spearman,0.0,0.0,0.0,0,4
0.1,0.1,M,magnitude,remaining_relative_error,0.0,0.0,0.0,0,4
0.1,0.1,MD,magnitude,utility,-0.004930245246290675,-0.011539327899618493,0.0016788374070371426,1,4
0.1,0.1,MD,magnitude,capture,-0.00017570151241260573,-0.0005944145264786815,0.0002848654402913056,1,4
0.1,0.1,MD,magnitude,spearman,-0.0007245054402354942,-0.0027192136567136954,0.001270202776242707,2,4
0.1,0.1,MD,magnitude,remaining_relative_error,0.000366046802311476,-0.00034243343680298577,0.0011163046126059228,3,4
0.1,0.1,MDH,magnitude,utility,-0.0055599383067998775,-0.013358301486111154,0.004719911182507516,1,4
0.1,0.1,MDH,magnitude,capture,-0.0002237043051287954,-0.0006937061758954532,0.0003888085070582678,1,4
0.1,0.1,MDH,magnitude,spearman,-0.00036238241201998894,-0.004975617082838266,0.004250852258798288,2,4
0.1,0.1,MDH,magnitude,remaining_relative_error,0.00044518770488163883,-0.0004129212067725818,0.0011268412485669344,3,4
0.1,0.1,MDH_condition,magnitude,utility,-0.007212185693480214,-0.013060927781169407,0.001212191778068375,1,4
0.1,0.1,MDH_condition,magnitude,capture,-0.00033339388109684953,-0.0008136394461777247,0.00021078082519961072,1,4
0.1,0.1,MDH_condition,magnitude,spearman,0.0009913979190851602,-0.0016433714543833688,0.003626167292553689,2,4
0.1,0.1,MDH_condition,magnitude,remaining_relative_error,0.0005366780721575148,-0.0002596905446685116,0.001285171094979054,3,4
0.1,0.1,M,M,utility,0.0,0.0,0.0,0,4
0.1,0.1,M,M,capture,0.0,0.0,0.0,0,4
0.1,0.1,M,M,spearman,0.0,0.0,0.0,0,4
0.1,0.1,M,M,remaining_relative_error,0.0,0.0,0.0,0,4
0.1,0.1,MD,M,utility,-0.004930245246290675,-0.011539327899618493,0.0016788374070371426,1,4
0.1,0.1,MD,M,capture,-0.00017570151241260573,-0.0005944145264786815,0.0002848654402913056,1,4
0.1,0.1,MD,M,spearman,-0.0007245054402354942,-0.0027192136567136954,0.001270202776242707,2,4
0.1,0.1,MD,M,remaining_relative_error,0.000366046802311476,-0.00034243343680298577,0.0011163046126059228,3,4
0.1,0.1,MDH,M,utility,-0.0055599383067998775,-0.013358301486111154,0.004719911182507516,1,4
0.1,0.1,MDH,M,capture,-0.0002237043051287954,-0.0006937061758954532,0.0003888085070582678,1,4
0.1,0.1,MDH,M,spearman,-0.00036238241201998894,-0.004975617082838266,0.004250852258798288,2,4
0.1,0.1,MDH,M,remaining_relative_error,0.00044518770488163883,-0.0004129212067725818,0.0011268412485669344,3,4
0.1,0.1,MDH_condition,M,utility,-0.007212185693480214,-0.013060927781169407,0.001212191778068375,1,4
0.1,0.1,MDH_condition,M,capture,-0.00033339388109684953,-0.0008136394461777247,0.00021078082519961072,1,4
0.1,0.1,MDH_condition,M,spearman,0.0009913979190851602,-0.0016433714543833688,0.003626167292553689,2,4
0.1,0.1,MDH_condition,M,remaining_relative_error,0.0005366780721575148,-0.0002596905446685116,0.001285171094979054,3,4
0.1,0.1,M,MD,utility,0.004930245246290675,-0.0016788374070371426,0.011539327899618493,3,4
0.1,0.1,M,MD,capture,0.00017570151241260573,-0.0002848654402913056,0.0005944145264786815,3,4
0.1,0.1,M,MD,spearman,0.0007245054402354942,-0.001270202776242707,0.0027192136567136954,2,4
0.1,0.1,M,MD,remaining_relative_error,-0.000366046802311476,-0.0011163046126059228,0.00034243343680298577,1,4
0.1,0.1,MD,MD,utility,0.0,0.0,0.0,0,4
0.1,0.1,MD,MD,capture,0.0,0.0,0.0,0,4
0.1,0.1,MD,MD,spearman,0.0,0.0,0.0,0,4
0.1,0.1,MD,MD,remaining_relative_error,0.0,0.0,0.0,0,4
0.1,0.1,MDH,MD,utility,-0.0006296930605092024,-0.009089473172877116,0.004618211280028359,3,4
0.1,0.1,MDH,MD,capture,-4.800279271618968e-05,-0.00029203338070815654,0.0001679660890953616,2,4
0.1,0.1,MDH,MD,spearman,0.00036212302821550524,-0.0037463062325217567,0.004470552288952767,2,4
0.1,0.1,MDH,MD,remaining_relative_error,7.914090257016282e-05,-0.0001971080763535915,0.0005618565938166342,1,4
0.1,0.1,MDH_condition,MD,utility,-0.0022819404471895385,-0.005021264607553422,-2.881199791830713e-05,1,4
0.1,0.1,MDH_condition,MD,capture,-0.0001576923686842438,-0.0002523577060525306,-6.3027031315957e-05,0,4
0.1,0.1,MDH_condition,MD,spearman,0.0017159033593206544,0.0010758422023303266,0.002355964516310982,4,4
