dataset,method,history_fraction,budget,utility,capture,spearman,remaining_relative_error
Cui_direct41,M,0.1,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,M,0.1,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,M,0.1,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,M,0.25,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,M,0.25,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,M,0.25,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,M,0.5,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,M,0.5,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,M,0.5,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,M,1.0,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,M,1.0,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,M,1.0,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,MD,0.1,0.1,0.34977867243901756,0.3291367996578794,0.32852631113583125,0.9830911679821398
Cui_direct41,MD,0.1,0.2,0.3605250461585415,0.37934088215997,0.32852631113583125,0.9774188054949491
Cui_direct41,MD,0.1,0.3,0.3711250495590394,0.46658632062058464,0.32852631113583125,0.9724044201836242
Cui_direct41,MD,0.25,0.1,0.3521949505109149,0.3291960532679578,0.3287765365582703,0.9830025122460879
Cui_direct41,MD,0.25,0.2,0.3653437806374543,0.3794712404675285,0.3287765365582703,0.9772054502228713
Cui_direct41,MD,0.25,0.3,0.3703653351296284,0.46650347929044356,0.3287765365582703,0.9725768340122052
Cui_direct41,MD,0.5,0.1,0.3589132460004261,0.3294605661001222,0.32886039964674507,0.982632877668635
Cui_direct41,MD,0.5,0.2,0.362464619323536,0.3793276264242248,0.32886039964674507,0.9774439795221718
Cui_direct41,MD,0.5,0.3,0.36942091974033164,0.46645193970325854,0.32886039964674507,0.9726595876530186
Cui_direct41,MD,1.0,0.1,0.37651390237593413,0.3300154472962071,0.3303116142722374,0.9818218042602322
Cui_direct41,MD,1.0,0.2,0.38050868325536163,0.3801214099908876,0.3303116142722374,0.9762246389445524
Cui_direct41,MD,1.0,0.3,0.37625450066060734,0.46669294702779124,0.3303116142722374,0.9722727270143589
Cui_direct41,MDH,0.1,0.1,0.33635701549710423,0.3286963628055249,0.32275710434359817,0.9839002655349928
Cui_direct41,MDH,0.1,0.2,0.350306834876695,0.3789840650311022,0.32275710434359817,0.9781227242398831
Cui_direct41,MDH,0.1,0.3,0.3730559659997648,0.4666029935001727,0.32275710434359817,0.9724516964581061
Cui_direct41,MDH,0.25,0.1,0.3565118584837154,0.32930180662837316,0.3302907709956214,0.9828549553278285
Cui_direct41,MDH,0.25,0.2,0.3681614857493992,0.3795301723328385,0.3302907709956214,0.977125939728225
Cui_direct41,MDH,0.25,0.3,0.3734806662890708,0.4666615893877632,0.3302907709956214,0.9722624327651631
Cui_direct41,MDH,0.5,0.1,0.36263892883667737,0.32959469229458144,0.33149977401912384,0.982455180736822
Cui_direct41,MDH,0.5,0.2,0.3657518896972622,0.3794482962596807,0.33149977401912384,0.9772515107977744
Cui_direct41,MDH,0.5,0.3,0.37488287588232694,0.46667191363225924,0.33149977401912384,0.9722485286089213
Cui_direct41,MDH,1.0,0.1,0.37588563042577683,0.3301999287414642,0.33492315081933893,0.9815826846720638
Cui_direct41,MDH,1.0,0.2,0.3771137385994779,0.3799763473191156,0.33492315081933893,0.9764579637857845
Cui_direct41,MDH,1.0,0.3,0.38014458250333694,0.46693803056405725,0.33492315081933893,0.9718094158760079
Cui_direct41,MDH_condition,0.1,0.1,0.34328880831654957,0.3288578142617227,0.33052447946217295,0.9835831750474121
Cui_direct41,MDH_condition,0.1,0.2,0.3582789452393134,0.37907080439464963,0.33052447946217295,0.9779103327636888
Cui_direct41,MDH_condition,0.1,0.3,0.3812332917402429,0.46692433466557814,0.33052447946217295,0.9718304507508645
Cui_direct41,MDH_condition,0.25,0.1,0.35462600206413053,0.329346266075888,0.3370253885822449,0.9828083616085164
Cui_direct41,MDH_condition,0.25,0.2,0.3662201700736632,0.3793256971013078,0.3370253885822449,0.9774613844779455
Cui_direct41,MDH_condition,0.25,0.3,0.3853116685879966,0.4669882435797671,0.3370253885822449,0.9716666209525583
Cui_direct41,MDH_condition,0.5,0.1,0.36861427849519046,0.3297938351189181,0.33689527405858677,0.9821492601924225
Cui_direct41,MDH_condition,0.5,0.2,0.36936801635474487,0.3794926379293206,0.33689527405858677,0.9771664095389451
Cui_direct41,MDH_condition,0.5,0.3,0.38451877452320193,0.4669930698237087,0.33689527405858677,0.97163206129753
Cui_direct41,MDH_condition,1.0,0.1,0.3691602744724765,0.3299108263414319,0.3339542163954896,0.9819819350298917
Cui_direct41,MDH_condition,1.0,0.2,0.37226889104107325,0.3798767464710779,0.3339542163954896,0.9766001556926402
Cui_direct41,MDH_condition,1.0,0.3,0.38088695291998603,0.4668798188600587,0.3339542163954896,0.9719336139272109
Cui_direct41,magnitude,0.1,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,magnitude,0.1,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,magnitude,0.1,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,magnitude,0.25,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,magnitude,0.25,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,magnitude,0.25,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,magnitude,0.5,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,magnitude,0.5,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,magnitude,0.5,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,magnitude,1.0,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,magnitude,1.0,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,magnitude,1.0,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Frangieh,M,0.1,0.1,0.5340460269961582,0.18276443930317698,0.5170162842367677,0.9757778566739626
Frangieh,M,0.1,0.2,0.5530099218094037,0.2676224245003971,0.5170162842367677,0.9641871208960177
Frangieh,M,0.1,0.3,0.5462386506648685,0.3860479340433792,0.5170162842367677,0.9545476845399447
Frangieh,M,0.25,0.1,0.5340460269961582,0.18276443930317698,0.5170162842367677,0.9757778566739626
Frangieh,M,0.25,0.2,0.5530099218094037,0.2676224245003971,0.5170162842367677,0.9641871208960177
Frangieh,M,0.25,0.3,0.5462386506648685,0.3860479340433792,0.5170162842367677,0.9545476845399447
Frangieh,M,0.5,0.1,0.5340460269961582,0.18276443930317698,0.5170162842367677,0.9757778566739626
Frangieh,M,0.5,0.2,0.5530099218094037,0.2676224245003971,0.5170162842367677,0.9641871208960177
