task_id,perturbation,guide_id,n_guide_cells,scgpt_rmse,gears_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,pair_lower_bound,base__constant,base__predicted_magnitude,base__magnitude_plus_pair_lower,base__extra_trees_vector
E180::ARID2::ARID2_1,ARID2,ARID2_1,519,0.049742740048835055,0.048608486881665254,0.049175613465250151,0.049742740048835055,0.023788970471095267,0.011894485235547633,0,0.0121135230390858,0.0121135230390858,0.079343177238045001
E180::ARID2::ARID2_2,ARID2,ARID2_2,497,0.05467350308968924,0.052152094074729996,0.053412798582209618,0.05467350308968924,0.023788970471095267,0.011894485235547633,0,0.0121135230390858,0.0121135230390858,0.079343177238045001
E180::ARID2::ARID2_3,ARID2,ARID2_3,293,0.06261312018967527,0.063112588511951992,0.062862854350813624,0.063112588511951992,0.023788970471095267,0.011894485235547633,0,0.0121135230390858,0.0121135230390858,0.079343177238045001
E180::ATP6V1A::ATP6V1A_1,ATP6V1A,ATP6V1A_1,47,0.12991129183918626,0.13008635409033431,0.12999882296476029,0.13008635409033431,0.026113851120878141,0.013056925560439071,0,0.0138210423106495,0.0138210423106495,0.1055872340000166
E180::ATP6V1A::ATP6V1A_2,ATP6V1A,ATP6V1A_2,29,0.16806059457322078,0.168331838080545,0.16819621632688289,0.168331838080545,0.026113851120878141,0.013056925560439071,0,0.0138210423106495,0.0138210423106495,0.1055872340000166
E180::ATP6V1A::ATP6V1A_3,ATP6V1A,ATP6V1A_3,113,0.11063396725018546,0.10691945661934922,0.10877671193476735,0.11063396725018546,0.026113851120878141,0.013056925560439071,0,0.0138210423106495,0.0138210423106495,0.1055872340000166
E180::CHD1::CHD1_1,CHD1,CHD1_1,420,0.056581484779449541,0.05880032117226739,0.057690902975858466,0.05880032117226739,0.028516549637572865,0.014258274818786432,0,0.015415122762080199,0.015415122762080199,0.103393110157342
E180::CHD1::CHD1_2,CHD1,CHD1_2,260,0.074074173606919452,0.076199981923847152,0.075137077765383309,0.076199981923847152,0.028516549637572865,0.014258274818786432,0,0.015415122762080199,0.015415122762080199,0.103393110157342
E180::CHD1::CHD1_3,CHD1,CHD1_3,468,0.053126281442853508,0.054506538919260085,0.053816410181056797,0.054506538919260085,0.028516761097865401,0.014258380548932701,0,0.0154150305620579,0.0154150305620579,0.103393110157342
E180::CPSF2::CPSF2_1,CPSF2,CPSF2_1,199,0.086810571252704222,0.082790030605511697,0.084800300929107952,0.086810571252704222,0.028478324958606589,0.014239162479303295,0,0.015236389468487601,0.015236389468487601,0.1085242952912847
E180::CPSF2::CPSF2_3,CPSF2,CPSF2_3,43,0.18129082441301519,0.17895286587567955,0.18012184514434737,0.18129082441301519,0.028478324958606589,0.014239162479303295,0,0.015236389468487601,0.015236389468487601,0.1085242952912847
E180::CSTF3::CSTF3_1,CSTF3,CSTF3_1,110,0.12384656631026623,0.11702294910383186,0.12043475770704905,0.12384656631026623,0.025641426086494529,0.012820713043247264,0,0.013904082428550599,0.013904082428550599,0.096594062776463097
E180::CSTF3::CSTF3_2,CSTF3,CSTF3_2,192,0.079150314103829625,0.076856359253338849,0.078003336678584237,0.079150314103829625,0.025641426086494529,0.012820713043247264,0,0.013904082428550599,0.013904082428550599,0.096594062776463097
E180::CSTF3::CSTF3_3,CSTF3,CSTF3_3,234,0.088405634867287392,0.083998774544320559,0.086202204705803975,0.088405634867287392,0.025641426086494529,0.012820713043247264,0,0.013904082428550599,0.013904082428550599,0.096594062776463097
E180::DHX15::DHX15_1,DHX15,DHX15_1,259,0.094624734167331054,0.092969669314265993,0.09379720174079853,0.094624734167331054,0.024522125278976105,0.012261062639488052,0,0.013188420793085799,0.013188420793085799,0.096717765174241604
