fold_id,task_id,setting,context,perturbation,error_centered_pearson_mean,error_centered_cosine_mean,directional_risk_frozen,baseline_predicted_magnitude,risk_model_disagreement,perturbation_novelty,context_novelty_scaled,dataset,magnitude,novelty,disagreement,source_seen,magnitude_plus_novelty,source_plus_magnitude_plus_novelty,direction_error_rank_target
E239_cellline_holdout_1_HepG2,HepG2::EIF3A,context_unseen,HepG2,EIF3A,0.09175106967859109,0.09183651208877563,0.5063621319089608,0.1148799061775207,0.2097828679893532,0.5,1.0,Nadig,0.1148799061775207,0.5,0.2097828679893532,-1.0,0.6039156626506024,0.532128514056225,0.6957831325301205
E239_cellline_holdout_1_HepG2,HepG2::ARPC2,context_unseen,HepG2,ARPC2,0.010086780485616398,0.01155102252960205,0.3311013898300486,0.0263824705034494,0.0474340909357656,0.5,1.0,Nadig,0.0263824705034494,0.5,0.0474340909357656,-1.0,0.15210843373493976,0.23092369477911645,0.07228915662650603
E239_cellline_holdout_1_HepG2,HepG2::TIMM23B,context_unseen,HepG2,TIMM23B,0.07897550748213367,0.07818436622619629,0.5197805979545445,0.1224043816328048,0.2327943968699943,0.5,1.0,Nadig,0.1224043816328048,0.5,0.2327943968699943,-1.0,0.6129518072289156,0.5381526104417671,0.6445783132530121
E239_cellline_holdout_1_HepG2,HepG2::RBMX2,context_unseen,HepG2,RBMX2,0.06919786115134147,0.07914999127388,0.4052267927189356,0.0683609098196029,0.1062513848947429,0.5,1.0,Nadig,0.0683609098196029,0.5,0.1062513848947429,-1.0,0.5135542168674699,0.47188755020080325,0.6295180722891567
E239_cellline_holdout_1_HepG2,HepG2::RPS7,context_unseen,HepG2,RPS7,0.11313766050840163,0.11111429333686829,0.499777283862035,0.1171251609921455,0.1916254367800752,0.5,1.0,Nadig,0.1171251609921455,0.5,0.1916254367800752,-1.0,0.6069277108433735,0.534136546184739,0.7168674698795181
E239_cellline_holdout_1_HepG2,HepG2::TSR1,context_and_perturbation_unseen,HepG2,TSR1,0.042524907089760144,0.04190033674240112,0.414579122979933,0.0415145941078662,0.0502462186802213,1.0,1.0,Nadig,0.0415145941078662,1.0,0.0502462186802213,-1.0,0.5707831325301205,0.5100401606425703,0.45481927710843373
E239_cellline_holdout_1_HepG2,HepG2::EIF2S2,context_unseen,HepG2,EIF2S2,0.06868628172068414,0.06832829117774963,0.3372633696443647,0.0289679355919361,0.0542807322336929,0.5,1.0,Nadig,0.0289679355919361,0.5,0.0542807322336929,-1.0,0.19126506024096385,0.2570281124497992,0.5993975903614458
E239_cellline_holdout_1_HepG2,HepG2::GAR1,context_unseen,HepG2,GAR1,0.03034352252006184,0.030195027589797974,0.3603181195106949,0.0447025708854198,0.0667765832178598,0.5,1.0,Nadig,0.0447025708854198,0.5,0.0667765832178598,-1.0,0.3569277108433735,0.36746987951807225,0.3704819277108434
E239_cellline_holdout_1_HepG2,HepG2::WDR12,context_unseen,HepG2,WDR12,0.07936823302058388,0.07770869135856628,0.4281999381231838,0.0799316763877868,0.1275958049433097,0.5,1.0,Nadig,0.0799316763877868,0.5,0.1275958049433097,-1.0,0.549698795180723,0.4959839357429719,0.6445783132530121
E239_cellline_holdout_1_HepG2,HepG2::NRBP1,context_and_perturbation_unseen,HepG2,NRBP1,0.020246201916086948,0.020040363073349,0.4148511160854263,0.0381391011178493,0.0581022655899201,1.0,1.0,Nadig,0.0381391011178493,1.0,0.0581022655899201,-1.0,0.5466867469879517,0.49397590361445776,0.2921686746987952
E239_cellline_holdout_1_HepG2,HepG2::INTS13,context_and_perturbation_unseen,HepG2,INTS13,0.01735116570493428,0.019338279962539673,0.4188921409416882,0.0428047068417072,0.0561631260022139,1.0,1.0,Nadig,0.0428047068417072,1.0,0.0561631260022139,-1.0,0.588855421686747,0.5220883534136546,0.2680722891566265
E239_cellline_holdout_1_HepG2,HepG2::NOM1,context_unseen,HepG2,NOM1,0.04758154179397173,0.04741615056991577,0.4115033932194806,0.0726520642638206,0.1096372505063173,0.5,1.0,Nadig,0.0726520642638206,0.5,0.1096372505063173,-1.0,0.5286144578313253,0.4819277108433735,0.4879518072289156
E239_cellline_holdout_1_HepG2,HepG2::CCNH,context_unseen,HepG2,CCNH,0.020672030971557176,0.023250579833984375,0.4300665798529202,0.0821443721652031,0.1265755048306265,0.5,1.0,Nadig,0.0821443721652031,0.5,0.1265755048306265,-1.0,0.552710843373494,0.497991967871486,0.31024096385542166
E239_cellline_holdout_1_HepG2,HepG2::RPL41,context_unseen,HepG2,RPL41,0.04869917122232731,0.04948166012763977,0.3511030922698985,0.0368717946112155,0.0651190346116161,0.5,1.0,Nadig,0.0368717946112155,0.5,0.0651190346116161,-1.0,0.28463855421686746,0.31927710843373497,0.5090361445783133
E239_cellline_holdout_1_HepG2,HepG2::DNAJC8,context_and_perturbation_unseen,HepG2,DNAJC8,0.013518337683698312,0.015094012022018433,0.4078077260349454,0.0364354848861694,0.0475668317691169,1.0,1.0,Nadig,0.0364354848861694,1.0,0.0475668317691169,-1.0,0.5286144578313252,0.48192771084337344,0.18072289156626506
E239_cellline_holdout_1_HepG2,HepG2::TARS2,context_unseen,HepG2,TARS2,0.024803648098727926,0.025165706872940063,0.36981617813223,0.0471687540411949,0.0806181937115023,0.5,1.0,Nadig,0.0471687540411949,0.5,0.0806181937115023,-1.0,0.39909638554216864,0.3955823293172691,0.32831325301204817
E239_cellline_holdout_1_HepG2,HepG2::NOLC1,context_unseen,HepG2,NOLC1,0.0415263805779596,0.04158094525337219,0.3551486646419712,0.0447463318705558,0.0562428337164584,0.5,1.0,Nadig,0.0447463318705558,0.5,0.0562428337164584,-1.0,0.35993975903614456,0.36947791164658633,0.44277108433734935
E239_cellline_holdout_1_HepG2,HepG2::COX10,context_unseen,HepG2,COX10,0.011570742238677656,0.01199418306350708,0.3587421194900029,0.0370556153357028,0.0801471178469303,0.5,1.0,Nadig,0.0370556153357028,0.5,0.0801471178469303,-1.0,0.2876506024096385,0.32128514056224894,0.10240963855421686
