scope,endpoint,score,n_tasks,fold_macro_spearman,fold1_spearman,fold2_spearman
all_predeclared_test_tasks,direction_error_rank_target,directional_risk_frozen,332,0.7591381639693893,0.7930159452918911,0.7252603826468873
all_predeclared_test_tasks,direction_error_rank_target,magnitude,332,0.3669337008610089,0.4213965881137696,0.3124708136082482
all_predeclared_test_tasks,direction_error_rank_target,source_plus_magnitude_plus_novelty,332,0.7120635076065682,0.7371604499020955,0.6869665653110409
all_predeclared_test_tasks,true_error_cosine,directional_risk_frozen,332,-0.26468902283057105,-0.25117038649972784,-0.2782076591614143
all_predeclared_test_tasks,true_error_cosine,magnitude,332,-0.3578818267080298,-0.4493877524250514,-0.26637590099100816
all_predeclared_test_tasks,true_error_cosine,source_plus_magnitude_plus_novelty,332,-0.2324009756707533,-0.20523499361871714,-0.2595669577227895
all_predeclared_test_tasks,error_two_predictor_mean_rmse,directional_risk_frozen,332,0.32544418282821,0.3599071298804364,0.29098123577598367
all_predeclared_test_tasks,error_two_predictor_mean_rmse,magnitude,332,0.42442694020502264,0.5830682556027048,0.26578562480734047
all_predeclared_test_tasks,error_two_predictor_mean_rmse,source_plus_magnitude_plus_novelty,332,0.30818304704213234,0.3361118015984302,0.2802542924858345
heldout_cell_line_only,direction_error_rank_target,directional_risk_frozen,256,0.5015635983148318,0.5700767986562933,0.43305039797337025
heldout_cell_line_only,direction_error_rank_target,magnitude,256,0.5139862313515753,0.6438561559647609,0.38411630673838976
heldout_cell_line_only,direction_error_rank_target,source_plus_magnitude_plus_novelty,256,0.464889727968462,0.5049165133650813,0.42486294257184276
heldout_cell_line_only,true_error_cosine,directional_risk_frozen,256,-0.3535524629188793,-0.3953831715802966,-0.311721754257462
heldout_cell_line_only,true_error_cosine,magnitude,256,-0.4582150704999084,-0.5693439846182018,-0.34708615638161505
heldout_cell_line_only,true_error_cosine,source_plus_magnitude_plus_novelty,256,-0.3037197265325489,-0.31219894622137945,-0.2952405068437184
heldout_cell_line_only,error_two_predictor_mean_rmse,directional_risk_frozen,256,0.49451794543123967,0.5681365592382347,0.42089933162424464
heldout_cell_line_only,error_two_predictor_mean_rmse,magnitude,256,0.5099998855520966,0.6449368247573704,0.3750629463468229
heldout_cell_line_only,error_two_predictor_mean_rmse,source_plus_magnitude_plus_novelty,256,0.45654167436786985,0.5015228833194829,0.41156046541625685
