fold_id,score,n_tasks,k,normalized_directional_error_capture
E239_cellline_holdout_1_HepG2,directional_risk_frozen,166,34,0.9957702144402911
E239_cellline_holdout_1_HepG2,magnitude,166,34,0.7068660240015738
E239_cellline_holdout_1_HepG2,novelty,166,34,0.4683257918552036
E239_cellline_holdout_1_HepG2,disagreement,166,34,0.6981113515640369
E239_cellline_holdout_1_HepG2,magnitude_plus_novelty,166,34,0.7244737359826874
E239_cellline_holdout_1_HepG2,source_seen,166,34,0.9943930749557349
E239_cellline_holdout_1_HepG2,source_plus_magnitude_plus_novelty,166,34,0.8993704505213456
E239_cellline_holdout_2_Jurkat,directional_risk_frozen,166,34,0.980621680110171
E239_cellline_holdout_2_Jurkat,magnitude,166,34,0.6758803855990556
E239_cellline_holdout_2_Jurkat,novelty,166,34,0.9830808577611646
E239_cellline_holdout_2_Jurkat,disagreement,166,34,0.6758803855990555
E239_cellline_holdout_2_Jurkat,magnitude_plus_novelty,166,34,0.7187684438323825
E239_cellline_holdout_2_Jurkat,source_seen,166,34,0.9830808577611646
E239_cellline_holdout_2_Jurkat,source_plus_magnitude_plus_novelty,166,34,0.8805823332677553
