fold_id,task_id,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,directional_risk_frozen,target_directional_truth_used_for_score
E239_cellline_holdout_1_HepG2,HepG2::TOMM22,context_and_perturbation_unseen,HepG2,TOMM22,0.0756507817608177,0.0459954626858234,1.0,1.0,0.4101080812437101,0.133097093366975,0.43196285462357265,False
E239_cellline_holdout_1_HepG2,HepG2::EEFSEC,context_unseen,HepG2,EEFSEC,0.0800005365535799,0.0497754476964473,1.0,0.5,0.5478531689705045,0.305789140259747,0.37230455667523094,False
E239_cellline_holdout_1_HepG2,HepG2::RPL36A,context_and_perturbation_unseen,HepG2,RPL36A,0.1466960329339914,0.0879739671945571,1.0,1.0,2.6599209607431757,2.050923182289507,0.5121436718302254,False
E239_cellline_holdout_1_HepG2,HepG2::HNRNPA1,context_unseen,HepG2,HNRNPA1,0.0467546211321651,0.0413371436297893,1.0,0.5,-0.5049559557876007,-0.0797224417912734,0.3467955756842761,False
E239_cellline_holdout_1_HepG2,HepG2::GNL3,context_unseen,HepG2,GNL3,0.0512884556643693,0.0383972339332103,1.0,1.0,-0.3613815555900544,-0.2140348852944106,0.41175358944891394,False
E239_cellline_holdout_1_HepG2,HepG2::SASS6,context_unseen,HepG2,SASS6,0.0691474118491217,0.0493147186934948,1.0,1.0,0.2041637690500801,0.2847403174842268,0.43230043057108314,False
E239_cellline_holdout_1_HepG2,HepG2::SCAP,context_and_perturbation_unseen,HepG2,SCAP,0.0872095708189453,0.063511848449707,1.0,1.0,0.7761439818136909,0.933349079347514,0.4564635143339598,False
E239_cellline_holdout_1_HepG2,HepG2::RPL24,context_unseen,HepG2,RPL24,0.1116259481069649,0.0774269104003906,1.0,0.5,1.5493452751613148,1.5690713174382491,0.4176066025976756,False
E239_cellline_holdout_1_HepG2,HepG2::DDX56,context_unseen,HepG2,DDX56,0.0928478571145748,0.0613087154924869,1.0,0.5,0.9546934121660784,0.8326969500692389,0.3910296998936502,False
E239_cellline_holdout_1_HepG2,HepG2::RPP30,context_unseen,HepG2,RPP30,0.0802180872903085,0.0594081319868564,1.0,1.0,0.5547424183060251,0.7458670671581968,0.44860231829624564,False
E239_cellline_holdout_1_HepG2,HepG2::SF3B3,context_and_perturbation_unseen,HepG2,SF3B3,0.0580949861033838,0.0448270589113235,1.0,1.0,-0.1458369612149384,0.0797175061864634,0.42201666795280335,False
E239_cellline_holdout_1_HepG2,HepG2::HMGCS1,context_unseen,HepG2,HMGCS1,0.0795036641864726,0.0601093508303165,1.0,1.0,0.5321185514904362,0.7779028866274693,0.44900020404415897,False
E239_cellline_holdout_1_HepG2,HepG2::DSTYK,context_unseen,HepG2,DSTYK,0.0489208755913062,0.0342404022812843,1.0,0.5,-0.4363564772584982,-0.4039435131175884,0.3402609632677759,False
E239_cellline_holdout_1_HepG2,HepG2::RBM33,context_unseen,HepG2,RBM33,0.0515145616826934,0.0372674129903316,1.0,0.5,-0.3542213833933523,-0.2656517807846504,0.34479017363871667,False
E239_cellline_holdout_1_HepG2,HepG2::RAN,context_unseen,HepG2,RAN,0.0457851412257858,0.033906053751707,1.0,0.5,-0.5356567886197852,-0.4192185292316746,0.33834972729423185,False
E239_cellline_holdout_1_HepG2,HepG2::CLASRP,context_unseen,HepG2,CLASRP,0.0516973398988366,0.0302290879189968,1.0,0.5,-0.3484332866806173,-0.5872040514548725,0.337335953381953,False
E239_cellline_holdout_1_HepG2,HepG2::TUBB2A,context_unseen,HepG2,TUBB2A,0.0456581974458149,0.0302243307232856,1.0,0.5,-0.5396767582368217,-0.587421388259785,0.334340240919314,False
E239_cellline_holdout_1_HepG2,HepG2::PABPC1,context_unseen,HepG2,PABPC1,0.0912947921613796,0.0680543482303619,1.0,0.5,0.9055120034624796,1.14087730576283,0.39749159586995353,False
E239_cellline_holdout_1_HepG2,HepG2::LIN54,context_unseen,HepG2,LIN54,0.0460049756724394,0.0295202899724245,1.0,0.5,-0.5286952203056215,-0.6195861291305618,0.3337572706797999,False
E239_cellline_holdout_1_HepG2,HepG2::ZNHIT3,context_unseen,HepG2,ZNHIT3,0.0655918963480685,0.0452826581895351,1.0,1.0,0.0915701130992949,0.10053197283014,0.42621755437527153,False
E239_cellline_holdout_1_HepG2,HepG2::CENPJ,context_and_perturbation_unseen,HepG2,CENPJ,0.0879047896124892,0.0637790039181709,1.0,1.0,0.7981596995422758,0.9455543194630064,0.4570941674113972,False
E239_cellline_holdout_1_HepG2,HepG2::EIF4B,context_unseen,HepG2,EIF4B,0.0745248493611881,0.0318310186266899,1.0,0.5,0.3744528168551341,-0.5140183927513622,0.35035743782423534,False
E239_cellline_holdout_1_HepG2,HepG2::TMEM242,context_and_perturbation_unseen,HepG2,TMEM242,0.0559576509032486,0.024484634399414,1.0,1.0,-0.213520644243248,-0.8496446256341306,0.39915218605595826,False
E239_cellline_holdout_1_HepG2,HepG2::IARS2,context_and_perturbation_unseen,HepG2,IARS2,0.0435985286680044,0.0349150262773036,1.0,1.0,-0.6049009536235866,-0.3731227033979395,0.40421274717555866,False
E239_cellline_holdout_1_HepG2,HepG2::GNL3L,context_unseen,HepG2,GNL3L,0.066516769144196,0.0527073703706264,1.0,0.5,0.1208583581862798,0.4397366893934778,0.368770203530934,False
E239_cellline_holdout_1_HepG2,HepG2::LAS1L,context_unseen,HepG2,LAS1L,0.0931526357011485,0.0638760104775428,1.0,0.5,0.9643449339517904,0.9499861521959098,0.3939326397386223,False
E239_cellline_holdout_1_HepG2,HepG2::ARCN1,context_unseen,HepG2,ARCN1,0.0480884921314359,0.0271790623664855,1.0,0.5,-0.4627158327083623,-0.7265472378056246,0.33227935920338236,False
E239_cellline_holdout_1_HepG2,HepG2::RPS9,context_unseen,HepG2,RPS9,0.1351048644797062,0.0891078189015388,1.0,0.5,2.2928596913934,2.102724226897143,0.4417548277098102,False
E239_cellline_holdout_1_HepG2,HepG2::GPN1,context_unseen,HepG2,GPN1,0.1441864715635419,0.0932572782039642,1.0,0.5,2.580449871544414,2.292296042240351,0.45070009723089494,False
E239_cellline_holdout_1_HepG2,HepG2::LSM7,context_unseen,HepG2,LSM7,0.054698459518368,0.0442021526396274,1.0,1.0,-0.2533958638909902,0.0511680958390621,0.4196648230052528,False
E239_cellline_holdout_1_HepG2,HepG2::IPO11,context_unseen,HepG2,IPO11,0.0534443034413098,0.0333458222448825,1.0,0.5,-0.2931116288221347,-0.4448132142305377,0.34154204182619274,False
E239_cellline_holdout_1_HepG2,HepG2::MIOS,context_unseen,HepG2,MIOS,0.0579787099279355,0.0434755720198154,1.0,0.5,-0.1495191163594816,0.0179736005923086,0.3546460879744624,False
E239_cellline_holdout_1_HepG2,HepG2::PDCD11,context_unseen,HepG2,PDCD11,0.1547627639759976,0.0977062433958053,1.0,0.5,2.915372734001407,2.495551056049764,0.46070659761726857,False
E239_cellline_holdout_1_HepG2,HepG2::MCM7,context_unseen,HepG2,MCM7,0.0496478567947524,0.0274716336280107,1.0,0.5,-0.4133349290528275,-0.7131808541102459,0.3333651860179694,False
E239_cellline_holdout_1_HepG2,HepG2::AATF,context_unseen,HepG2,AATF,0.0525393943540025,0.0412893891334533,1.0,1.0,-0.3217676767040343,-0.0819041493105932,0.4154733063458188,False
E239_cellline_holdout_1_HepG2,HepG2::RPS19BP1,context_unseen,HepG2,RPS19BP1,0.1509722259847933,0.0937044396996498,1.0,0.5,2.7953365450651986,2.3127250211290344,0.4545397709174041,False
E239_cellline_holdout_1_HepG2,HepG2::ESYT1,context_and_perturbation_unseen,HepG2,ESYT1,0.0499928452412238,0.0269045662134885,1.0,1.0,-0.402410068666904,-0.7390878437582978,0.39879243104736184,False
E239_cellline_holdout_1_HepG2,HepG2::DDX55,context_unseen,HepG2,DDX55,0.1463087011901837,0.0951118916273117,1.0,1.0,2.6476552015056805,2.377025740208074,0.5196033617166771,False
E239_cellline_holdout_1_HepG2,HepG2::TIMM13,context_unseen,HepG2,TIMM13,0.1845175865880589,0.1022108569741249,1.0,0.5,3.8576282969617455,2.701348416916169,0.480270052588932,False
E239_cellline_holdout_1_HepG2,HepG2::WDR46,context_unseen,HepG2,WDR46,0.1096252006687443,0.0757224038243293,1.0,1.0,1.4859869608362326,1.4911993870642133,0.4806529497342793,False
