setting,score,spearman
context_and_perturbation_unseen,baseline_predicted_magnitude,-0.19999999999999998
context_and_perturbation_unseen,risk_model_disagreement,0.024999999999999994
context_and_perturbation_unseen,safeconf_calibrated_pair_risk,-0.37499999999999994
context_and_perturbation_unseen,safeconf_frozen_pair_risk,0.024999999999999994
context_unseen_row,baseline_predicted_magnitude,0.17589285714285713
context_unseen_row,risk_model_disagreement,0.04553571428571429
context_unseen_row,safeconf_calibrated_pair_risk,0.38125
context_unseen_row,safeconf_frozen_pair_risk,0.03839285714285712
perturbation_unseen_column,baseline_predicted_magnitude,0.03571428571428572
perturbation_unseen_column,risk_model_disagreement,-0.10892857142857142
perturbation_unseen_column,safeconf_calibrated_pair_risk,-0.11428571428571424
perturbation_unseen_column,safeconf_frozen_pair_risk,-0.10892857142857142
random_missing_pair,baseline_predicted_magnitude,0.22619047619047622
random_missing_pair,risk_model_disagreement,0.26785714285714285
random_missing_pair,safeconf_calibrated_pair_risk,0.10714285714285715
random_missing_pair,safeconf_frozen_pair_risk,0.22023809523809523
all_test_settings_pooled,safeconf_calibrated_pair_risk,0.17268196919359707
all_test_settings_pooled,safeconf_frozen_pair_risk,0.05334491090305045
all_test_settings_pooled,risk_model_disagreement,0.05134400483237693
all_test_settings_pooled,baseline_predicted_magnitude,0.2086982784657203
