cohort,scope,method,n_tasks,fold_macro_spearman,fold_macro_top20_capture,fold_macro_expected_random_tie_capture,target_mean
E237,heldout_context_only,directional_risk_frozen,256,0.5665518123055195,0.792169283539796,,0.3885659826807229
E237,heldout_context_only,magnitude,256,0.5849475412798824,0.8034082259685873,,0.3885659826807229
E237,mixed,directional_risk_frozen,332,0.7917241302170352,0.9903600236081054,,0.5030120481927711
E237,mixed,magnitude,332,0.38548305233793134,0.6650600039346841,,0.5030120481927711
E237,mixed,source_seen,332,0.7276530901773379,0.984457997245721,0.9865780672416827,0.5030120481927711
E237,source_seen_only,directional_risk_frozen,76,0.2039406821341148,0.9284139984005213,,0.8885145846544071
E237,source_seen_only,magnitude,76,0.20782624129649307,0.9334175527976066,,0.8885145846544071
E239,heldout_context_only,directional_risk_frozen,256,0.501754701198192,0.7629037629037627,,0.3885895143072289
E239,heldout_context_only,magnitude,256,0.5143663601703227,0.7963702963702964,,0.3885895143072289
E239,mixed,directional_risk_frozen,332,0.75922659567885,0.9881959472752312,,0.5030120481927711
E239,mixed,magnitude,332,0.36716580936116605,0.6913732048003147,,0.5030120481927711
E239,mixed,source_seen,332,0.7275768502037608,0.9887369663584498,0.9864900545678579,0.5030120481927711
E239,source_seen_only,directional_risk_frozen,76,-0.025817497923022723,0.9037478500682046,,0.8884353202282816
E239,source_seen_only,magnitude,76,-0.01689685532046023,0.9037478500682046,,0.8884353202282816
