cohort,fold_id,scope,method,n_tasks,n_genes,spearman,top20_oracle_normalized_capture_stable_ties,top20_capture_expected_random_ties,target_mean
E237,E237_cellline_holdout_1_HepG2,mixed,directional_risk_frozen,166,128,0.7981327046686242,0.989376352547708,,0.5030120481927711
E237,E237_cellline_holdout_1_HepG2,mixed,magnitude,166,128,0.4059501206244481,0.6654534723588432,,0.5030120481927711
E237,E237_cellline_holdout_1_HepG2,mixed,source_seen,166,128,0.7275751803911324,0.9885894156993902,0.9865340609047704,0.5030120481927711
E237,E237_cellline_holdout_1_HepG2,source_seen_only,directional_risk_frozen,38,38,0.20188310447555546,0.9175972275702733,,0.8884749524413444
E237,E237_cellline_holdout_1_HepG2,source_seen_only,magnitude,38,38,0.2003503694090382,0.9237581825182902,,0.8884749524413444
E237,E237_cellline_holdout_1_HepG2,heldout_context_only,directional_risk_frozen,128,128,0.5806410540040245,0.8038954553021475,,0.38857774849397597
E237,E237_cellline_holdout_1_HepG2,heldout_context_only,magnitude,128,128,0.6174819455873367,0.8202097552855002,,0.38857774849397597
E237,E237_cellline_holdout_2_Jurkat,mixed,directional_risk_frozen,166,128,0.7853155557654462,0.9913436946685028,,0.5030120481927711
E237,E237_cellline_holdout_2_Jurkat,mixed,magnitude,166,128,0.36501598405141455,0.6646665355105251,,0.5030120481927711
E237,E237_cellline_holdout_2_Jurkat,mixed,source_seen,166,128,0.7277309999635434,0.9803265787920519,0.9866220735785951,0.5030120481927711
E237,E237_cellline_holdout_2_Jurkat,source_seen_only,directional_risk_frozen,38,38,0.2059982597926741,0.9392307692307692,,0.8885542168674698
E237,E237_cellline_holdout_2_Jurkat,source_seen_only,magnitude,38,38,0.21530211318394796,0.943076923076923,,0.8885542168674698
E237,E237_cellline_holdout_2_Jurkat,heldout_context_only,directional_risk_frozen,128,128,0.5524625706070145,0.7804431117774446,,0.3885542168674698
E237,E237_cellline_holdout_2_Jurkat,heldout_context_only,magnitude,128,128,0.5524131369724281,0.7866066966516744,,0.3885542168674698
E239,E239_cellline_holdout_1_HepG2,mixed,directional_risk_frozen,166,128,0.7930256249271878,0.9957702144402912,,0.5030120481927711
E239,E239_cellline_holdout_1_HepG2,mixed,magnitude,166,128,0.4216369871294287,0.7068660240015738,,0.5030120481927711
E239,E239_cellline_holdout_1_HepG2,mixed,source_seen,166,128,0.7274293828525545,0.9943930749557349,0.9863580355571205,0.5030120481927711
E239,E239_cellline_holdout_1_HepG2,source_seen_only,directional_risk_frozen,38,38,0.1851912727348374,0.9148033924441017,,0.8883164235890935
E239,E239_cellline_holdout_1_HepG2,source_seen_only,magnitude,38,38,0.20992722287554264,0.9148033924441017,,0.8883164235890935
E239,E239_cellline_holdout_1_HepG2,heldout_context_only,directional_risk_frozen,128,128,0.5700959992401388,0.8341658341658341,,0.38862481174698793
E239,E239_cellline_holdout_1_HepG2,heldout_context_only,magnitude,128,128,0.6442479658146629,0.8519813519813522,,0.38862481174698793
E239,E239_cellline_holdout_2_Jurkat,mixed,directional_risk_frozen,166,128,0.7254275664305121,0.9806216801101711,,0.5030120481927711
E239,E239_cellline_holdout_2_Jurkat,mixed,magnitude,166,128,0.3126946315929034,0.6758803855990556,,0.5030120481927711
E239,E239_cellline_holdout_2_Jurkat,mixed,source_seen,166,128,0.7277243175549671,0.9830808577611646,0.9866220735785951,0.5030120481927711
E239,E239_cellline_holdout_2_Jurkat,source_seen_only,directional_risk_frozen,38,38,-0.23682626858088285,0.8926923076923076,,0.8885542168674698
E239,E239_cellline_holdout_2_Jurkat,source_seen_only,magnitude,38,38,-0.2437209335164631,0.8926923076923076,,0.8885542168674698
E239,E239_cellline_holdout_2_Jurkat,heldout_context_only,directional_risk_frozen,128,128,0.43341340315624516,0.6916416916416914,,0.3885542168674698
E239,E239_cellline_holdout_2_Jurkat,heldout_context_only,magnitude,128,128,0.38448475452598235,0.7407592407592407,,0.3885542168674698
