dataset,predictor,held_perturbation_bucket,method,n_fit,n_test,n_fit_perturbations,n_test_perturbations,utility20,spearman
CuiHacohen2023,ContextSimBaseline,0,M,1034,219,71,15,0.40492124762924514,0.36178157585588466
CuiHacohen2023,ContextSimBaseline,0,P,1034,219,71,15,0.3794915791152579,0.3938007700480995
CuiHacohen2023,ContextSimBaseline,0,P_plus_B,1034,219,71,15,0.7274257788068167,0.590794840449233
CuiHacohen2023,ContextSimBaseline,0,P_plus_Bsafe,1034,219,71,15,0.7196588006138742,0.5862750922572464
CuiHacohen2023,ContextSimBaseline,0,P_plus_E,1034,219,71,15,0.7654288974869201,0.7104790521781851
CuiHacohen2023,ContextSimBaseline,0,P_plus_B_plus_E,1034,219,71,15,0.7230250454292163,0.7091811669541971
CuiHacohen2023,ContextSimBaseline,0,P_plus_Bsafe_plus_E,1034,219,71,15,0.7291888926565867,0.7078969917853921
CuiHacohen2023,ContextSimBaseline,0,P_plus_B_plus_E_dynamic,1034,219,71,15,0.7290336271701781,0.7191116376103971
CuiHacohen2023,ContextSimBaseline,0,P_plus_Bsafe_plus_E_dynamic,1034,219,71,15,0.7281449030713012,0.7255389753075211
CuiHacohen2023,ContextSimBaseline,1,M,945,308,65,21,0.20605058944671856,0.24166038629415293
CuiHacohen2023,ContextSimBaseline,1,P,945,308,65,21,0.2748706440587339,0.27818312423479874
CuiHacohen2023,ContextSimBaseline,1,P_plus_B,945,308,65,21,0.714753084740776,0.5246915887313092
CuiHacohen2023,ContextSimBaseline,1,P_plus_Bsafe,945,308,65,21,0.6955208166746982,0.5192283444710629
CuiHacohen2023,ContextSimBaseline,1,P_plus_E,945,308,65,21,0.7520910439063112,0.7025916116077718
CuiHacohen2023,ContextSimBaseline,1,P_plus_B_plus_E,945,308,65,21,0.8078300139119351,0.6847409887478197
CuiHacohen2023,ContextSimBaseline,1,P_plus_Bsafe_plus_E,945,308,65,21,0.7880512021366337,0.6838374300820144
CuiHacohen2023,ContextSimBaseline,1,P_plus_B_plus_E_dynamic,945,308,65,21,0.7951591732815383,0.7409942480449152
CuiHacohen2023,ContextSimBaseline,1,P_plus_Bsafe_plus_E_dynamic,945,308,65,21,0.8009104021736126,0.7338407254267466
CuiHacohen2023,ContextSimBaseline,2,M,992,261,68,18,0.059438969981756365,0.21113876748898894
CuiHacohen2023,ContextSimBaseline,2,P,992,261,68,18,0.25007804573534653,0.2546581084090955
CuiHacohen2023,ContextSimBaseline,2,P_plus_B,992,261,68,18,0.7600878805886486,0.5649131687826081
CuiHacohen2023,ContextSimBaseline,2,P_plus_Bsafe,992,261,68,18,0.7536838218012546,0.5482157922800197
CuiHacohen2023,ContextSimBaseline,2,P_plus_E,992,261,68,18,0.7651502199042653,0.6994863695574409
CuiHacohen2023,ContextSimBaseline,2,P_plus_B_plus_E,992,261,68,18,0.79490704826119,0.7187809207551246
CuiHacohen2023,ContextSimBaseline,2,P_plus_Bsafe_plus_E,992,261,68,18,0.7980594004100268,0.7112755718441426
CuiHacohen2023,ContextSimBaseline,2,P_plus_B_plus_E_dynamic,992,261,68,18,0.8418607714037037,0.6992193687351231
CuiHacohen2023,ContextSimBaseline,2,P_plus_Bsafe_plus_E_dynamic,992,261,68,18,0.8602086657772257,0.7109764331949013
CuiHacohen2023,ContextSimBaseline,3,M,1049,204,72,14,0.29343945837884794,0.3919372355460164
CuiHacohen2023,ContextSimBaseline,3,P,1049,204,72,14,0.3841323567177873,0.3980267296153112
