dataset,predictor,method,n_buckets,utility20_mean,delta_utility20_vs_M,positive_utility_buckets_vs_M,spearman_mean,delta_spearman_vs_M,positive_spearman_buckets_vs_M
CuiHacohen2023,ContextSimBaseline,P,5,0.3558431759500956,0.040075655364297136,3,0.35026964547265593,0.02648874301199437,5
CuiHacohen2023,ContextSimBaseline,P_plus_B,5,0.7447858181165526,0.4290182975307542,5,0.5784431454159524,0.25466224295529083,5
CuiHacohen2023,ContextSimBaseline,P_plus_B_plus_E,5,0.7891487744541978,0.47338125386839935,5,0.7103791870702804,0.3865982846096188,5
CuiHacohen2023,ContextSimBaseline,P_plus_B_plus_E_dynamic,5,0.8047292019581181,0.48896168137231977,5,0.7294971250858568,0.40571622262519524,5
CuiHacohen2023,ContextSimBaseline,P_plus_Bsafe,5,0.7296782608834327,0.4139107402976343,5,0.5674512335714603,0.24367033111079875,5
CuiHacohen2023,ContextSimBaseline,P_plus_Bsafe_plus_E,5,0.7821596007526583,0.4663920801668599,5,0.7047057214920553,0.38092481903139386,5
CuiHacohen2023,ContextSimBaseline,P_plus_Bsafe_plus_E_dynamic,5,0.7967729861348711,0.4810054655490726,5,0.7275573155136613,0.4037764130529998,5
CuiHacohen2023,ContextSimBaseline,P_plus_E,5,0.7798541388856483,0.4640866182998499,5,0.7117715830942243,0.3879906806335626,5
CuiHacohen2023,PertMeanPredictor,P,5,0.3783357657045048,0.11323366713417922,4,0.5142490317729832,0.09622492654465033,5
CuiHacohen2023,PertMeanPredictor,P_plus_B,5,0.6651344738186388,0.40003237524831325,5,0.6246538907099256,0.2066297854815927,5
CuiHacohen2023,PertMeanPredictor,P_plus_B_plus_E,5,0.7239615699049594,0.45885947133463373,5,0.7225400050451004,0.3045158998167675,5
CuiHacohen2023,PertMeanPredictor,P_plus_B_plus_E_dynamic,5,0.7630443650185024,0.4979422664481768,5,0.758393911482717,0.3403698062543842,5
CuiHacohen2023,PertMeanPredictor,P_plus_Bsafe,5,0.6989979294413425,0.4338958308710169,5,0.6226115821260084,0.20458747689767548,5
CuiHacohen2023,PertMeanPredictor,P_plus_Bsafe_plus_E,5,0.742319950345774,0.4772178517754485,5,0.7163377283950502,0.2983136231667173,5
CuiHacohen2023,PertMeanPredictor,P_plus_Bsafe_plus_E_dynamic,5,0.7526953846863764,0.4875932861160508,5,0.7446936716507858,0.3266695664224528,5
CuiHacohen2023,PertMeanPredictor,P_plus_E,5,0.7364376996176523,0.4713356010473267,5,0.7181559644672815,0.30013185923894853,5
CuiHacohen2023,V0StrongBaseline,P,5,0.43650060004740193,0.11902940163049643,5,0.4936127977075824,0.034606511580916356,4
CuiHacohen2023,V0StrongBaseline,P_plus_B,5,0.7083044245783194,0.39083322616141397,5,0.5959361503666105,0.13692986423994455,5
CuiHacohen2023,V0StrongBaseline,P_plus_B_plus_E,5,0.761264949784295,0.4437937513673894,5,0.712064652005407,0.25305836587874103,5
CuiHacohen2023,V0StrongBaseline,P_plus_B_plus_E_dynamic,5,0.7831825584865634,0.46571136006965785,5,0.7424044194683264,0.2833981333416603,5
