dataset,fraction,formula,n_folds,score_spearman_median,score_spearman_p05,top20_jaccard_median,top20_jaccard_p05,delta_outcome_spearman_mean,delta_utility20_mean
Frangieh,0.25,fixed_80_20,3,0.99704540421556065,0.99371076275655534,1,0.7734204793028322,-0.0025290990317664262,8.7193194915400975e-05
Frangieh,0.25,one_sided_025,3,0.99821241360036861,0.99457751686580231,1,0.8666666666666667,-0.0015070277323878747,0.0014106848385055171
Frangieh,0.5,fixed_80_20,3,0.99899698247176183,0.99802997093982893,0.978494623655914,0.88928713659896452,-0.00096181578956406591,-0.0017991672333581791
Frangieh,0.5,one_sided_025,3,0.99937380345851645,0.99836930577743133,1,0.93103448275862066,-0.00096916815169691833,-0.00017584439539678192
Frangieh,0.75,fixed_80_20,3,0.99965219279911099,0.99935100047282877,1,0.93862433862433858,-0.00022378130039988126,-0.00048778494557793367
Frangieh,0.75,one_sided_025,3,0.999776788316452,0.99951437288960199,1,0.95384073291050042,-0.00039229089082749684,-0.000178345674594951
Lara_exvivo,0.25,fixed_80_20,5,0.98771784285427167,0.94571702988166795,1,0.57999999999999996,-0.016807361354129226,-0.0040833426558848042
Lara_exvivo,0.25,one_sided_025,5,0.99560044023737859,0.97562948046716258,1,0.78666666666666663,-0.0051203462505388974,-0.0032439784452136995
Lara_exvivo,0.5,fixed_80_20,5,0.99569351075408297,0.98793362263241224,1,0.76111111111111107,-0.0078415121403814063,0.0015350390080247187
Lara_exvivo,0.5,one_sided_025,5,0.99838919772816337,0.99494398191752875,1,0.91111111111111109,-0.0013722024090265833,-0.00048785317301654901
Lara_exvivo,0.75,fixed_80_20,5,0.99858087304747944,0.99625194393001171,1,0.89857142857142858,-0.0033276354250932304,0.00090039500409326535
Lara_exvivo,0.75,one_sided_025,5,0.99939079272230202,0.99838352773850647,1,0.96923076923076912,-0.00020112702886670872,-0.00028601374054173655
Liang,0.25,fixed_80_20,9,0.98807936115253447,0.88032663402789679,0.96296296296296291,0.43333333333333335,0.0002403929532985131,0.016944833028316921
Liang,0.25,one_sided_025,9,0.99827035769418082,0.97950989077545969,1,0.68809523809523809,-0.0019998039397485733,0.00058162074559878609
Liang,0.5,fixed_80_20,9,0.99081183061374789,0.95085144139236077,0.90617283950617278,0.52878787878787881,0.00013465122705802834,0.0081855448666123334
Liang,0.5,one_sided_025,9,0.99867642519806799,0.99268525839791877,1,0.81701940035273368,0.00041371078011277057,-0.0005190516103511575
Liang,0.75,fixed_80_20,9,0.99724669492669493,0.98637975912760945,0.89489214489214497,0.68315018315018305,4.4741075606919242e-05,-0.00088218743402356393
Liang,0.75,one_sided_025,9,0.99957668778185083,0.99835071710904211,1,0.91101491101491106,0.00063967963772497015,0.00060938259228609701
Nadig_two_cellline,0.25,fixed_80_20,2,0.99412392727918353,0.98730256969158003,1,0.73214285714285721,-0.0016639541987380597,-0.0027373525522832254
Nadig_two_cellline,0.25,one_sided_025,2,0.99626192507393663,0.98870083284922261,1,0.875,-0.0020599438291292269,-0.0033332259868804779
Nadig_two_cellline,0.5,fixed_80_20,2,0.99795534580983569,0.99596381004233403,1,0.8571428571428571,-0.0012753812805846735,-0.0015724286858968019
Nadig_two_cellline,0.5,one_sided_025,2,0.99865033799399172,0.99658670669106408,1,0.8571428571428571,-0.0011546224508947626,-0.0018667556242673508
Nadig_two_cellline,0.75,fixed_80_20,2,0.99919904235391976,0.9984774700360205,1,0.90000000000000002,-0.00066763036022224147,-0.00049244316906548184
Nadig_two_cellline,0.75,one_sided_025,2,0.99945724419956616,0.99882875465285859,1,0.90476190476190477,-0.00076004770721359359,0.00070130422038037045
Replogle_two_cellline,0.25,fixed_80_20,2,0.99637897156272115,0.99097076015244434,1,0.875,-0.0018622278755062759,-0.00034714245102504348
Replogle_two_cellline,0.25,one_sided_025,2,0.99766291108107041,0.99418013386107518,1,0.875,-0.0021242878751835141,-0.00061222147206957997
Replogle_two_cellline,0.5,fixed_80_20,2,0.99871785405535296,0.99754366225954239,0.9285714285714286,0.8666666666666667,-0.00075649632578511151,0.0021771408642671875
Replogle_two_cellline,0.5,one_sided_025,2,0.99921295572282176,0.99835156731726349,1,0.9285714285714286,-0.0011327028498063693,1.6581333354809964e-07
Replogle_two_cellline,0.75,fixed_80_20,2,0.99952944729146942,0.99918606504422047,0.95238095238095233,0.90909090909090917,-0.00015330661334751907,0.0026223439548475375
Replogle_two_cellline,0.75,one_sided_025,2,0.99970155582284237,0.9994556020200529,1,1,-0.00043543270220259157,3.4446217514748774e-06
Santinha,0.25,fixed_80_20,5,0.97199672751379962,0.87285207970154077,1,0.33999999999999997,-0.0016477792792334051,0.019870776206705985
Santinha,0.25,one_sided_025,5,0.98831134250739172,0.91243380540879016,1,0.76000000000000001,-0.0087989661514425027,0.0018304261415057043
Santinha,0.5,fixed_80_20,5,0.9888855827750278,0.96682145136828423,0.97777777777777786,0.56444444444444442,-0.0084437243532410541,0.015643806609669665
Santinha,0.5,one_sided_025,5,0.99524122235402701,0.9776397731657116,1,0.89250000000000007,-0.0087674084281619095,-0.0015801686776349521
Santinha,0.75,fixed_80_20,5,0.99603916317521723,0.9891248472889842,1,0.71565656565656566,-0.0059466304093778377,0.0078880584641905227
Santinha,0.75,one_sided_025,5,0.99853429608315525,0.9943904951779805,1,0.91555555555555546,-0.0031841820446317538,-0.002554782505548997
Shifrut,0.25,fixed_80_20,4,0.98406138675730537,0.92708963381868636,1,0.375,0.010557506492854847,0.0060941241700703478
Shifrut,0.25,one_sided_025,4,0.99443660473835216,0.96287046287046296,1,0.89500000000000024,-0.0022455888094718678,-0.00084490784062167231
Shifrut,0.5,fixed_80_20,4,0.99410702711970944,0.98200912441245491,1,0.69999999999999996,0.0049252329636985236,0.0023199336592277715
Shifrut,0.5,one_sided_025,4,0.99686492965056328,0.98956703645750088,1,0.84523809523809523,-0.0014201855474879985,-0.0020297371420561461
Shifrut,0.75,fixed_80_20,4,0.9977655546416957,0.99380338089149012,1,0.85714285714285721,0.0034478167084846609,0.0008722548255491677
Shifrut,0.75,one_sided_025,4,0.99873389378535704,0.99602368813737607,1,0.9375,-0.0010701389397997053,-0.0029468294929228265
Tian_CRISPRi,0.25,fixed_80_20,4,0.99100980499118707,0.97896818529758856,0.8257575757575758,0.65151515151515149,-0.0081292682315866789,-0.0077166344510691985
Tian_CRISPRi,0.25,one_sided_025,4,0.9948168505909365,0.98383507943321735,1,0.79444444444444451,-0.0078303682497300638,-0.0040417049922032372
Tian_CRISPRi,0.5,fixed_80_20,4,0.9972596372858461,0.99455465830665091,0.90357142857142858,0.81813858695652186,-0.0029076944765836533,-0.0070843198800908339
Tian_CRISPRi,0.5,one_sided_025,4,0.99838292309478005,0.99592120179110299,1,0.89473684210526316,-0.0030212508330768589,-0.0011240070999121955
Tian_CRISPRi,0.75,fixed_80_20,4,0.9990512505188347,0.99825546922273023,0.94942528735632181,0.88099343185550083,-0.0011450868569213711,-0.0053490003756836903
Tian_CRISPRi,0.75,one_sided_025,4,0.99943918763864081,0.99883402355380935,1,0.92980295566502469,-0.00085899186582219771,-0.00028504946946687488
