e170_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e170_selection_sha256,e170_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_e168_primary_target,selection_used_expression_abundance_effect_or_error
601,P04,1,ENSG00000163884,KLF15,2,KLF15-1+KLF15-2,True,KLF15,True,True,KLF15,True,True,7309fe0a76c49f895cbbfe1041105672a69b90b8f75be786bd09362363ab1001,a4acff27c4332821eb94b5238ff0ff1491e8eaf3ecb4c7140f345d4031246a78,1d9a1a57ca55bc0fa145c0c276255f3d7c64ab4a6eeb914e48917ea733915423,f3f31fe385ccae65784d84c3c3d75f639f9079e7fce01c8e66f1600aa52e9a94,DONOR_UNSEEN_ONLY,6,True,False
602,P04,2,ENSG00000085733,CTTN,2,CTTN-1+CTTN-2,True,CTTN,True,True,CTTN,True,True,c3ed28eb632bebb7242cd22b03fb489549281df8403779171ef65743bb43f636,1bd6a9a7db3f6af659da01522af2465f2c33570952e6c88f972d43da52014972,1da60984fcd664f3478d43ef64c9dded78a2e8c027c8594460a1d8f8e75e5720,c0f497c6b8fb6580fa5d59487d02112d9756ea1189a315f35b99c5f8700bb1c0,DONOR_UNSEEN_ONLY,6,True,False
603,P04,3,ENSG00000164466,SFXN1,2,SFXN1-1+SFXN1-2,True,SFXN1,True,True,SFXN1,True,True,f90a26bc5d29a787a1b6739416a0d60c037c120907bb84bb91693c499a17782d,2b43ef219f99fe7515e9c97341222b5cde2f504f162551f7823dbc8fb1092574,1dac7e6068e7e75be3898e6d77a9425082ed038f742e4e755979a25243727821,50752d22f1115ff3c771b183642f7dee57d54e7bb533588d1c7d78d056bfdc9e,DONOR_UNSEEN_ONLY,6,True,False
604,P04,4,ENSG00000165724,ZMYND19,2,ZMYND19-1+ZMYND19-2,True,ZMYND19,True,True,ZMYND19,True,True,5de395ff5c578db36aade3bfa5f6c3d0a46d9496460881dbc7ee619baf19bc3d,084b4dceebebc9251a90f5a6072b8fa45097d71a09085ab3451659a9db9f8830,1dbde6307a595b8eb0a674eb5f592729f4fa8c3bea6603676ca1046b91cf0830,321427f919a294b94bf81a8cae4956b17b3c7315e86ddf662281d65eb2899e34,DONOR_UNSEEN_ONLY,6,True,False
605,P04,5,ENSG00000134250,NOTCH2,2,NOTCH2-1+NOTCH2-2,True,NOTCH2,True,True,NOTCH2,True,True,a7b2a176fb4bd1505b626506cce825304b48f430bef28cdfb0ade29d30fcd791,14fd728a3181ddc9688cfc3d65c662898dc58d328d14ac1bd8b4288bfdbec1fb,1de6e0e3fd05026d6a1c9539e7825bcfa10e9fac30f8e8384bf3b526be0cea83,dac5eb70ac1203198bc7bac58a8b08366cd3a8d40b4dbf9c8a9daaa5f56f4597,DONOR_UNSEEN_ONLY,6,True,False
606,P04,6,ENSG00000277258,PCGF2,2,PCGF2-1+PCGF2-2,True,PCGF2,True,True,PCGF2,True,True,e6f0e88b94ba9a9a4f44fe2ecd6ca5d7d98c91b0df4ee9804007066ec3b0e9c4,bd31e57eb05af929d578a34158278d392ee77a78221b9af4843cc9815d28306a,1df2e572c2ea7fc9ea283c858070ecc83be536898544cbba351e90c8f51e7d73,0fcf2c11f602444bf56ef67b1f3ae196d56085d0f4acb9b722f6941496adc678,COLUMN_UNSEEN,0,True,False
607,P04,7,ENSG00000131374,TBC1D5,2,TBC1D5-1+TBC1D5-2,True,TBC1D5,True,True,TBC1D5,True,True,6e401c1e86e329589da1f0c74bbc0ee7f139611bde43b550a6e7a70f3e4676a6,4ded1eff7f12be382e7a6a3409231eed1933b566249a7ee2b21a23cbeb63687a,1dfd2d4f0242cd21146ec469b189fcc4dfacf2868fd2f2fccfc20967275ffe93,bc9d5b552c6cf99b52ab7466108826ba67087ff6051d0c7bf9d61c441d7c6b6f,DONOR_UNSEEN_ONLY,6,True,False
608,P04,8,ENSG00000173193,PARP14,2,PARP14-1+PARP14-2,True,PARP14,True,True,PARP14,True,True,466426dbee23f561bfcb7b64c8ff4ceadb2b5c49e7bae2eaf6fb53a87df09bf2,ac5506915d8f96c0ed38b066a0350086852c352e08198b30508c913405145cbd,1e1a1f0ebd9ffa761ae88b2657c622eca7c6dbf954f9be56a95858937b7dcbb7,81e0c86d81501c64851620c225b4fa7e73e9408ac874e892782debb54ad42d95,DONOR_UNSEEN_ONLY,6,True,False
609,P04,9,ENSG00000164818,DNAAF5,2,DNAAF5-1+DNAAF5-2,True,DNAAF5,True,True,DNAAF5,True,True,0aad54d4de3a716340dcdf021aa89015d5cd8eddff2c93cc313f2d92f41011a0,c97ef4513ff1c95a7c3290f51c509e927825927d85f5bd0ac9f1bae8debcb7e6,1e213c42dbfd7a04b143dfafd78b1d7e8cd8b45e75bbe8e5cb335c85823c4c84,e88cb2374354593880c539c27942cc5c593722d0754edb0f7bccf05d27f9b9f9,DONOR_UNSEEN_ONLY,6,True,False
610,P04,10,ENSG00000078237,TIGAR,2,TIGAR-1+TIGAR-2,True,TIGAR,True,True,TIGAR,True,True,8f6c7741ee9fd933b1c86e3bdb9c73252b1046eb265aaac48ff9998ee9e333b2,30f5db34444ec960ccf38bb3513521ecb293809bddd69e917905c8af3ca548e0,1e2d023ecaabaeccee610c783b1169b597f825ea931fd8d6bd51ce1f19537a48,80616146e8febecdbbeb1b5723182a693e0e52ab09750a739d1c58afac71a40c,DONOR_UNSEEN_ONLY,6,True,False
611,P04,11,ENSG00000115464,USP34,2,USP34-1+USP34-2,True,USP34,True,True,USP34,True,True,385239f3ef73bd070edca46e98a0e82cc367fda885c36c31f98a2aa5c3a75db6,37a059d81913f5419d37ee3cb27a86e057bfeb306ee08a0ef7ba588e438e631a,1e4b23bdbd8e5bd2b5d60456ddd2809a895ea4b3ffcc52b9379f8bb859f23c7a,2ceda611cfa99b3c80f0796210be25a7118bbaef974fd9e76baf4b914687e867,COLUMN_UNSEEN,0,True,False
612,P04,12,ENSG00000012223,LTF,2,LTF-1+LTF-2,True,LTF,True,True,LTF,True,True,f9e5aab78eda3f03984945240f77ed49a6b0836a78baa4638c6fedf1c85b9f3c,fc41beffb931e212f7ad3b734430cf8269864d64c5ad7d5e6e017ad707d3d1a7,1e5621f1ed80fe1cef6ac6e42c9d97a286546b52da7b5f0d09634ed261b16c73,e49dc38a88b748489de1eae423390f8285d2b47d70df32c1207b7e5bf2d12d1e,DONOR_UNSEEN_ONLY,6,True,False
613,P04,13,ENSG00000101391,CDK5RAP1,2,CDK5RAP1-1+CDK5RAP1-2,True,CDK5RAP1,True,True,CDK5RAP1,True,True,8a5f2b5b0e8aa08e0858f443d164693f55438a2aee1cf0d4573d78ae6de3d5d2,ef949af7b00212ef76f0e22498079fcdbca546610e540e40e4730d4232ab3165,1e58944a5a7b1b05f1cbb750ed758fc433215347fd0b2571797ce32e0a4eadde,d68c4f72005b037139d57f23f7169b338e18d489e7aeb613e4e148601642066c,DONOR_UNSEEN_ONLY,6,True,False
614,P04,14,ENSG00000105518,TMEM205,2,TMEM205-1+TMEM205-2,True,TMEM205,True,True,TMEM205,True,True,2245a25aaed0fce313a57cbb9542b4d7fca36dda984453a8c750549088d815b1,348acccb3a217cafb88564ba4665d7010f9690d16df7c73f6875160fdfa403af,1e5ed0cec81db4d36581b0dca05cb107f43e63f3e587a30acd6d7565b9fcbae5,6559b622eb35aa6c9cee500677f9eeb764c3b82eca9649ca6f90e84ad1c5d746,DONOR_UNSEEN_ONLY,6,True,False
615,P04,15,ENSG00000008282,SYPL1,2,SYPL1-1+SYPL1-2,True,SYPL1,True,True,SYPL1,True,True,1fbd60ab05df5841f41ab02d242e4ff156de859fbb67a99259a8ce3133df4c8c,3f367a5c01eeb85533535d79b41e1e1bd343fc020f69aaa17be4cc3b214d5396,1e690d7247ae4264f90a2939d536a2ff4d98194d6a14fba09c92f7613d356931,77a117d21a93c80be90ac9cd45e4c927604203bef430fe287f232591833e08b0,DONOR_UNSEEN_ONLY,6,True,False
616,P04,16,ENSG00000154451,GBP5,2,GBP5-1+GBP5-2,True,GBP5,True,True,GBP5,True,True,c465447d4d68093d884aa017ce846ba74978ed6b49c325f16b8fa4cb73c8afd1,596c85df3a5236fe50b8eb82b4ea9d8314a7e30ee94f18015358342ef8a0a2e9,1e8a4c601f3e760c2150a942f4cf2d03eddd7cfbdc29b0c62577d96756a7c2cf,82c35e636ae362c9dc142d7920f3c987cf8b4dbbe5949e080d33495fc5c26271,DONOR_UNSEEN_ONLY,6,True,False
617,P04,17,ENSG00000131725,WDR44,2,WDR44-1+WDR44-2,True,WDR44,True,True,WDR44,True,True,c7838a709907a0fd7c94755471592a4ffc984939e64c12d5598df915b29f689c,3670016fc5df94877c5c8be09c324a526fd5f1b2a2a16da710b1b59e292c1ed7,1e8ecb4959030ac8732568684fae7ea915d80106441aa69bd13a1c274b017b6b,57f0b00bba8f385f8e855c5764bf1d626748802c3c065621375da5b8e3e19f84,DONOR_UNSEEN_ONLY,6,True,False
618,P04,18,ENSG00000059804,SLC2A3,2,SLC2A3-1+SLC2A3-2,True,SLC2A3,True,True,SLC2A3,True,True,db98101a9fd3739d6257f1afdce25af8e13a4e90019ff8ba90896a9aba4b7235,679f5ac3d50c8d70a3720305ed0fc78729abf8b8c0db1f7e2f4e960056fb34d1,1e99fc51406469ac14c5c5d04be50540142ee7660ac230f7ba98dd4e8c4b73cb,47953f6b86155d8f9309f81b2de139364c12c99bef8ac87db8ba177f853d38a9,DONOR_UNSEEN_ONLY,6,True,False
619,P04,19,ENSG00000184117,NIPSNAP1,2,NIPSNAP1-1+NIPSNAP1-2,True,NIPSNAP1,True,True,NIPSNAP1,True,True,7842e8ff43da92517300d21da07cd6fe8568663365308f4111d6b5be085f31df,79aef8891bd8ab8e628576aafa13e913cfa431d8300f9b0b3a9832d6d5469759,1ea01c49714442228f666de60ff3dffaf33b5a6469ea52d7ca41cb71953e7fba,f66ab5964691a7ed8982c50bf2841c3653bc8c502df8fd0fd8d095b4408417b1,DONOR_UNSEEN_ONLY,6,True,False
