experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_3::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.3,480,144,0.4513888888888889,0.3,0.14072447777393382,0.12258316616471628,1.147991866883589,0.19421652148633692,0.25325229465751503,0.2771709427302878
E189,support_3::random_missing_pair,family_worst_error,predicted_magnitude,0.3,480,144,0.4305555555555556,0.3,0.14070379139464714,0.12258316616471628,1.1478231130494867,0.19421652148633692,0.2529635132763582,
E189,support_3::unseen_context_row,family_rms_error,diversity_lower_bound,0.1,1440,144,0.1597222222222222,0.1,0.13005464387796511,0.11352583227518215,1.145595159018238,0.22745878542722822,0.14507489839857743,0.31905084372839976
E189,support_3::unseen_context_row,family_rms_error,predicted_magnitude,0.1,1440,144,0.16666666666666666,0.1,0.13126747619684803,0.11352583227518215,1.1562784748290666,0.22745878542722822,0.15572003911800006,
E189,support_3::unseen_context_row,family_rms_error,diversity_lower_bound,0.2,1440,288,0.2534722222222222,0.2,0.12156504986243909,0.11352583227518215,1.0708139938386023,0.19204806197865815,0.10238142265719515,0.3105973676110849
E189,support_3::unseen_context_row,family_rms_error,predicted_magnitude,0.2,1440,288,0.2743055555555556,0.2,0.12431029643658947,0.11352583227518215,1.0949956846408861,0.19204806197865815,0.13734281619527064,
E189,support_3::unseen_context_row,family_rms_error,diversity_lower_bound,0.3,1440,432,0.32407407407407407,0.3,0.11387981005520312,0.11352583227518215,1.0031180373041702,0.17151620292246483,0.006104078592185314,0.3119489468473155
E189,support_3::unseen_context_row,family_rms_error,predicted_magnitude,0.3,1440,432,0.32175925925925924,0.3,0.11623194867688401,0.11352583227518215,1.0238370100220215,0.17151620292246483,0.0466649268058897,
E189,support_3::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.1,1440,144,0.13194444444444445,0.1,0.14097156692980234,0.12043257298023093,1.1705435119528909,0.23398665374681166,0.18087411575979306,0.3094826502577267
E189,support_3::unseen_context_row,family_worst_error,predicted_magnitude,0.1,1440,144,0.1736111111111111,0.1,0.14495118535744025,0.12043257298023093,1.2035878813386647,0.23398665374681166,0.21592013436847987,
