dataset_name,setting,coverage_target,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
Parekh,E34_submatrix,0.75,risk_inverse_support,error_v0_rmse,9,,2,0.03419383501483099,0.5841654991581415
Parekh,E34_submatrix,0.75,risk_inverse_support,error_contextsim_rmse,9,,2,0.03628504867181874,0.6030350268999232
Parekh,E34_submatrix,0.75,risk_inverse_context_similarity,error_mean_rmse,9,,2,0.035239441843324865,0.5937303104546187
Parekh,E34_submatrix,0.75,risk_inverse_context_similarity,error_v0_rmse,9,,2,0.03419383501483099,0.5841654991581415
Parekh,E34_submatrix,0.75,risk_inverse_context_similarity,error_contextsim_rmse,9,,2,0.03628504867181874,0.6030350268999232
Parekh,E35_column_holdout,,risk_safeconf_smoke,error_mean_rmse,30,0.21512791991101224,6,0.06334319076784918,1.054103252573523
Parekh,E35_column_holdout,,risk_safeconf_smoke,error_v0_rmse,30,0.20311457174638486,6,0.06279918017130297,1.0571492292816678
Parekh,E35_column_holdout,,risk_safeconf_smoke,error_contextsim_rmse,30,0.21023359288097884,6,0.0638872013643954,1.0511262085584752
Parekh,E35_column_holdout,,risk_disagreement,error_mean_rmse,30,-0.029143492769744164,6,0.0485594240891227,0.8080844405681865
Parekh,E35_column_holdout,,risk_disagreement,error_v0_rmse,30,-0.03937708565072302,6,0.04801795007786241,0.8083248663124167
Parekh,E35_column_holdout,,risk_disagreement,error_contextsim_rmse,30,-0.03759733036707453,6,0.04910089810038299,0.8078494558353714
Parekh,E35_column_holdout,,risk_predicted_magnitude,error_mean_rmse,30,-0.12302558398220245,6,0.0485594240891227,0.8080844405681865
Parekh,E35_column_holdout,,risk_predicted_magnitude,error_v0_rmse,30,-0.12614015572858733,6,0.048017950077862394,0.8083248663124165
Parekh,E35_column_holdout,,risk_predicted_magnitude,error_contextsim_rmse,30,-0.13681868743047831,6,0.049100898100383004,0.8078494558353716
Parekh,E35_column_holdout,,risk_inverse_support,error_mean_rmse,30,,6,0.0870924086435546,1.4493174422187467
Parekh,E35_column_holdout,,risk_inverse_support,error_v0_rmse,30,,6,0.08656588013649369,1.4572332507965096
Parekh,E35_column_holdout,,risk_inverse_support,error_contextsim_rmse,30,,6,0.08761893715061546,1.4415807742108528
Parekh,E35_column_holdout,,risk_inverse_context_similarity,error_mean_rmse,30,,6,0.0870924086435546,1.4493174422187467
Parekh,E35_column_holdout,,risk_inverse_context_similarity,error_v0_rmse,30,,6,0.08656588013649369,1.4572332507965096
Parekh,E35_column_holdout,,risk_inverse_context_similarity,error_contextsim_rmse,30,,6,0.08761893715061546,1.4415807742108528
Parekh,E35_row_holdout,,risk_safeconf_smoke,error_mean_rmse,30,0.7873192436040044,6,0.09886592558212126,1.57317644108041
Parekh,E35_row_holdout,,risk_safeconf_smoke,error_v0_rmse,30,0.7819799777530589,6,0.09894916340285759,1.566553365746607
Parekh,E35_row_holdout,,risk_safeconf_smoke,error_contextsim_rmse,30,0.7917686318131256,6,0.09878268776138494,1.579867060601544
Parekh,E35_row_holdout,,risk_disagreement,error_mean_rmse,30,0.0896551724137931,6,0.08232835302500231,1.3100269344497635
Parekh,E35_row_holdout,,risk_disagreement,error_v0_rmse,30,0.09499443826473859,6,0.0832229303182492,1.3175771993801775
Parekh,E35_row_holdout,,risk_disagreement,error_contextsim_rmse,30,0.08342602892102337,6,0.08143377573175546,1.3023996695634161
Parekh,E35_row_holdout,,risk_predicted_magnitude,error_mean_rmse,30,0.6347052280311457,6,0.09886592558212126,1.57317644108041
Parekh,E35_row_holdout,,risk_predicted_magnitude,error_v0_rmse,30,0.6280311457174638,6,0.09894916340285759,1.566553365746607
Parekh,E35_row_holdout,,risk_predicted_magnitude,error_contextsim_rmse,30,0.643159065628476,6,0.09878268776138494,1.579867060601544
Parekh,E35_row_holdout,,risk_inverse_support,error_mean_rmse,30,,6,0.06576318648098216,1.0464383462057816
Parekh,E35_row_holdout,,risk_inverse_support,error_v0_rmse,30,,6,0.06653732233288023,1.0534123044978692
Parekh,E35_row_holdout,,risk_inverse_support,error_contextsim_rmse,30,,6,0.0649890506290841,1.0393932653125506
Parekh,E35_row_holdout,,risk_inverse_context_similarity,error_mean_rmse,30,0.26884997946284955,6,0.07194367903988656,1.1447837086822088
Parekh,E35_row_holdout,,risk_inverse_context_similarity,error_v0_rmse,30,0.22639998270555756,6,0.07197824833538143,1.1395525066872927
Parekh,E35_row_holdout,,risk_inverse_context_similarity,error_contextsim_rmse,30,0.31601664252650735,6,0.07190910974439167,1.1500682601061587
ShifrutMarson2018,E34_submatrix,0.25,risk_safeconf_smoke,error_mean_rmse,90,-0.3917986076325894,18,0.0479494877970317,0.6930470342660909
ShifrutMarson2018,E34_submatrix,0.25,risk_safeconf_smoke,error_v0_rmse,90,-0.3917986076325894,18,0.04794948807330063,0.6930470378833299
ShifrutMarson2018,E34_submatrix,0.25,risk_safeconf_smoke,error_contextsim_rmse,90,-0.3917986076325894,18,0.04794948752076276,0.6930470306488523
ShifrutMarson2018,E34_submatrix,0.25,risk_disagreement,error_mean_rmse,90,-0.5887162254441285,18,0.049492436237442095,0.71534833277377
ShifrutMarson2018,E34_submatrix,0.25,risk_disagreement,error_v0_rmse,90,-0.5887162254441285,18,0.04949243651934617,0.7153483364603627
ShifrutMarson2018,E34_submatrix,0.25,risk_disagreement,error_contextsim_rmse,90,-0.5887162254441285,18,0.04949243595553801,0.7153483290871776
ShifrutMarson2018,E34_submatrix,0.25,risk_predicted_magnitude,error_mean_rmse,90,0.20232686275087733,18,0.08737847878805166,1.262941448698656
ShifrutMarson2018,E34_submatrix,0.25,risk_predicted_magnitude,error_v0_rmse,90,0.20232686275087733,18,0.08737847878805166,1.2629414480137136
ShifrutMarson2018,E34_submatrix,0.25,risk_predicted_magnitude,error_contextsim_rmse,90,0.20232686275087733,18,0.08737847878805166,1.2629414493835995
ShifrutMarson2018,E34_submatrix,0.25,risk_inverse_support,error_mean_rmse,90,-0.26222065770949704,18,0.07000624595185471,1.0118485799558201
ShifrutMarson2018,E34_submatrix,0.25,risk_inverse_support,error_v0_rmse,90,-0.26222065770949704,18,0.07000624616125838,1.0118485824337107
ShifrutMarson2018,E34_submatrix,0.25,risk_inverse_support,error_contextsim_rmse,90,-0.26222065770949704,18,0.07000624574245105,1.0118485774779302
ShifrutMarson2018,E34_submatrix,0.25,risk_inverse_context_similarity,error_mean_rmse,90,-0.2630889997399022,18,0.07000624595185471,1.0118485799558201
ShifrutMarson2018,E34_submatrix,0.25,risk_inverse_context_similarity,error_v0_rmse,90,-0.2630889997399022,18,0.07000624616125838,1.0118485824337107
ShifrutMarson2018,E34_submatrix,0.25,risk_inverse_context_similarity,error_contextsim_rmse,90,-0.2630889997399022,18,0.07000624574245105,1.0118485774779302
ShifrutMarson2018,E34_submatrix,0.5,risk_safeconf_smoke,error_mean_rmse,30,-0.07092549586353869,6,0.05195088323303118,0.9318706395502552
ShifrutMarson2018,E34_submatrix,0.5,risk_safeconf_smoke,error_v0_rmse,30,-0.04575838442808947,6,0.051127903190250436,0.936391424077222
ShifrutMarson2018,E34_submatrix,0.5,risk_safeconf_smoke,error_contextsim_rmse,30,-0.09723656690969014,6,0.052773863275811926,0.9275322902849287
ShifrutMarson2018,E34_submatrix,0.5,risk_disagreement,error_mean_rmse,30,-0.131917371535216,6,0.05119445409306742,0.918302167513493
ShifrutMarson2018,E34_submatrix,0.5,risk_disagreement,error_v0_rmse,30,-0.13417236933923676,6,0.05013607164537804,0.9182263421005201
ShifrutMarson2018,E34_submatrix,0.5,risk_disagreement,error_contextsim_rmse,30,-0.11838738471109127,6,0.052252836540756804,0.9183749330086639
ShifrutMarson2018,E34_submatrix,0.5,risk_predicted_magnitude,error_mean_rmse,30,0.10485739788696656,6,0.06047031097101422,1.0846881487191598
ShifrutMarson2018,E34_submatrix,0.5,risk_predicted_magnitude,error_v0_rmse,30,0.12064238251511204,6,0.059564172946879636,1.0908990443470084
ShifrutMarson2018,E34_submatrix,0.5,risk_predicted_magnitude,error_contextsim_rmse,30,0.07554242643469633,6,0.061376448995148804,1.078727892413342
ShifrutMarson2018,E34_submatrix,0.5,risk_inverse_support,error_mean_rmse,30,,6,0.05708198241382768,1.0239098962026705
ShifrutMarson2018,E34_submatrix,0.5,risk_inverse_support,error_v0_rmse,30,,6,0.05587073346476934,1.0232548649343114
ShifrutMarson2018,E34_submatrix,0.5,risk_inverse_support,error_contextsim_rmse,30,,6,0.058293231362886035,1.0245384938287914
ShifrutMarson2018,E34_submatrix,0.5,risk_inverse_context_similarity,error_mean_rmse,30,,6,0.05708198241382768,1.0239098962026705
ShifrutMarson2018,E34_submatrix,0.5,risk_inverse_context_similarity,error_v0_rmse,30,,6,0.05587073346476934,1.0232548649343114
ShifrutMarson2018,E34_submatrix,0.5,risk_inverse_context_similarity,error_contextsim_rmse,30,,6,0.058293231362886035,1.0245384938287914
ShifrutMarson2018,E34_submatrix,0.75,risk_safeconf_smoke,error_mean_rmse,12,0.04181210050035454,3,0.04091320401442527,0.8216240971127228
ShifrutMarson2018,E34_submatrix,0.75,risk_safeconf_smoke,error_v0_rmse,12,0.04181210050035454,3,0.03955894748298668,0.8112044048334536
ShifrutMarson2018,E34_submatrix,0.75,risk_safeconf_smoke,error_contextsim_rmse,12,0.1254363015010636,3,0.042267460545863854,0.8316215391381775
ShifrutMarson2018,E34_submatrix,0.75,risk_disagreement,error_mean_rmse,12,-0.5512677243373713,3,0.04095974851892981,0.8225588096929358
ShifrutMarson2018,E34_submatrix,0.75,risk_disagreement,error_v0_rmse,12,-0.5512677243373713,3,0.04000881024311845,0.8204293887071112
ShifrutMarson2018,E34_submatrix,0.75,risk_disagreement,error_contextsim_rmse,12,-0.57953786404698,3,0.04191068679474117,0.8246019374824121
ShifrutMarson2018,E34_submatrix,0.75,risk_predicted_magnitude,error_mean_rmse,12,0.57953786404698,3,0.062466236923446744,1.2544548086275646
ShifrutMarson2018,E34_submatrix,0.75,risk_predicted_magnitude,error_v0_rmse,12,0.57953786404698,3,0.06184622915513258,1.2682322636253036
ShifrutMarson2018,E34_submatrix,0.75,risk_predicted_magnitude,error_contextsim_rmse,12,0.6078080037565887,3,0.0630862446917609,1.2412356747120405
ShifrutMarson2018,E34_submatrix,0.75,risk_inverse_support,error_mean_rmse,12,,3,0.04036865372656998,0.8106883698977674
ShifrutMarson2018,E34_submatrix,0.75,risk_inverse_support,error_v0_rmse,12,,3,0.03934823127867542,0.8068834123909575
ShifrutMarson2018,E34_submatrix,0.75,risk_inverse_support,error_contextsim_rmse,12,,3,0.04138907617446455,0.8143391343411026
ShifrutMarson2018,E34_submatrix,0.75,risk_inverse_context_similarity,error_mean_rmse,12,,3,0.04036865372656998,0.8106883698977674
ShifrutMarson2018,E34_submatrix,0.75,risk_inverse_context_similarity,error_v0_rmse,12,,3,0.03934823127867542,0.8068834123909575
ShifrutMarson2018,E34_submatrix,0.75,risk_inverse_context_similarity,error_contextsim_rmse,12,,3,0.04138907617446455,0.8143391343411026
ShifrutMarson2018,E35_row_holdout,,risk_safeconf_smoke,error_mean_rmse,40,0.36507058346918114,8,0.09552719919215871,1.1702628318105504
ShifrutMarson2018,E35_row_holdout,,risk_safeconf_smoke,error_v0_rmse,40,0.36507058346918114,8,0.09552719919215871,1.1702628318105504
ShifrutMarson2018,E35_row_holdout,,risk_safeconf_smoke,error_contextsim_rmse,40,0.36507058346918114,8,0.09552719919215871,1.1702628318105504
ShifrutMarson2018,E35_row_holdout,,risk_disagreement,error_mean_rmse,40,,8,0.08465430668034696,1.0370636792294181
ShifrutMarson2018,E35_row_holdout,,risk_disagreement,error_v0_rmse,40,,8,0.08465430668034696,1.0370636792294181
ShifrutMarson2018,E35_row_holdout,,risk_disagreement,error_contextsim_rmse,40,,8,0.08465430668034696,1.0370636792294181
ShifrutMarson2018,E35_row_holdout,,risk_predicted_magnitude,error_mean_rmse,40,0.36507058346918114,8,0.09316592038694102,1.1413358157914821
ShifrutMarson2018,E35_row_holdout,,risk_predicted_magnitude,error_v0_rmse,40,0.36507058346918114,8,0.09316592038694102,1.1413358157914821
ShifrutMarson2018,E35_row_holdout,,risk_predicted_magnitude,error_contextsim_rmse,40,0.36507058346918114,8,0.09316592038694102,1.1413358157914821
ShifrutMarson2018,E35_row_holdout,,risk_inverse_support,error_mean_rmse,40,,8,0.08465430668034696,1.0370636792294181
ShifrutMarson2018,E35_row_holdout,,risk_inverse_support,error_v0_rmse,40,,8,0.08465430668034696,1.0370636792294181
ShifrutMarson2018,E35_row_holdout,,risk_inverse_support,error_contextsim_rmse,40,,8,0.08465430668034696,1.0370636792294181
