coverage_target,seed,split_id,dataset_name,setting,status,n_train,n_test,heldout
,,Haber::E35_column_holdout::Hpoly_Day3,Haber,E35_column_holdout,ok,16,8,Hpoly_Day3
,,Haber::E35_column_holdout::Salmonella,Haber,E35_column_holdout,ok,16,8,Salmonella
,,Haber::E35_row_holdout::Endocrine,Haber,E35_row_holdout,ok,21,3,Endocrine
,,Haber::E35_row_holdout::Enterocyte,Haber,E35_row_holdout,ok,21,3,Enterocyte
,,Haber::E35_row_holdout::Enterocyte_Progenitor,Haber,E35_row_holdout,ok,21,3,Enterocyte_Progenitor
,,Haber::E35_row_holdout::Goblet,Haber,E35_row_holdout,ok,21,3,Goblet
,,Haber::E35_row_holdout::Stem,Haber,E35_row_holdout,ok,21,3,Stem
,,Haber::E35_row_holdout::TA,Haber,E35_row_holdout,ok,21,3,TA
,,Haber::E35_row_holdout::TA_Early,Haber,E35_row_holdout,ok,21,3,TA_Early
,,Haber::E35_row_holdout::Tuft,Haber,E35_row_holdout,ok,21,3,Tuft
,,Parekh::E35_column_holdout::ASCL3,Parekh,E35_column_holdout,ok,27,3,ASCL3
,,Parekh::E35_column_holdout::CDX2,Parekh,E35_column_holdout,ok,27,3,CDX2
,,Parekh::E35_column_holdout::FOXP1,Parekh,E35_column_holdout,ok,27,3,FOXP1
,,Parekh::E35_column_holdout::HAND2,Parekh,E35_column_holdout,ok,27,3,HAND2
,,Parekh::E35_column_holdout::HOXA10,Parekh,E35_column_holdout,ok,27,3,HOXA10
,,Parekh::E35_column_holdout::KLF4,Parekh,E35_column_holdout,ok,27,3,KLF4
,,Parekh::E35_column_holdout::LMX1A,Parekh,E35_column_holdout,ok,27,3,LMX1A
,,Parekh::E35_column_holdout::MYOG,Parekh,E35_column_holdout,ok,27,3,MYOG
,,Parekh::E35_column_holdout::SNAI2,Parekh,E35_column_holdout,ok,27,3,SNAI2
,,Parekh::E35_column_holdout::SPI1,Parekh,E35_column_holdout,ok,27,3,SPI1
,,Parekh::E35_row_holdout::endothelial,Parekh,E35_row_holdout,ok,20,10,endothelial
,,Parekh::E35_row_holdout::hPSC,Parekh,E35_row_holdout,ok,20,10,hPSC
,,Parekh::E35_row_holdout::multilineage,Parekh,E35_row_holdout,ok,20,10,multilineage
,,ShifrutMarson2018::E35_column_holdout::ARID1A,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,ARID1A
,,ShifrutMarson2018::E35_column_holdout::BTLA,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,BTLA
,,ShifrutMarson2018::E35_column_holdout::C10orf54,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,C10orf54
,,ShifrutMarson2018::E35_column_holdout::CBLB,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,CBLB
,,ShifrutMarson2018::E35_column_holdout::CD3D,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,CD3D
,,ShifrutMarson2018::E35_column_holdout::CD5,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,CD5
,,ShifrutMarson2018::E35_column_holdout::CDKN1B,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,CDKN1B
,,ShifrutMarson2018::E35_column_holdout::DGKA,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,DGKA
,,ShifrutMarson2018::E35_column_holdout::DGKZ,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,DGKZ
,,ShifrutMarson2018::E35_column_holdout::HAVCR2,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,HAVCR2
,,ShifrutMarson2018::E35_column_holdout::LAG3,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,LAG3
,,ShifrutMarson2018::E35_column_holdout::LCP2,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,LCP2
,,ShifrutMarson2018::E35_column_holdout::MEF2D,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,MEF2D
,,ShifrutMarson2018::E35_column_holdout::PDCD1,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,PDCD1
,,ShifrutMarson2018::E35_column_holdout::RASA2,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,RASA2
,,ShifrutMarson2018::E35_column_holdout::SOCS1,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,SOCS1
,,ShifrutMarson2018::E35_column_holdout::STAT6,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,STAT6
,,ShifrutMarson2018::E35_column_holdout::TCEB2,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,TCEB2
,,ShifrutMarson2018::E35_column_holdout::TMEM222,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,TMEM222
,,ShifrutMarson2018::E35_column_holdout::TNFRSF9,ShifrutMarson2018,E35_column_holdout,skipped_too_few_tasks,38,2,TNFRSF9
,,ShifrutMarson2018::E35_row_holdout::D1,ShifrutMarson2018,E35_row_holdout,ok,20,20,D1
,,ShifrutMarson2018::E35_row_holdout::D2,ShifrutMarson2018,E35_row_holdout,ok,20,20,D2
,,sciplex3::E35_column_holdout::Alvespimycin_10.0,sciplex3,E35_column_holdout,ok,102,3,Alvespimycin_10.0
,,sciplex3::E35_column_holdout::Alvespimycin_100.0,sciplex3,E35_column_holdout,ok,102,3,Alvespimycin_100.0
,,sciplex3::E35_column_holdout::Alvespimycin_1000.0,sciplex3,E35_column_holdout,ok,102,3,Alvespimycin_1000.0
,,sciplex3::E35_column_holdout::Alvespimycin_10000.0,sciplex3,E35_column_holdout,skipped_too_few_tasks,103,2,Alvespimycin_10000.0
,,sciplex3::E35_column_holdout::Belinostat_10.0,sciplex3,E35_column_holdout,ok,102,3,Belinostat_10.0
,,sciplex3::E35_column_holdout::Belinostat_100.0,sciplex3,E35_column_holdout,ok,102,3,Belinostat_100.0
,,sciplex3::E35_column_holdout::Belinostat_1000.0,sciplex3,E35_column_holdout,ok,102,3,Belinostat_1000.0
,,sciplex3::E35_column_holdout::Belinostat_10000.0,sciplex3,E35_column_holdout,ok,102,3,Belinostat_10000.0
,,sciplex3::E35_column_holdout::Dacinostat_10.0,sciplex3,E35_column_holdout,ok,102,3,Dacinostat_10.0
,,sciplex3::E35_column_holdout::Dacinostat_100.0,sciplex3,E35_column_holdout,ok,102,3,Dacinostat_100.0
,,sciplex3::E35_column_holdout::Dacinostat_1000.0,sciplex3,E35_column_holdout,ok,102,3,Dacinostat_1000.0
,,sciplex3::E35_column_holdout::Dacinostat_10000.0,sciplex3,E35_column_holdout,ok,102,3,Dacinostat_10000.0
,,sciplex3::E35_column_holdout::Flavopiridol_10.0,sciplex3,E35_column_holdout,ok,102,3,Flavopiridol_10.0
,,sciplex3::E35_column_holdout::Flavopiridol_100.0,sciplex3,E35_column_holdout,ok,102,3,Flavopiridol_100.0
,,sciplex3::E35_column_holdout::Flavopiridol_1000.0,sciplex3,E35_column_holdout,skipped_too_few_tasks,103,2,Flavopiridol_1000.0
,,sciplex3::E35_column_holdout::Flavopiridol_10000.0,sciplex3,E35_column_holdout,skipped_too_few_tasks,103,2,Flavopiridol_10000.0
