target,scenario,candidate,e230,magnitude
K562,clean,0.9432973333242155,0.9384555464311946,0.9337696931035814
K562,corrupt_010_seed101,0.9330392078545822,0.9421878550160456,0.9337696931035814
K562,corrupt_010_seed211,0.9431236285197481,0.9324584176588095,0.9337696931035814
K562,corrupt_010_seed307,0.9347870000245821,0.9290812153280569,0.9337696931035814
K562,corrupt_025_seed101,0.9396478915371895,0.9401097244786445,0.9337696931035814
K562,corrupt_025_seed211,0.9264913792541449,0.9243687581793147,0.9337696931035814
K562,corrupt_025_seed307,0.9348475556699781,0.9242500340103793,0.9337696931035814
K562,corrupt_050_seed101,0.9255467638313468,0.9236999782111301,0.9337696931035814
K562,corrupt_050_seed211,0.9259072576229312,0.9307542860828302,0.9337696931035814
K562,corrupt_050_seed307,0.9277385107282642,0.9329719105869317,0.9337696931035814
K562,corrupt_100_seed101,0.9307558790311233,0.9195210080032481,0.9337696931035814
K562,corrupt_100_seed211,0.9142812494694855,0.9076851863547244,0.9337696931035814
K562,corrupt_100_seed307,0.9165038717309316,0.9247907594079325,0.9337696931035814
K562,one_source_keep_RPE1,0.9264438007570761,0.9211698388674566,0.9337696931035814
K562,one_source_keep_hepg2,0.9174734091407835,0.9259876565177378,0.9337696931035814
K562,one_source_keep_jurkat,0.9529441430855583,0.9548081235580238,0.9337696931035814
K562,two_sources_drop_RPE1,0.9513809328801457,0.9513809328801457,0.9337696931035814
K562,two_sources_drop_hepg2,0.9496434105288253,0.9372531260185891,0.9337696931035814
K562,two_sources_drop_jurkat,0.9326658190253804,0.9215276717617382,0.9337696931035814
RPE1,clean,0.6279743235945844,0.6245692275187454,0.6084496005895047
RPE1,corrupt_010_seed101,0.6254240258015776,0.6208024903362847,0.6084496005895047
RPE1,corrupt_010_seed211,0.6346748635890028,0.6427015803512203,0.6084496005895047
RPE1,corrupt_010_seed307,0.616558758929584,0.6212036349442189,0.6084496005895047
RPE1,corrupt_025_seed101,0.6200896742406274,0.6245174880305405,0.6084496005895047
RPE1,corrupt_025_seed211,0.6279553677107587,0.620310973836147,0.6084496005895047
RPE1,corrupt_025_seed307,0.6257521037506516,0.628259646391379,0.6084496005895047
RPE1,corrupt_050_seed101,0.6189227950985585,0.6212479834928308,0.6084496005895047
RPE1,corrupt_050_seed211,0.6173873968932557,0.6197865535577035,0.6084496005895047
RPE1,corrupt_050_seed307,0.6097438530727272,0.6071674430494846,0.6084496005895047
RPE1,corrupt_100_seed101,0.6007771831441562,0.574119486553739,0.6084496005895047
RPE1,corrupt_100_seed211,0.6275612969298462,0.6140576112043226,0.6084496005895047
RPE1,corrupt_100_seed307,0.6226849524272656,0.6163163977357086,0.6084496005895047
RPE1,one_source_keep_K562,0.5793985817843591,0.5709942192962294,0.6084496005895047
RPE1,one_source_keep_hepg2,0.625024390625785,0.6317607852174602,0.6084496005895047
RPE1,one_source_keep_jurkat,0.6281529294162136,0.6257699167243912,0.6084496005895047
RPE1,two_sources_drop_K562,0.6361410773452723,0.6408871126019112,0.6084496005895047
RPE1,two_sources_drop_hepg2,0.6177001012006171,0.6381536999024432,0.6084496005895047
RPE1,two_sources_drop_jurkat,0.6134335134586256,0.6213491141660763,0.6084496005895047
hepg2,clean,0.8222390144561642,0.8212304892117209,0.7962803407888822
hepg2,corrupt_010_seed101,0.8187097066875687,0.8138291106541796,0.7962803407888822
hepg2,corrupt_010_seed211,0.8235378946570429,0.8269025170722052,0.7962803407888822
hepg2,corrupt_010_seed307,0.7922043493982548,0.7998180862478617,0.7962803407888822
hepg2,corrupt_025_seed101,0.7867860906823649,0.7973012571671879,0.7962803407888822
hepg2,corrupt_025_seed211,0.8082461799058458,0.8011982098728923,0.7962803407888822
hepg2,corrupt_025_seed307,0.7916111818516454,0.8199060899224485,0.7962803407888822
hepg2,corrupt_050_seed101,0.7767810173645138,0.7875625280092282,0.7962803407888822
hepg2,corrupt_050_seed211,0.7912272324898988,0.789464617299542,0.7962803407888822
hepg2,corrupt_050_seed307,0.8383707932323611,0.8416448376387301,0.7962803407888822
hepg2,corrupt_100_seed101,0.7948658528211889,0.806847356560096,0.7962803407888822
hepg2,corrupt_100_seed211,0.7590401949760054,0.7659277897779148,0.7962803407888822
hepg2,corrupt_100_seed307,0.7717031877325287,0.7707098194157259,0.7962803407888822
hepg2,one_source_keep_K562,0.7226285097464635,0.722667950226189,0.7962803407888822
hepg2,one_source_keep_RPE1,0.845709385463466,0.843954282379366,0.7962803407888822
hepg2,one_source_keep_jurkat,0.8245184430114202,0.8277977901615602,0.7962803407888822
hepg2,two_sources_drop_K562,0.8402352720378938,0.8355158601995989,0.7962803407888822
hepg2,two_sources_drop_RPE1,0.7970864217908326,0.802313206741785,0.7962803407888822
hepg2,two_sources_drop_jurkat,0.8336379373992708,0.8278041653646259,0.7962803407888822
jurkat,clean,0.7487740892902567,0.7389684461062777,0.7367456992605275
jurkat,corrupt_010_seed101,0.7234952336768222,0.7163053216652207,0.7367456992605275
jurkat,corrupt_010_seed211,0.7475846633630056,0.7434884448279899,0.7367456992605275
jurkat,corrupt_010_seed307,0.7633083068796307,0.767470173346853,0.7367456992605275
jurkat,corrupt_025_seed101,0.7511751508996047,0.746717464439059,0.7367456992605275
jurkat,corrupt_025_seed211,0.7330743837831645,0.7222379361297249,0.7367456992605275
jurkat,corrupt_025_seed307,0.7134663811480262,0.7165264820424853,0.7367456992605275
jurkat,corrupt_050_seed101,0.690033125362255,0.7152694461018015,0.7367456992605275
jurkat,corrupt_050_seed211,0.6974014059082002,0.7189084545251124,0.7367456992605275
jurkat,corrupt_050_seed307,0.7297382172253828,0.7377470749215949,0.7367456992605275
jurkat,corrupt_100_seed101,0.7243211378433371,0.7396938636527604,0.7367456992605275
jurkat,corrupt_100_seed211,0.7037237974565463,0.7133187541963079,0.7367456992605275
jurkat,corrupt_100_seed307,0.6868071619416208,0.6965117263819697,0.7367456992605275
jurkat,one_source_keep_K562,0.7118508248262575,0.7118508248262575,0.7367456992605275
jurkat,one_source_keep_RPE1,0.7342516292181753,0.7445188931252247,0.7367456992605275
jurkat,one_source_keep_hepg2,0.7283442320212351,0.7261091634954076,0.7367456992605275
jurkat,two_sources_drop_K562,0.7036649403488664,0.6995246967329979,0.7367456992605275
jurkat,two_sources_drop_RPE1,0.7046915938336507,0.7137965035448277,0.7367456992605275
jurkat,two_sources_drop_hepg2,0.7310485289777633,0.7360873769587133,0.7367456992605275
