target,scenario,scope,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
K562,clean,primary,candidate,0.1,566,0.9136255257459794,0.944494394392099,0.17411387830123512,0.9183723868005913
K562,clean,primary,candidate,0.2,566,0.9136255257459794,0.9432973333242155,0.3101712503855281,0.8638121068181219
K562,clean,primary,candidate,0.3,566,0.9136255257459794,0.9435656285615676,0.4301135496204619,0.8145346740273197
K562,clean,primary,e230,0.1,566,0.912333765015902,0.9350862313573903,0.17338266530958224,0.919185484154767
K562,clean,primary,e230,0.2,566,0.912333765015902,0.9384555464311946,0.30961301473441527,0.8645111364166393
K562,clean,primary,e230,0.3,566,0.912333765015902,0.9388573724414864,0.42946606501200346,0.8154601192000153
K562,clean,primary,magnitude,0.1,566,0.8992579621117096,0.9485480829802301,0.17442893552854094,0.9180220481156106
K562,clean,primary,magnitude,0.2,566,0.8992579621117096,0.9337696931035814,0.309072757502704,0.8651876532156406
K562,clean,primary,magnitude,0.3,566,0.8992579621117096,0.9284130420476459,0.4280297491015706,0.8175130353750278
K562,clean,all,candidate,0.1,580,0.9143028737118517,0.9523929070690983,0.1780218492365032,0.9133090564038854
K562,clean,all,candidate,0.2,580,0.9143028737118517,0.9351562661321773,0.3112971454002696,0.8608785682496631
K562,clean,all,candidate,0.3,580,0.9143028737118517,0.9436995917330671,0.43320792562762245,0.8097029633891107
K562,clean,all,e230,0.1,580,0.9133566032323513,0.9351571042677985,0.17660985929238282,0.9148779341195747
K562,clean,all,e230,0.2,580,0.9133566032323513,0.9359034223594634,0.31138606781706407,0.8607674152286698
K562,clean,all,e230,0.3,580,0.9133566032323513,0.9397126473389442,0.43264514845045055,0.8105069307850706
K562,clean,all,magnitude,0.1,580,0.9001310328221698,0.9609857583039885,0.17872579205105382,0.9125268977210513
K562,clean,all,magnitude,0.2,580,0.9001310328221698,0.9330814158108366,0.311050208148966,0.8611872398137925
K562,clean,all,magnitude,0.3,580,0.9001310328221698,0.9314668231235753,0.4314812090480798,0.8121697013598861
K562,corrupt_010_seed101,primary,candidate,0.1,566,0.9122711978148352,0.9374641515004074,0.17356747993229577,0.9189799731990581
