dataset,score,endpoint,subset,spearman
Frangieh,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,-0.07252152195294456
Frangieh,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,-0.08800167239480305
Frangieh,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,-0.011483192855234484
Frangieh,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,-0.18580793217490874
Frangieh,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,0.28387728297840137
Lara_exvivo,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,-0.12624430229337277
Lara_exvivo,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,-0.0737036040393295
Lara_exvivo,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,0.0625524897224901
Lara_exvivo,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,-0.4769867292381216
Lara_exvivo,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,0.30368220931621326
Liang,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,0.30873032639950987
Liang,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,0.3357563387818224
Liang,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,0.15083219871756115
Liang,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,0.12634240805107816
Liang,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,-0.3176720967440377
Nadig_two_cellline,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,-0.03418272752243179
Nadig_two_cellline,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,-0.09730932979307819
Nadig_two_cellline,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,-0.09795615739826458
Nadig_two_cellline,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,-0.30046862061833557
Nadig_two_cellline,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,0.26041920327417306
Santinha,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,-0.11514398025630232
Santinha,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,-0.11539106225283821
Santinha,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,-0.09480906887245766
Santinha,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,-0.06357983913468088
Santinha,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,-0.08545324808290873
Shifrut,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,0.004450842384090131
Shifrut,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,0.12332889516779118
Shifrut,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,0.07185787951192316
Shifrut,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,0.23801495071603251
Shifrut,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,0.12244335533188576
Tian_CRISPRi,baseline_predicted_magnitude,target_gene_absolute_error_mean,all_mappable,0.019365880021617727
Tian_CRISPRi,risk_model_disagreement,target_gene_absolute_error_mean,all_mappable,0.03751233620264269
Tian_CRISPRi,safeconf_calibrated_pair_risk,target_gene_absolute_error_mean,all_mappable,0.027119575008028324
Tian_CRISPRi,string_distance_to_training_target,error_two_predictor_mean_rmse,unseen_string_mappable,-0.0017766519063630928
Tian_CRISPRi,string_log1p_degree,error_two_predictor_mean_rmse,unseen_string_mappable,0.046230217473454974
