dataset,fold_id,task_id,perturbation,predictor,model_rmse,no_change_rmse
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ehmt2,Ehmt2,scGPT_context_mean_finetuned,0.071371141635549,0.0668489592870016
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ehmt2,Ehmt2,GEARS_context_mean_trainonly_graphs,0.0607750881194077,0.0668489592870016
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ezh2,Ezh2,scGPT_context_mean_finetuned,0.1321882253961765,0.13416192706342517
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ezh2,Ezh2,GEARS_context_mean_trainonly_graphs,0.1387594700712059,0.13416192706342517
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Gltscr1,Gltscr1,scGPT_context_mean_finetuned,0.0889355916743353,0.08427778671154795
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Gltscr1,Gltscr1,GEARS_context_mean_trainonly_graphs,0.0920008788850105,0.08427778671154795
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Kdm6a,Kdm6a,scGPT_context_mean_finetuned,0.1207789051590967,0.1227323447442051
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Kdm6a,Kdm6a,GEARS_context_mean_trainonly_graphs,0.1412687106150203,0.1227323447442051
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Mbd2,Mbd2,scGPT_context_mean_finetuned,0.0623346741982794,0.054620923145889386
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Mbd2,Mbd2,GEARS_context_mean_trainonly_graphs,0.074487833201456,0.054620923145889386
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Rcor1,Rcor1,scGPT_context_mean_finetuned,0.0907423611223575,0.07918816431924457
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Rcor1,Rcor1,GEARS_context_mean_trainonly_graphs,0.0823096833968745,0.07918816431924457
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Smarcd1,Smarcd1,scGPT_context_mean_finetuned,0.0958806180932436,0.08976542863937827
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Smarcd1,Smarcd1,GEARS_context_mean_trainonly_graphs,0.0914123176771176,0.08976542863937827
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ash1l,Ash1l,scGPT_context_mean_finetuned,0.1219737068478372,0.12212455646002772
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ash1l,Ash1l,GEARS_context_mean_trainonly_graphs,0.0768826033008072,0.12212455646002772
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Brd9,Brd9,scGPT_context_mean_finetuned,0.112206690350343,0.10670326489302437
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Brd9,Brd9,GEARS_context_mean_trainonly_graphs,0.0868330251760719,0.10670326489302437
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Carm1,Carm1,scGPT_context_mean_finetuned,0.1087008589944475,0.10511830160221168
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Carm1,Carm1,GEARS_context_mean_trainonly_graphs,0.0736312372657809,0.10511830160221168
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Cbx3,Cbx3,scGPT_context_mean_finetuned,0.0822351612988884,0.07922130982309973
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Cbx3,Cbx3,GEARS_context_mean_trainonly_graphs,0.0619654915268631,0.07922130982309973
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Cebpa,Cebpa,scGPT_context_mean_finetuned,0.1448245678847095,0.1419470175710692
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Cebpa,Cebpa,GEARS_context_mean_trainonly_graphs,0.1203597679409302,0.1419470175710692
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Chd4,Chd4,scGPT_context_mean_finetuned,0.1618339944245596,0.15451581624802604
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Chd4,Chd4,GEARS_context_mean_trainonly_graphs,0.1250899705875609,0.15451581624802604
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Crebbp,Crebbp,scGPT_context_mean_finetuned,0.1263832948547889,0.12695174675973975
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Crebbp,Crebbp,GEARS_context_mean_trainonly_graphs,0.0797759425310337,0.12695174675973975
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ehmt1,Ehmt1,scGPT_context_mean_finetuned,0.0766251803949042,0.07224096673951999
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Ehmt1,Ehmt1,GEARS_context_mean_trainonly_graphs,0.0607343491933785,0.07224096673951999
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Hdac1,Hdac1,scGPT_context_mean_finetuned,0.0695036845429485,0.06172429788378226
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Hdac1,Hdac1,GEARS_context_mean_trainonly_graphs,0.04709350865202,0.06172429788378226
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Hmgxb4,Hmgxb4,scGPT_context_mean_finetuned,0.1123069170541049,0.11190263082440347
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Hmgxb4,Hmgxb4,GEARS_context_mean_trainonly_graphs,0.0749601332632257,0.11190263082440347
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Kmt2a,Kmt2a,scGPT_context_mean_finetuned,0.0853081686297502,0.07856441299110453
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Kmt2a,Kmt2a,GEARS_context_mean_trainonly_graphs,0.0582242984537456,0.07856441299110453
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Kmt2d,Kmt2d,scGPT_context_mean_finetuned,0.1174601592694391,0.11140605612602149
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Kmt2d,Kmt2d,GEARS_context_mean_trainonly_graphs,0.1010744685366611,0.11140605612602149
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Mbd3,Mbd3,scGPT_context_mean_finetuned,0.068795529071644,0.06122029105342943
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Mbd3,Mbd3,GEARS_context_mean_trainonly_graphs,0.0505052691063481,0.06122029105342943
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Men1,Men1,scGPT_context_mean_finetuned,0.0650554509960131,0.06338102898726733
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Men1,Men1,GEARS_context_mean_trainonly_graphs,0.0792722312563475,0.06338102898726733
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Phf10,Phf10,scGPT_context_mean_finetuned,0.0732636646442529,0.06613434274425117
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Phf10,Phf10,GEARS_context_mean_trainonly_graphs,0.0537189653642613,0.06613434274425117
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Prmt1,Prmt1,scGPT_context_mean_finetuned,0.1153228272560278,0.11474237530994616
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Prmt1,Prmt1,GEARS_context_mean_trainonly_graphs,0.0729058198151021,0.11474237530994616
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Prmt5,Prmt5,scGPT_context_mean_finetuned,0.0979136692626521,0.09053978276892595
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Prmt5,Prmt5,GEARS_context_mean_trainonly_graphs,0.0728992611573721,0.09053978276892595
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Rbbp4,Rbbp4,scGPT_context_mean_finetuned,0.0955263707283692,0.08660774914374703
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Rbbp4,Rbbp4,GEARS_context_mean_trainonly_graphs,0.0572861999759633,0.08660774914374703
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Setdb1,Setdb1,scGPT_context_mean_finetuned,0.0952696352953135,0.08402931213743471
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Setdb1,Setdb1,GEARS_context_mean_trainonly_graphs,0.0619675419283058,0.08402931213743471
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Setdb2,Setdb2,scGPT_context_mean_finetuned,0.0767062423357683,0.07106904974710847
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Setdb2,Setdb2,GEARS_context_mean_trainonly_graphs,0.0502607945827372,0.07106904974710847
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Smarcd2,Smarcd2,scGPT_context_mean_finetuned,0.0882554538053407,0.08035830004870795
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Smarcd2,Smarcd2,GEARS_context_mean_trainonly_graphs,0.0643277476478789,0.08035830004870795
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Smc2,Smc2,scGPT_context_mean_finetuned,0.0795348754593755,0.08132118090118468
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Smc2,Smc2,GEARS_context_mean_trainonly_graphs,0.068575520940897,0.08132118090118468
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Spi1,Spi1,scGPT_context_mean_finetuned,0.1805046328056226,0.17804685125465725
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Spi1,Spi1,GEARS_context_mean_trainonly_graphs,0.1117465060208483,0.17804685125465725
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Stag2,Stag2,scGPT_context_mean_finetuned,0.1460538148032772,0.14161209866606475
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP::Stag2,Stag2,GEARS_context_mean_trainonly_graphs,0.1062020848509712,0.14161209866606475
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Ehmt2,Ehmt2,scGPT_context_mean_finetuned,0.0630535954450816,0.05734980299040441
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Ehmt2,Ehmt2,GEARS_context_mean_trainonly_graphs,0.046256230775874,0.05734980299040441
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Ezh2,Ezh2,scGPT_context_mean_finetuned,0.1474351245415751,0.1476161077342792
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Ezh2,Ezh2,GEARS_context_mean_trainonly_graphs,0.1513017481164897,0.1476161077342792
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Gltscr1,Gltscr1,scGPT_context_mean_finetuned,0.063511704481358,0.05960701780314165
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Gltscr1,Gltscr1,GEARS_context_mean_trainonly_graphs,0.0748154960976135,0.05960701780314165
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Kdm6a,Kdm6a,scGPT_context_mean_finetuned,0.1456713196388788,0.14502919084450963
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Kdm6a,Kdm6a,GEARS_context_mean_trainonly_graphs,0.1594096640195878,0.14502919084450963
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Mbd2,Mbd2,scGPT_context_mean_finetuned,0.0756049949002791,0.0691697883422482
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Mbd2,Mbd2,GEARS_context_mean_trainonly_graphs,0.1009601987341538,0.0691697883422482
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP::Rcor1,Rcor1,scGPT_context_mean_finetuned,0.0825306335327943,0.07336285137710198
