dataset,fold_id,predictor,n_tasks,model_mean_rmse,no_change_mean_rmse,relative_gain,model_beats_no_change
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS_context_mean_trainonly_graphs,69,0.09654066544253019,0.10220300323877672,0.05540285135278866,True
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT_context_mean_finetuned,69,0.10600697671027913,0.10220300323877672,-0.0372197817183042,False
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS_context_mean_trainonly_graphs,69,0.10190416176608341,0.10933368176836478,0.0679527102912495,True
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT_context_mean_finetuned,69,0.10944752722408606,0.10933368176836478,-0.0010412660936680584,False
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS_context_mean_trainonly_graphs,69,0.11417646107028673,0.11405681724018184,-0.0010489844710723784,False
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT_context_mean_finetuned,69,0.11517662784666483,0.11405681724018184,-0.009818006793271161,False
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS_context_mean_trainonly_graphs,69,0.09110483259603042,0.09724406842979962,0.06313223966149772,True
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT_context_mean_finetuned,69,0.09871177937086587,0.09724406842979962,-0.015093063924261685,False
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS_context_mean_trainonly_graphs,69,0.09893991852025212,0.10448071326495868,0.05303174692783097,True
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT_context_mean_finetuned,69,0.10713503697832154,0.10448071326495868,-0.02540491570565373,False
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,GEARS_context_mean_trainonly_graphs,51,0.05130273786445218,0.04746968060268393,-0.08074748372230522,False
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,scGPT_context_mean_finetuned,51,0.05448873401246351,0.04746968060268393,-0.1478639274725333,False
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS_context_mean_trainonly_graphs,51,0.0578586469887265,0.05676964388351484,-0.01918284193302644,False
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,scGPT_context_mean_finetuned,51,0.06085824228695751,0.05676964388351484,-0.07202085698885186,False
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,GEARS_context_mean_trainonly_graphs,51,0.04707773996297006,0.04312678593210697,-0.09161253141105719,False
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,scGPT_context_mean_finetuned,51,0.046899600651921856,0.04312678593210697,-0.08748193583807296,False
Santinha,Santinha_context_holdout_4_Neurons_L_5,GEARS_context_mean_trainonly_graphs,51,0.04827997333760949,0.04367239238096809,-0.10550328721284652,False
Santinha,Santinha_context_holdout_4_Neurons_L_5,scGPT_context_mean_finetuned,51,0.04389935741014673,0.04367239238096809,-0.005196990977704097,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,GEARS_context_mean_trainonly_graphs,51,0.05561189335810022,0.05241227343870161,-0.0610471500180334,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,scGPT_context_mean_finetuned,51,0.06086816592835222,0.05241227343870161,-0.1613342054230893,False
