seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,2,0.026948497196038566,129,,
3407,GEARS,9,0.02615030895297726,,1248,4468
3408,scGPT,6,0.026872829906642436,129,,
3408,GEARS,2,0.026291673164814712,,1248,4468
3409,scGPT,4,0.02685483479872346,129,,
3409,GEARS,1,0.026234828339268764,,1248,4468
3410,scGPT,3,0.026849462992201249,129,,
3410,GEARS,3,0.026189729602386556,,1248,4468
3411,scGPT,1,0.026886823245634635,129,,
3411,GEARS,2,0.026182231182853382,,1248,4468
