culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.238214359422634,True
Rest,seen_160,160,True,160,1.1770082766417231,True
Stim8hr,all_200,200,True,200,1.2226552798255277,True
Stim8hr,seen_160,160,True,160,1.1630872596866459,True
Stim48hr,all_200,200,True,200,1.1829242568161944,True
Stim48hr,seen_160,160,True,160,1.1204560061075723,True
