culture_condition,stratum,n_tasks,n_leave_one_seed_out_estimators,n_pairwise_correlations,minimum_pairwise_spearman,median_pairwise_spearman,maximum_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
Rest,all_200,200,5,10,0.91811595289882253,0.94631665791644803,0.96394059851496305,0.95605202130053246,2000,0.93040082068381258,0.95833193782245518,True
Rest,seen_160,160,5,10,0.8589153873198172,0.91310646900269532,0.94120766436188907,0.9262798546818235,2000,0.88481713663086814,0.93339583085470057,True
Stim8hr,all_200,200,5,10,0.92241656041401043,0.94083402085052148,0.95983199579989509,0.9538941273531838,2000,0.92227148773600076,0.95454860237969597,True
Stim8hr,seen_160,160,5,10,0.86578870268369845,0.8998710887144028,0.93131958279620297,0.92084987694831832,2000,0.86950114927373512,0.92539041547870082,True
Stim48hr,all_200,200,5,10,0.91939398484962143,0.94023325583139594,0.96098702467561703,0.95347915697892449,2000,0.92165870350062606,0.95550390792965689,True
Stim48hr,seen_160,160,5,10,0.85757939763272006,0.89789054259932022,0.93269951951248087,0.91920707840150007,2000,0.86581276438458865,0.92573927537725376,True
