e176_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e176_selection_sha256,e176_column_unseen_sha256,target_stratum,e176_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_e174_targets,selection_used_expression_effect_error_or_prior_outcome
601,H04,1,ENSG00000151151,IPMK,2,IPMK-1+IPMK-2,True,IPMK,True,True,IPMK,True,True,7194df69bdcf200a3309ae3e2241f7f0e77e4b9000e88c8bc0690e29fe404e07,9e149808445a6993adbb0beed4a94f207bbd2a0dba6fb05eb2130f42a485b144,33d541ee49c612334943ac101fe8c6ffe79b3099492846a799c7b9f5a084b917,060e72cb70e769152b950c3e10c5f6913326a4bbf26a0189c5e22efc8cc361d7,COLUMN_UNSEEN,94a8197eb8bec72ff66640379e14dbc92f6bdf2f81f4ac24bd62067cbe4bcb0f,EVALUATION_80PCT,0,True,False
602,H04,2,ENSG00000267041,ZNF850,2,ZNF850-1+ZNF850-2,True,ZNF850,True,True,ZNF850,True,True,4050617983ccd050058797f714d14b698fc68409824294e9597ace45f269dc05,d878712ee833332eea2ff43cc7595f305a8cdcfc9e21e4e1fcc376212e5d9dd1,33e0a652583dd7343ef51a95774e1c7e818f557cc32f90e41151995e09b3d5ad,68946083d98fec3e41ba80eff20449f2d466e16f79112dd296cb1c7feeb49f50,DONOR_UNSEEN_ONLY,045af825c014abfed77768fc1ae35652aedb0071aad0f0958ad28795c130289e,CALIBRATION_20PCT,6,True,False
603,H04,3,ENSG00000110719,TCIRG1,2,TCIRG1-1+TCIRG1-2,True,TCIRG1,True,True,TCIRG1,True,True,099e8bf3dd60986a4ae2acf39204d8f64928e6391f0b5779128d00409fdbc447,cc4ca99127ffc7ff6065215871ac0bc166b71694f044d994a8e5c987adf9e308,33f5412be1617bf414770780e9eacdfbef275a7b61b4f2dca9171bb904197641,13543fd5aeea0e118e8d9f125875f684eb6756bab27f90d0761ea866b3500ebb,COLUMN_UNSEEN,c31e1ed6b2f60874009cd376a5d39970cab835151eddc65f8076021db7274e60,EVALUATION_80PCT,0,True,False
604,H04,4,ENSG00000126214,KLC1,2,KLC1-1+KLC1-2,True,KLC1,True,True,KLC1,True,True,46b60c39a4b2e2d2379ad22233a11efda1c5b3db1981c0a8fed1fe89b7acae86,76d0ab43614c7b51c81dd23453e6799ed6708c06de50d82eb862a0cd81d8e3b8,33f88a137161c56e7e52f41c94e157d7c635941e6f6e997723d79d69f2b29529,1d7de47ba9bcef04d3552dd1ae92f100e5559ca5dfcc6e94d90c68db7921100c,COLUMN_UNSEEN,7aeea583f3a0288b89d9ab76619a0caa60ef93dda38fb5ed6598097f64d67719,EVALUATION_80PCT,0,True,False
605,H04,5,ENSG00000170571,EMB,2,EMB-1+EMB-2,True,EMB,True,True,EMB,True,True,e55a5093b288e51ea4912bf7b0b50ce3d56b605f53fad0407243daebe5849320,6b919f6e24a83917ff249eb60c1dd0e660b847ca3f7a3d504c01239ae7cd88d1,3426fc14ee7540b7284e814dc6f349162f2e8560130c6aba6a4e137c4a8cad81,fb4428f3fe3da83064fa9ee4cc48df1fc1dcd9423d9ac5534ba798ce367b8174,DONOR_UNSEEN_ONLY,bb0fb704e8fe4bd37a3957ddeee28c7af767ececbf0840dedf98a3c035f351e7,EVALUATION_80PCT,6,True,False
606,H04,6,ENSG00000125846,ZNF133,2,ZNF133-1+ZNF133-2,True,ZNF133,True,True,ZNF133,True,True,863281e965ce317788eb10a0e3272ae88b0d76f468478cbb8c1bbe8c2516ddd8,1b968cab58ba3d8e8bf96e2418044124176753e2063f017b5a1f43c9b40cd439,34355e33aa338c3e948a18f3226b8d399d37ae1bf487ec241af0bc108090884a,d2d0a0fb11d03c6ad6b65eabadd01b8707ff8668011c3351bf7559ca94bb0430,DONOR_UNSEEN_ONLY,b9c4000f552cc1760b934fbbe48d8651539fe955ae4cb991f46a72f93574ead3,EVALUATION_80PCT,6,True,False
607,H04,7,ENSG00000126012,KDM5C,2,KDM5C-1+KDM5C-2,True,KDM5C,True,True,KDM5C,True,True,e0dcb849921d4ebf3b3edd0f943f6ff178aa8339626d7080dcbb776a3c60c40e,78e6a2217a7b68858c62261008bc062a8932833066e7af8c8173ac21971e95f2,3473d2d13b29bbfaeeed24282ecf496a3e70d7094a834dee43acf484780fae83,7d9bc62615ab30f794fb7948a611b7afceab9eb1d9e85b01ad98668da846335a,DONOR_UNSEEN_ONLY,54222d646c07124fa5461a279933ce15578bb6bd911c80e0d5a4489bdb30cb2b,EVALUATION_80PCT,6,True,False
608,H04,8,ENSG00000132465,JCHAIN,2,JCHAIN-1+JCHAIN-2,True,JCHAIN,True,True,JCHAIN,True,True,d5b73267fe3a6ee5977b134608a316a32e6ef2f60f685778190ef21ab89b4da3,e0ed89efcbb24b0dca2d7396fe94421c7491e572f16bd51ca4bfb3f1ca777a52,3488ac30f9d33e3a8c9c1f752ebfacc3c1047817162eeb5cbbe866f5fd667ed9,89027ed2dcf67f886d650499cff04f8b3bcdd65ad883f88662e0f8932d2e1cc2,DONOR_UNSEEN_ONLY,47cd043eb6427805d341d5ebadc7a74a8c230f3ebebba03235ed69876e4e822c,EVALUATION_80PCT,6,True,False
609,H04,9,ENSG00000055147,FAM114A2,2,FAM114A2-1+FAM114A2-2,True,FAM114A2,True,True,FAM114A2,True,True,e3d4881ade36de55b854bd4182aa69fd5575a2bddf7a1423e50f3186204eea38,2c384c320909c04108ca99fbac8e1289c177b2f63c70456e7c9c970a96a81615,34a9943d462b6eca6ab6d0daccf6bfff141fec44ea78582657af4e9ecc27c43f,af4905b49a8b2b2374b542ab7d0a0055150a4493b33258eab3cac30cb34ea383,DONOR_UNSEEN_ONLY,e6c7b5e7a40e955b7adf6bb0cdb3d4b44f036668172e6abf7cd2af446dfd3a32,EVALUATION_80PCT,6,True,False
610,H04,10,ENSG00000145331,TRMT10A,2,TRMT10A-1+TRMT10A-2,True,TRMT10A,True,True,TRMT10A,True,True,74e93cb9fb70d1b8cba55ad1e2781d4a3675628aaec93d4760ade8003535c1d6,9e635f1513ba735c1cc9d5a11460eed99d3f22c12ee8bac74f45940fe8ac92cb,34ae978e88ffe6f7cfe3e1f320454974d725ae3ba92f1bbdaccfbae551a44b5a,bf4844a406727b27809e2bbad16ecdbbac2c20d64fdda331449f7c3356fd00ed,DONOR_UNSEEN_ONLY,211e5bdcd96856cb1f444fcae51e4a2a337d63ce4957074f582102af838e0888,CALIBRATION_20PCT,6,True,False
