scope,target,comparator,unit,delta,ci95_low,ci95_high,p_gt_zero
Frangieh,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.011194129105613659,-0.02789027502075646,0.05312505462529739,0.6995
Lara_exvivo,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.03210814760686883,-0.01692306657455518,0.09470915538421312,0.8215
Liang,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.010245952592419151,-0.11637028261489743,0.10688756070284648,0.5585
Santinha,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.15950709036019428,-0.07551418233541063,0.4272014924517784,0.913
Shifrut,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.11933705829054668,-0.04682197835179472,0.34067025067362083,0.909
five_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,fixed_five_datasets,0.06647847559112852,0.00040053311924693243,0.13870445046070362,0.975
five_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,dataset_population_plus_fold_plus_perturbation,0.06647847559112852,-0.008994048129466192,0.16992304328094868,0.9505
Frangieh,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.11571162110279931,-0.037997876648584346,0.2860115957324025,0.926
Lara_exvivo,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.21102667153818047,0.06604215785049708,0.3515438501992162,1.0
Liang,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.13785174290768,-0.07675616773025062,0.3349434215437353,0.895
Santinha,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.1913984930751264,-0.09024699014298673,0.4789312257026311,0.912
Shifrut,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.12133796436122019,-0.08185986963529485,0.3767428892146762,0.884
five_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,fixed_five_datasets,0.15546529859700126,0.059335959755580855,0.2464073920026749,0.999
five_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,dataset_population_plus_fold_plus_perturbation,0.15546529859700126,0.054986952223192255,0.24865445662554658,0.9995
Frangieh,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.10485818403678393,-0.035613919450648665,0.2445893050428814,0.922
Lara_exvivo,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.23962002192181217,0.08172667359933998,0.40450317044118733,0.9995
Liang,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.13820377643145074,-0.06393597771813532,0.3373268562890671,0.927
Santinha,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.1538962306316875,-0.1880660378497693,0.43992260954940693,0.8165
Shifrut,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,-0.036016309272123216,-0.22847667157149576,0.2577362806972699,0.3775
five_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,fixed_five_datasets,0.12011238074992223,0.02115475275827589,0.22086180144515827,0.9915
five_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,dataset_population_plus_fold_plus_perturbation,0.12011238074992223,-0.005737489944936172,0.2347646960196142,0.968
