target,removed_dataset,comparator,delta
error_two_predictor_mean_rmse,Frangieh,safeconf_frozen_pair_risk,0.08029956221250723
error_two_predictor_mean_rmse,Frangieh,risk_model_disagreement,0.16540371797055176
error_two_predictor_mean_rmse,Frangieh,baseline_predicted_magnitude,0.12392592992820681
error_two_predictor_mean_rmse,Lara_exvivo,safeconf_frozen_pair_risk,0.07507105758719344
error_two_predictor_mean_rmse,Lara_exvivo,risk_model_disagreement,0.14157495536170647
error_two_predictor_mean_rmse,Lara_exvivo,baseline_predicted_magnitude,0.09023547045694974
error_two_predictor_mean_rmse,Liang,safeconf_frozen_pair_risk,0.08053660634080587
error_two_predictor_mean_rmse,Liang,risk_model_disagreement,0.1598686875193316
error_two_predictor_mean_rmse,Liang,baseline_predicted_magnitude,0.1155895318295401
error_two_predictor_mean_rmse,Santinha,safeconf_frozen_pair_risk,0.04322132189886205
error_two_predictor_mean_rmse,Santinha,risk_model_disagreement,0.14648199997746997
error_two_predictor_mean_rmse,Santinha,baseline_predicted_magnitude,0.11166641827948087
error_two_predictor_mean_rmse,Shifrut,safeconf_frozen_pair_risk,0.05326382991627396
error_two_predictor_mean_rmse,Shifrut,risk_model_disagreement,0.16399713215594652
error_two_predictor_mean_rmse,Shifrut,baseline_predicted_magnitude,0.15914455325543359
