dataset_group,dataset_name,predictor_name,score_name,n,n_bootstrap,status,raw_spearman_ci_low,raw_spearman_ci_high,partial_rho_ci_low,partial_rho_ci_high
cui_immune_cytokine_group,CuiHacohen2023,ContextSimBaseline,lodo_error_ranker_risk,1253,200,ok,0.08747434912967438,0.19415257624686572,0.09402546479164464,0.21656024888849484
cui_immune_cytokine_group,CuiHacohen2023,ContextSimBaseline,model_disagreement_risk,1253,200,ok,0.2168771212371556,0.3245788958282466,0.04804402920374311,0.15157521410964825
cui_immune_cytokine_group,CuiHacohen2023,ContextSimBaseline,protocol_v0_2_family_confidence,1253,200,ok,0.36871161197069824,0.46994252412296633,0.2394466462020793,0.33591142863830864
cui_immune_cytokine_group,CuiHacohen2023,ContextSimBaseline,safeconf_linear_ranker_risk,1253,200,ok,-0.09301674912116663,0.008408465234114437,-0.09193266214934269,0.02150967789845076
cui_immune_cytokine_group,CuiHacohen2023,V0StrongBaseline,lodo_error_ranker_risk,1253,200,ok,-0.10324692189888228,0.012227757642364138,0.007123521571076646,0.11234141867665462
cui_immune_cytokine_group,CuiHacohen2023,V0StrongBaseline,model_disagreement_risk,1253,200,ok,0.39263469677004253,0.4818063843775962,0.30300073492348556,0.409821924412359
cui_immune_cytokine_group,CuiHacohen2023,V0StrongBaseline,protocol_v0_2_family_confidence,1253,200,ok,0.41512246336253905,0.5175120815508836,0.31661675116385257,0.4150102952719953
cui_immune_cytokine_group,CuiHacohen2023,V0StrongBaseline,safeconf_linear_ranker_risk,1253,200,ok,-0.020947940056003103,0.07977696567138866,-0.1831579137021585,-0.06387852449614422
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,633,200,ok,-0.7238745702143176,-0.6304323003624436,-0.6187707770961051,-0.5156952747324073
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,633,200,ok,0.8886383548100578,0.9208101257474498,0.904425788812504,0.930315877239468
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,633,200,ok,0.5743385671110263,0.6751166072691733,0.49147235052445354,0.5880622652180479
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,633,200,ok,0.2676637809655109,0.42094767382136206,0.1912557084384798,0.30197206323442205
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,633,200,ok,-0.7694600063131154,-0.6802586919129749,-0.5930351963916959,-0.454109953123215
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,633,200,ok,0.8433707936999757,0.8829541585684946,0.8777559409049541,0.9082060395018933
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,633,200,ok,0.5393964382596322,0.6528929226269554,0.47526953121731136,0.5768288352614295
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,633,200,ok,-0.22001492385410948,-0.038968260710447074,-0.36372774774124095,-0.24343520292134288
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,331,200,ok,-0.12815581085680366,0.06986848298314069,0.00448760143820384,0.21907802252641068
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,331,200,ok,-0.08395918375587207,0.11711163092427233,-0.020869199829899866,0.22820745381504134
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,331,200,ok,0.48693481732355126,0.6507616558966164,0.3069876230405564,0.4853092044088539
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,331,200,ok,-0.09551700243820192,0.10054326785598931,0.007080619968652019,0.2298196199886037
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,lodo_error_ranker_risk,331,200,ok,0.48455805738155433,0.6615400276033588,0.6448863463556481,0.7456952948171868
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,model_disagreement_risk,331,200,ok,0.5292592323010947,0.6997039774633972,0.6739292831293928,0.7707134711404067
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,protocol_v0_2_family_confidence,331,200,ok,0.5705802697261542,0.7206928991670769,0.4897105947057141,0.6582099676751009
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,safeconf_linear_ranker_risk,331,200,ok,0.5517808561538156,0.7036936963095475,0.6839195806738846,0.7685589886979247
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,lodo_error_ranker_risk,390,200,ok,0.4061547822137458,0.5710864889695723,0.21659326146037056,0.4038868712695887
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,model_disagreement_risk,390,200,ok,0.22132850449207003,0.39692246169864526,0.024231616691135743,0.21316885670434785
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,390,200,ok,0.382045543263439,0.5311765242747027,0.34361842444314605,0.5050148445174045
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,390,200,ok,0.23361636507068603,0.3909723959016022,0.05024711036747876,0.22328493810951647
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,390,200,ok,0.45179373031631337,0.6049487758229364,0.4973524033212689,0.6281057964893695
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,model_disagreement_risk,390,200,ok,0.6351475980203053,0.7607582661066684,0.5888372792013377,0.7351079707541099
