dataset_group,dataset_name,predictor_name,score_name,score_type,coverage,n_total,n_kept,mean_rmse,median_rmse
cui_immune_cytokine_group,CuiHacohen2023,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.6,1253,752,0.19744962413760378,0.15254239516891238
cui_immune_cytokine_group,CuiHacohen2023,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.5,1253,627,0.19989302110873494,0.1526299762450355
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,risk,1.0,633,633,0.05835748500921302,0.0523507598791634
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,risk,0.9,633,570,0.05899331772240424,0.05236993080020805
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,risk,0.8,633,507,0.06023386141466782,0.0531429357253045
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,risk,0.7,633,444,0.06154145272448165,0.0536678028712078
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,risk,0.6,633,380,0.06341574409039001,0.0548437489919965
frangieh_crispr_group,Frangieh,ContextSimBaseline,lodo_error_ranker_risk,risk,0.5,633,317,0.06621656895997666,0.05734755878024
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,risk,1.0,633,633,0.058357485009213034,0.0523507598791634
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,risk,0.9,633,570,0.05340042170030316,0.0511326686887302
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,risk,0.8,633,507,0.05106258854185211,0.050329842468119
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,risk,0.7,633,444,0.04977512159045537,0.04922402700713355
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,risk,0.6,633,380,0.04868439829337353,0.0483378472459967
frangieh_crispr_group,Frangieh,ContextSimBaseline,model_disagreement_risk,risk,0.5,633,317,0.047618705867825684,0.0474373443643076
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,1.0,633,633,0.058357485009213034,0.0523507598791634
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.9,633,570,0.05666968160428784,0.05128822992783465
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.8,633,507,0.055465811183834,0.0504324902081263
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.7,633,444,0.05278657299618395,0.04922402700713355
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.6,633,380,0.05250206786895986,0.04858767656294425
frangieh_crispr_group,Frangieh,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.5,633,317,0.05211924274796013,0.0481373174681554
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,risk,1.0,633,633,0.058357485009213034,0.0523507598791634
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.9,633,570,0.05394038405193051,0.0511326686887302
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.8,633,507,0.053286679222195425,0.0510464290909273
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.7,633,444,0.052785510651486615,0.050959866327361644
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.6,633,380,0.05264590847574175,0.05094600604361605
frangieh_crispr_group,Frangieh,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.5,633,317,0.05263511247456989,0.0505206232169776
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,risk,1.0,633,633,0.05387136494363354,0.0479647219934031
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,risk,0.9,633,570,0.05498745275494179,0.0484706569827066
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,risk,0.8,633,507,0.05641386712534179,0.049391214237166
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,risk,0.7,633,444,0.05791927129005812,0.050175234748098055
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,risk,0.6,633,380,0.06007271699154389,0.05200616876889885
frangieh_crispr_group,Frangieh,V0StrongBaseline,lodo_error_ranker_risk,risk,0.5,633,317,0.062219559855215996,0.0531941949243091
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,risk,1.0,633,633,0.05387136494363354,0.0479647219934031
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,risk,0.9,633,570,0.049293640746602155,0.0470739702053472
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,risk,0.8,633,507,0.0471091907699146,0.0461228230772231
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,risk,0.7,633,444,0.04597027180488191,0.045353657670329506
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,risk,0.6,633,380,0.04502891801420849,0.0447343731258603
frangieh_crispr_group,Frangieh,V0StrongBaseline,model_disagreement_risk,risk,0.5,633,317,0.04411039133366327,0.043834541751196
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,1.0,633,633,0.05387136494363354,0.0479647219934031
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.9,633,570,0.052301889731482684,0.04709019497506195
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.8,633,507,0.05121969499250562,0.0462969209961773
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.7,633,444,0.048854217221903876,0.045380461182614545
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.6,633,380,0.048741444369993926,0.0449670158191149
frangieh_crispr_group,Frangieh,V0StrongBaseline,protocol_v0_2_family_confidence,confidence,0.5,633,317,0.048438662074334914,0.0446772902643448
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,risk,1.0,633,633,0.05387136494363352,0.0479647219934031
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.9,633,570,0.05140879129928054,0.047669917957620656
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.8,633,507,0.05141379900703565,0.0480330250415104
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.7,633,444,0.051739641955579944,0.04819213334179045
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.6,633,380,0.05245352423496856,0.048647925953347854
frangieh_crispr_group,Frangieh,V0StrongBaseline,safeconf_linear_ranker_risk,risk,0.5,633,317,0.053634156818128824,0.04934997549279
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,risk,1.0,331,331,1.0263562357650995,0.3741852106023802
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.9,331,298,1.0814467824378684,0.3684861272107219
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.8,331,265,1.1699358084939828,0.3701463984205477
