heldout_dataset_group,predictor_name,score_name,model_type,feature_set,n_train_pool,n_test,feature_name,coefficient,abs_coefficient,intercept,alpha,l1_ratio
lara_astiaso_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,perturbation_support_count,0.4319688798364508,0.4319688798364508,0.5777027316202644,0.015117750706156617,1.0
lara_astiaso_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,perturbation_effect_stability,0.0,0.0,0.5777027316202644,0.015117750706156617,1.0
lara_astiaso_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,prediction_magnitude_deviation,0.026077410187233353,0.026077410187233353,0.5777027316202644,0.015117750706156617,1.0
lara_astiaso_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,model_disagreement_rmse,0.3148955729527157,0.3148955729527157,0.5777027316202644,0.015117750706156617,1.0
lara_astiaso_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,ood_nearest_distance,0.0,0.0,0.5777027316202644,0.015117750706156617,1.0
lara_astiaso_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,context_similarity_max,-0.01134088446704278,0.01134088446704278,0.5385537740997081,0.008376776400682915,1.0
lara_astiaso_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,perturbation_support_count,0.46478180847583045,0.46478180847583045,0.5385537740997081,0.008376776400682915,1.0
lara_astiaso_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,perturbation_effect_stability,0.0,0.0,0.5385537740997081,0.008376776400682915,1.0
lara_astiaso_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,prediction_magnitude_deviation,-0.014804487310831194,0.014804487310831194,0.5385537740997081,0.008376776400682915,1.0
lara_astiaso_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,model_disagreement_rmse,0.26415473727343847,0.26415473727343847,0.5385537740997081,0.008376776400682915,1.0
lara_astiaso_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,15584,721,ood_nearest_distance,0.003000531902392527,0.003000531902392527,0.5385537740997081,0.008376776400682915,1.0
mcfarland_drug_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,context_similarity_max,-0.019095690521729738,0.019095690521729738,0.6897413337059182,0.08886238162743398,1.0
mcfarland_drug_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,perturbation_support_count,-0.0,0.0,0.6897413337059182,0.08886238162743398,1.0
mcfarland_drug_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,perturbation_effect_stability,0.15593813802515646,0.15593813802515646,0.6897413337059182,0.08886238162743398,1.0
mcfarland_drug_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,prediction_magnitude_deviation,0.24994589015254673,0.24994589015254673,0.6897413337059182,0.08886238162743398,1.0
mcfarland_drug_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,model_disagreement_rmse,1.359168957452357,1.359168957452357,0.6897413337059182,0.08886238162743398,1.0
mcfarland_drug_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,ood_nearest_distance,-0.0,0.0,0.6897413337059182,0.08886238162743398,1.0
mcfarland_drug_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,context_similarity_max,-0.03593298987504141,0.03593298987504141,0.7877770184960171,9.999999999999999e-05,1.0
