heldout_dataset_group,predictor_name,n_train_pool,n_test,n_features,feature_columns,feature_set,model_type,score_name,status
cui_immune_cytokine_group,ContextSimBaseline,13461,1253,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
cui_immune_cytokine_group,V0StrongBaseline,13461,1253,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
cui_immune_cytokine_group,ContextSimBaseline,13461,1253,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
cui_immune_cytokine_group,V0StrongBaseline,13461,1253,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
frangieh_crispr_group,ContextSimBaseline,15941,633,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
frangieh_crispr_group,V0StrongBaseline,15941,633,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
frangieh_crispr_group,ContextSimBaseline,15941,633,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
frangieh_crispr_group,V0StrongBaseline,15941,633,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
lara_astiaso_group,ContextSimBaseline,15584,721,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
lara_astiaso_group,V0StrongBaseline,15584,721,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
lara_astiaso_group,ContextSimBaseline,15584,721,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
lara_astiaso_group,V0StrongBaseline,15584,721,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
mcfarland_drug_group,ContextSimBaseline,13821,1163,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
mcfarland_drug_group,V0StrongBaseline,13821,1163,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
mcfarland_drug_group,ContextSimBaseline,13821,1163,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
mcfarland_drug_group,V0StrongBaseline,13821,1163,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
santinha_chemical_group,ContextSimBaseline,17341,283,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
santinha_chemical_group,V0StrongBaseline,17341,283,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
santinha_chemical_group,ContextSimBaseline,17341,283,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
santinha_chemical_group,V0StrongBaseline,17341,283,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
srivatsan_sciplex_group,ContextSimBaseline,16217,564,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
srivatsan_sciplex_group,V0StrongBaseline,16217,564,12,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,historical_residual_risk,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,prediction_magnitude_deviation,prediction_l2_norm,prediction_abs_mean",all_available_features,histgbt,lodo_error_ranker_risk,ok
srivatsan_sciplex_group,ContextSimBaseline,16217,564,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
srivatsan_sciplex_group,V0StrongBaseline,16217,564,6,"context_similarity_max,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance",deduplicated_linear_features,elasticnet,safeconf_linear_ranker_risk,ok
