perturbation,n_cells,gears_ensemble_rmse,scgpt_finetuned_rmse,task_mean_rmse,task_max_rmse,risk_gears_scgpt_disagreement,risk_gears_predicted_magnitude,risk_scgpt_predicted_magnitude,true_l2_diagnostic,uses_target_truth_in_deployable_risk
AMIGO3+ctrl,750,0.05136611767951055,0.0544785784102023,0.052922348044856425,0.0544785784102023,0.05344706293629887,1.2722607851028442,1.2025442123413086,0.7763687372207642,False
ASCC3+ctrl,1824,0.12880162398181946,0.12957854625025036,0.12919008511603491,0.12957854625025036,0.049461121613581654,1.1429884433746338,1.241663932800293,2.987229108810425,False
CAD+ctrl,295,0.19332974174594272,0.23915472521087938,0.21624223347841104,0.23915472521087938,0.12597293055261266,1.216639518737793,3.3955442905426025,3.9736876487731934,False
COPB1+ctrl,235,0.08673888653098245,0.08071959886130244,0.08372924269614244,0.08673888653098245,0.05836804091249447,1.503483772277832,1.264966607093811,2.4074313640594482,False
DDOST+ctrl,398,0.07583607411553489,0.06606006917867552,0.0709480716471052,0.07583607411553489,0.06455235364171641,0.931344211101532,1.5485224723815918,2.0519115924835205,False
DDRGK1+ctrl,633,0.05849550205704751,0.05994113385857475,0.05921831795781113,0.05994113385857475,0.05856167181768729,1.2603009939193726,1.4678828716278076,1.2394682168960571,False
GMPPB+ctrl,634,0.05014301976206183,0.09837805527691657,0.07426053751948919,0.09837805527691657,0.0806159008480143,1.0123120546340942,2.2688703536987305,0.8414950966835022,False
HSD17B12+ctrl,421,0.0966818431554612,0.1026138869165064,0.0996478650359838,0.1026138869165064,0.06330573748010541,1.2300339937210083,1.5314630270004272,2.421518087387085,False
HSPA5+ctrl,1242,0.20166292731074625,0.22407062226671834,0.21286677478873228,0.22407062226671834,0.0982494259383847,2.064826726913452,1.5223417282104492,5.612314224243164,False
MRGBP+ctrl,586,0.09819556266751664,0.09881025153598942,0.09850290710175302,0.09881025153598942,0.05767996247731755,1.1769297122955322,1.4558916091918945,1.7787718772888184,False
MTHFD1+ctrl,540,0.17225376579310087,0.17836259673059587,0.17530818126184838,0.17836259673059587,0.10766403714342801,1.1894919872283936,3.015420436859131,3.709505558013916,False
P4HB+ctrl,578,0.06524555722899017,0.05200390835071822,0.058624732789854195,0.06524555722899017,0.06188795317218096,1.103941559791565,1.2994334697723389,1.1359422206878662,False
PPWD1+ctrl,241,0.13255074710319364,0.12541853935140249,0.12898464322729808,0.13255074710319364,0.09373295730428918,1.1154457330703735,2.5101304054260254,3.2226974964141846,False
SCYL1+ctrl,1268,0.08222715309563398,0.07837553373822854,0.08030134341693126,0.08222715309563398,0.052422264332602726,0.9948765635490417,1.456836223602295,2.3468425273895264,False
SEC61A1+ctrl,1228,0.1826346865832741,0.16951068602116676,0.17607268630222042,0.1826346865832741,0.07052776076805538,0.8563827872276306,1.9505585432052612,4.550606727600098,False
SEC61B+ctrl,1760,0.07721869811335494,0.05562151496160659,0.06642010653748076,0.07721869811335494,0.0725936257943079,0.8332334756851196,1.8674460649490356,1.8450279235839844,False
SOCS1+ctrl,462,0.07581053881614079,0.08239699209318582,0.0791037654546633,0.08239699209318582,0.05600827935418627,1.1514915227890015,1.3884928226470947,1.7111644744873047,False
SPCS2+ctrl,612,0.08953648231971023,0.06115562668129235,0.07534605450050129,0.08953648231971023,0.08370029843973363,1.9328794479370117,1.4898879528045654,1.4298124313354492,False
SRP72+ctrl,541,0.07838009118519496,0.15175357853814317,0.11506683486166906,0.15175357853814317,0.11370916541898395,1.0037705898284912,3.1406867504119873,1.4724664688110352,False
SRPRB+ctrl,732,0.11125797225667033,0.11502620090720374,0.11314208658193703,0.11502620090720374,0.06705470326421789,0.9223793148994446,1.8584294319152832,2.273406744003296,False
TMED10+ctrl,649,0.05533404521513665,0.06429830194679893,0.05981617358096779,0.06429830194679893,0.05031047508151176,0.9775193333625793,1.271579623222351,1.2924456596374512,False
TMED2+ctrl,534,0.06979906412952314,0.06124070025866452,0.06551988219409383,0.06979906412952314,0.0644747071735604,1.0578596591949463,1.5787720680236816,1.5199916362762451,False
TTI2+ctrl,682,0.05848752835661776,0.05952188126163093,0.05900470480912434,0.05952188126163093,0.050625834747427524,0.9449042081832886,1.1894078254699707,0.8182840347290039,False
UFM1+ctrl,723,0.04802732145027493,0.10263692336569946,0.0753321224079872,0.10263692336569946,0.09597660686309824,0.99372398853302,2.811678409576416,1.1289700269699097,False
