epoch,train_mse,val_mse,learning_rate,improved,seconds
1,0.37529584508375485,0.29381953502694763,9e-05,True,67.47371172904968
2,0.2770748381740053,0.29405873964230217,8.1e-05,False,67.88992524147034
3,0.2686539705416593,0.2946715075522661,7.290000000000001e-05,False,67.31986093521118
4,0.26391698329321134,0.29119372069835664,6.561000000000002e-05,True,73.18075442314148
5,0.2627463136899295,0.29002770632505415,5.904900000000002e-05,True,68.6296374797821
6,0.2614697141648439,0.29021994608143964,5.314410000000002e-05,False,67.67636442184448
7,0.26083843330285644,0.287593528876702,4.782969000000002e-05,True,68.42440485954285
8,0.2604562268760811,0.2891805190593004,4.304672100000002e-05,False,67.07146883010864
9,0.25986513817112383,0.28920902547736965,3.874204890000002e-05,False,69.23496747016907
10,0.2597625969025922,0.28873675925036274,3.4867844010000016e-05,False,66.07126975059509
