perturbation,n_seeds,all_three_seeds_present,in_frozen_test_manifest,n_cells_test,error_gears_ensemble_rmse,error_seed_mean_rmse,error_seed_std_rmse,risk_ensemble_disagreement,risk_predicted_magnitude,true_l2_diagnostic,true_max_abs_diff_across_seeds,training_support_for_heldout_gene
BCL2L11+ctrl,3,True,True,582,0.029396140629419684,0.029576581926916017,0.0014930297006914262,0.003587513230741024,1.9017244577407837,0.9497822523117065,0.0,0
CKS1B+ctrl,3,True,True,241,0.05193807800304384,0.05205768736274032,0.00039461046814200107,0.003548885229974985,2.0960047245025635,4.099700927734375,0.0,0
CLDN6+ctrl,3,True,True,670,0.07902971607243604,0.0791604974180506,0.0018139555202768165,0.004896814003586769,6.325766563415527,4.768942832946777,0.0,0
FEV+ctrl,3,True,True,704,0.0967494077050898,0.09691206872238922,0.002263872727106673,0.006051963195204735,7.357640743255615,5.171087265014648,0.0,0
FOSB+ctrl,3,True,True,630,0.07448814473822317,0.07455321328612806,0.0030317706970557773,0.0043462119065225124,6.631648063659668,3.069556713104248,0.0,0
FOXA1+ctrl,3,True,True,851,0.054709958222972435,0.054772185027345884,0.001606484419643639,0.0030648820102214813,4.710643768310547,2.439488410949707,0.0,0
FOXA3+ctrl,3,True,True,494,0.03902415129839965,0.039227462963535735,0.0010432473024891875,0.0041228425689041615,3.9287238121032715,3.1524431705474854,0.0,0
IER5L+ctrl,3,True,True,405,0.07082928619336645,0.07154406537634557,0.008799209975589299,0.013386247679591179,6.414627552032471,3.998727321624756,0.0,0
IGDCC3+ctrl,3,True,True,613,0.03590730064878089,0.0362255293749152,0.0006291638430121464,0.0048322430811822414,3.2345497608184814,3.657153367996216,0.0,0
IKZF3+ctrl,3,True,True,681,0.07501579542980429,0.07550160884509449,0.0031428360723080515,0.009110478684306145,8.375064849853516,7.251602649688721,0.0,0
JUN+ctrl,3,True,True,266,0.06725977623388113,0.06752938605802204,0.002157883601468898,0.00640288507565856,5.43681001663208,4.011094093322754,0.0,0
MAPK1+ctrl,3,True,True,765,0.054985197255100385,0.055245314664145506,0.0011125803298364016,0.005469066556543112,3.708439588546753,4.870481014251709,0.0,0
MEIS1+ctrl,3,True,True,776,0.04992615672867522,0.05007633607388631,0.00340003368571379,0.005155437625944614,4.196084976196289,1.7855907678604126,0.0,0
MIDN+ctrl,3,True,True,298,0.05575002792118438,0.05589880485907531,0.000833726969333655,0.004160031210631132,2.3406643867492676,4.5115580558776855,0.0,0
OSR2+ctrl,3,True,True,1003,0.04661345317511967,0.047126224094833614,0.001455084959479731,0.0070840842090547085,3.410585641860962,4.110913276672363,0.0,0
POU3F2+ctrl,3,True,True,359,0.036733952181991214,0.036881387519111214,9.829977019028328e-05,0.0032959317322820425,2.4303195476531982,2.998133420944214,0.0,0
PRDM1+ctrl,3,True,True,297,0.08650345694416517,0.08660859905636481,0.000915737886878288,0.004363478161394596,2.0453739166259766,6.259587287902832,0.0,0
PTPN12+ctrl,3,True,True,445,0.03985442536910871,0.04002181118985293,0.001554358290509571,0.003973179962486029,3.9408578872680664,2.908411979675293,0.0,0
PTPN13+ctrl,3,True,True,270,0.055702520835555554,0.05579395231872328,0.00042354219064328496,0.003220821265131235,3.5193328857421875,3.0688209533691406,0.0,0
S1PR2+ctrl,3,True,True,541,0.044617008151510436,0.0473889267489484,0.004982648295556316,0.01672901026904583,3.3258066177368164,3.733596086502075,0.0,0
SNAI1+ctrl,3,True,True,467,0.0688593112062749,0.06915081056099381,0.0032593204166985953,0.007131131831556559,6.101614475250244,3.333357572555542,0.0,0
SPI1+ctrl,3,True,True,613,0.0766813404414638,0.07709047584140848,0.0021702933573266346,0.008223360404372215,5.857002258300781,6.370132923126221,0.0,0
STIL+ctrl,3,True,True,309,0.03939322496291167,0.03983431808352505,0.00264363360054422,0.006475766189396381,2.6969382762908936,2.0820231437683105,0.0,0
TSC22D1+ctrl,3,True,True,441,0.03755650970107275,0.037829692319937096,0.0019527522458389897,0.004940389189869165,2.713892936706543,1.9785637855529785,0.0,0
