task_id,technical_group,perturbation,ensemble_rmse,pair_mean_rmse,pair_max_rmse,model_disagreement_rmse,pair_lower_bound_rmse,predicted_magnitude,ensemble_base_prediction,pair_mean_base_prediction,calibration_or_evaluation_truth_used_for_score_selection
E177::G1::ACE2,1,ACE2,0.33336230223897462,0.33373038219997631,0.33801550914476441,0.032490354031324303,0.016245177015662152,0.031569864600896801,0.031569864600896801,0.031569864600896801,False
E177::G2::ACE2,2,ACE2,0.30621274361561868,0.30663379926087042,0.30941557175357448,0.032605566084384897,0.016302783042192449,0.031550627201795502,0.031550627201795502,0.031550627201795502,False
E177::G3::ACE2,3,ACE2,0.24096047261019457,0.24148494445704413,0.24500932262800407,0.032585293054580598,0.016292646527290299,0.031649637967348002,0.031649637967348002,0.031649637967348002,False
E177::G4::ACE2,4,ACE2,0.24386809066543189,0.24439677795121501,0.24714538633283853,0.032600261270999902,0.016300130635499951,0.0318478643894195,0.0318478643894195,0.0318478643894195,False
E177::G5::ACE2,5,ACE2,0.39725828511813055,0.39758355176717597,0.40035001987249913,0.032630592584609902,0.016315296292304951,0.031417481601238202,0.031417481601238202,0.031417481601238202,False
E177::G6::ACE2,6,ACE2,0.41868990409270768,0.41897978146181919,0.42387114668118453,0.032664775848388602,0.016332387924194301,0.031395491212606402,0.031395491212606402,0.031395491212606402,False
E177::G7::ACE2,7,ACE2,0.30923737125055195,0.30963587530381798,0.31411909004368055,0.032663293182849801,0.0163316465914249,0.0315148010849952,0.0315148010849952,0.0315148010849952,False
E177::G8::ACE2,8,ACE2,0.36857543624899275,0.36891203117103599,0.37328474206882134,0.032701995223760598,0.016350997611880299,0.0315068773925304,0.0315068773925304,0.0315068773925304,False
E177::G1::ATF4,1,ATF4,0.25570125720502546,0.25620528401327036,0.2652507617017244,0.036869242787361103,0.018434621393680552,0.022287862375378598,0.022287862375378598,0.022287862375378598,False
E177::G2::ATF4,2,ATF4,0.25781552299756033,0.2584246509976007,0.26336308835998529,0.036815460771322202,0.018407730385661101,0.022273574024438799,0.022273574024438799,0.022273574024438799,False
E177::G3::ATF4,3,ATF4,0.23037315602907255,0.23096788403444812,0.23915373703302936,0.036952976137399597,0.018476488068699799,0.022354269400238901,0.022354269400238901,0.022354269400238901,False
E177::G4::ATF4,4,ATF4,0.19816475041811848,0.19900371270780615,0.2026351745150245,0.037223480641841798,0.018611740320920899,0.022515639662742601,0.022515639662742601,0.022515639662742601,False
E177::G5::ATF4,5,ATF4,0.21076536321786221,0.21153911413767973,0.2145919234549446,0.0366648659110069,0.01833243295550345,0.0221501402556896,0.0221501402556896,0.0221501402556896,False
E177::G6::ATF4,6,ATF4,0.18953660877912279,0.19041926608347465,0.19102239162847434,0.036646123975515303,0.018323061987757652,0.022148322314023899,0.022148322314023899,0.022148322314023899,False
E177::G7::ATF4,7,ATF4,0.26117226484985417,0.26170941885555438,0.26931111646973815,0.036805097013711902,0.018402548506855951,0.022252254188060702,0.022252254188060702,0.022252254188060702,False
E177::G8::ATF4,8,ATF4,0.29404645221020775,0.29451636401464232,0.30241966919474378,0.036825798451900399,0.018412899225950199,0.022246317937970099,0.022246317937970099,0.022246317937970099,False
E177::G1::CASP7,1,CASP7,0.17465982358556423,0.17592194010643208,0.17901789545374561,0.042523402720689697,0.021261701360344849,0.020186899229884099,0.020186899229884099,0.021261701360344849,False
E177::G2::CASP7,2,CASP7,0.25470582741690656,0.25544201353717799,0.26413432561359534,0.042479172348976101,0.02123958617448805,0.020181979984045001,0.020181979984045001,0.02123958617448805,False
E177::G3::CASP7,3,CASP7,0.28394504973492879,0.28466591129831376,0.29128950223008698,0.042603366076946203,0.021301683038473102,0.0202578082680702,0.0202578082680702,0.021301683038473102,False
E177::G4::CASP7,4,CASP7,0.54604574159005093,0.54636787862504699,0.55675821488255328,0.042888969182968098,0.021444484591484049,0.020422881469130499,0.020422881469130499,0.021444484591484049,False
