task_id,technical_group,perturbation,n_exact_cells_merged,true_effect_key
E177::G1::ACE2,1,ACE2,14,E177::G1::ACE2
E177::G1::ATF4,1,ATF4,14,E177::G1::ATF4
E177::G1::CASP7,1,CASP7,10,E177::G1::CASP7
E177::G1::COG5,1,COG5,15,E177::G1::COG5
E177::G1::CTSB,1,CTSB,18,E177::G1::CTSB
E177::G1::EIF3F,1,EIF3F,12,E177::G1::EIF3F
E177::G1::EIF4B,1,EIF4B,8,E177::G1::EIF4B
E177::G1::EIF4H,1,EIF4H,20,E177::G1::EIF4H
E177::G1::EXOC2,1,EXOC2,25,E177::G1::EXOC2
E177::G1::EXOC8,1,EXOC8,84,E177::G1::EXOC8
E177::G1::F2RL1,1,F2RL1,18,E177::G1::F2RL1
E177::G1::HDAC2,1,HDAC2,14,E177::G1::HDAC2
E177::G1::IFITM2,1,IFITM2,18,E177::G1::IFITM2
E177::G1::IFNAR2,1,IFNAR2,25,E177::G1::IFNAR2
E177::G1::ISG15,1,ISG15,11,E177::G1::ISG15
E177::G1::KEAP1,1,KEAP1,17,E177::G1::KEAP1
E177::G1::KPNA2,1,KPNA2,19,E177::G1::KPNA2
E177::G1::LDLR,1,LDLR,79,E177::G1::LDLR
E177::G1::NFKBIA,1,NFKBIA,18,E177::G1::NFKBIA
E177::G1::PPIH,1,PPIH,12,E177::G1::PPIH
E177::G1::PRKCI,1,PRKCI,14,E177::G1::PRKCI
E177::G1::SGTA,1,SGTA,15,E177::G1::SGTA
E177::G1::SPNS1,1,SPNS1,20,E177::G1::SPNS1
E177::G1::STAT1,1,STAT1,21,E177::G1::STAT1
E177::G1::STK16,1,STK16,19,E177::G1::STK16
E177::G1::TLR3,1,TLR3,7,E177::G1::TLR3
E177::G1::TOM1,1,TOM1,56,E177::G1::TOM1
E177::G1::VAC14,1,VAC14,88,E177::G1::VAC14
E177::G1::VPS39,1,VPS39,10,E177::G1::VPS39
E177::G1::ZYG11B,1,ZYG11B,22,E177::G1::ZYG11B
E177::G2::ACE2,2,ACE2,18,E177::G2::ACE2
E177::G2::ATF4,2,ATF4,9,E177::G2::ATF4
E177::G2::CASP7,2,CASP7,9,E177::G2::CASP7
E177::G2::COG5,2,COG5,13,E177::G2::COG5
E177::G2::CTSB,2,CTSB,9,E177::G2::CTSB
E177::G2::EIF3F,2,EIF3F,4,E177::G2::EIF3F
E177::G2::EIF4B,2,EIF4B,16,E177::G2::EIF4B
E177::G2::EIF4H,2,EIF4H,16,E177::G2::EIF4H
E177::G2::EXOC2,2,EXOC2,24,E177::G2::EXOC2
E177::G2::EXOC8,2,EXOC8,108,E177::G2::EXOC8
E177::G2::F2RL1,2,F2RL1,19,E177::G2::F2RL1
E177::G2::HDAC2,2,HDAC2,12,E177::G2::HDAC2
E177::G2::IFITM2,2,IFITM2,18,E177::G2::IFITM2
E177::G2::IFNAR2,2,IFNAR2,22,E177::G2::IFNAR2
E177::G2::ISG15,2,ISG15,14,E177::G2::ISG15
E177::G2::KEAP1,2,KEAP1,14,E177::G2::KEAP1
E177::G2::KPNA2,2,KPNA2,12,E177::G2::KPNA2
E177::G2::LDLR,2,LDLR,87,E177::G2::LDLR
E177::G2::NFKBIA,2,NFKBIA,15,E177::G2::NFKBIA
E177::G2::PPIH,2,PPIH,10,E177::G2::PPIH
E177::G2::PRKCI,2,PRKCI,14,E177::G2::PRKCI
E177::G2::SGTA,2,SGTA,14,E177::G2::SGTA
E177::G2::SPNS1,2,SPNS1,19,E177::G2::SPNS1
E177::G2::STAT1,2,STAT1,13,E177::G2::STAT1
E177::G2::STK16,2,STK16,21,E177::G2::STK16
E177::G2::TLR3,2,TLR3,12,E177::G2::TLR3
E177::G2::TOM1,2,TOM1,54,E177::G2::TOM1
E177::G2::VAC14,2,VAC14,91,E177::G2::VAC14
E177::G2::VPS39,2,VPS39,8,E177::G2::VPS39
E177::G2::ZYG11B,2,ZYG11B,11,E177::G2::ZYG11B
E177::G3::ACE2,3,ACE2,17,E177::G3::ACE2
E177::G3::ATF4,3,ATF4,12,E177::G3::ATF4
E177::G3::CASP7,3,CASP7,9,E177::G3::CASP7
E177::G3::COG5,3,COG5,10,E177::G3::COG5
E177::G3::CTSB,3,CTSB,15,E177::G3::CTSB
E177::G3::EIF3F,3,EIF3F,12,E177::G3::EIF3F
E177::G3::EIF4B,3,EIF4B,13,E177::G3::EIF4B
E177::G3::EIF4H,3,EIF4H,13,E177::G3::EIF4H
E177::G3::EXOC2,3,EXOC2,25,E177::G3::EXOC2
E177::G3::EXOC8,3,EXOC8,75,E177::G3::EXOC8
E177::G3::F2RL1,3,F2RL1,14,E177::G3::F2RL1
E177::G3::HDAC2,3,HDAC2,9,E177::G3::HDAC2
E177::G3::IFITM2,3,IFITM2,24,E177::G3::IFITM2
E177::G3::IFNAR2,3,IFNAR2,21,E177::G3::IFNAR2
E177::G3::ISG15,3,ISG15,9,E177::G3::ISG15
E177::G3::KEAP1,3,KEAP1,16,E177::G3::KEAP1
E177::G3::KPNA2,3,KPNA2,17,E177::G3::KPNA2
E177::G3::LDLR,3,LDLR,79,E177::G3::LDLR
E177::G3::NFKBIA,3,NFKBIA,11,E177::G3::NFKBIA
E177::G3::PPIH,3,PPIH,10,E177::G3::PPIH
E177::G3::PRKCI,3,PRKCI,12,E177::G3::PRKCI
E177::G3::SGTA,3,SGTA,15,E177::G3::SGTA
E177::G3::SPNS1,3,SPNS1,22,E177::G3::SPNS1
E177::G3::STAT1,3,STAT1,9,E177::G3::STAT1
E177::G3::STK16,3,STK16,19,E177::G3::STK16
E177::G3::TLR3,3,TLR3,8,E177::G3::TLR3
E177::G3::TOM1,3,TOM1,44,E177::G3::TOM1
E177::G3::VAC14,3,VAC14,103,E177::G3::VAC14
E177::G3::VPS39,3,VPS39,11,E177::G3::VPS39
E177::G3::ZYG11B,3,ZYG11B,21,E177::G3::ZYG11B
E177::G4::ACE2,4,ACE2,15,E177::G4::ACE2
E177::G4::ATF4,4,ATF4,15,E177::G4::ATF4
E177::G4::CASP7,4,CASP7,11,E177::G4::CASP7
E177::G4::COG5,4,COG5,14,E177::G4::COG5
E177::G4::CTSB,4,CTSB,9,E177::G4::CTSB
