perturbation,outcome,n_tasks,cluster_residual_max,quantile_used
ACE2,ensemble_rmse,8,0.38729441288010125,0.47258539027647317
ATF4,ensemble_rmse,8,0.27180013427223765,0.47258539027647317
CASP7,ensemble_rmse,8,0.52562286012092041,0.47258539027647317
COG5,ensemble_rmse,8,0.31124078309527914,0.47258539027647317
CTSB,ensemble_rmse,8,0.24841924678979591,0.47258539027647317
EIF3F,ensemble_rmse,8,0.47224347775395925,0.47258539027647317
EIF4B,ensemble_rmse,8,0.47258539027647317,0.47258539027647317
EIF4H,ensemble_rmse,8,0.21907257375005645,0.47258539027647317
EXOC2,ensemble_rmse,8,0.26871130445883262,0.47258539027647317
EXOC8,ensemble_rmse,8,0.21644601088489698,0.47258539027647317
F2RL1,ensemble_rmse,8,0.27769873722327154,0.47258539027647317
HDAC2,ensemble_rmse,8,0.32181212815490085,0.47258539027647317
IFITM2,ensemble_rmse,8,0.28731103814674691,0.47258539027647317
IFNAR2,ensemble_rmse,8,0.34648846289422797,0.47258539027647317
ISG15,ensemble_rmse,8,0.30444770663414561,0.47258539027647317
KEAP1,ensemble_rmse,8,0.5722129744158605,0.47258539027647317
KPNA2,ensemble_rmse,8,0.45299891710651108,0.47258539027647317
LDLR,ensemble_rmse,8,0.12563250304928836,0.47258539027647317
NFKBIA,ensemble_rmse,8,0.35279765112591321,0.47258539027647317
PPIH,ensemble_rmse,8,0.26735136880038063,0.47258539027647317
PRKCI,ensemble_rmse,8,0.27553571861639509,0.47258539027647317
SGTA,ensemble_rmse,8,0.2393809174985026,0.47258539027647317
SPNS1,ensemble_rmse,8,0.24620451759528586,0.47258539027647317
STAT1,ensemble_rmse,8,0.31657806117447224,0.47258539027647317
STK16,ensemble_rmse,8,0.31475201089260341,0.47258539027647317
TLR3,ensemble_rmse,8,0.34875386327139929,0.47258539027647317
TOM1,ensemble_rmse,8,0.21566925717350313,0.47258539027647317
VAC14,ensemble_rmse,8,0.10898084764119709,0.47258539027647317
VPS39,ensemble_rmse,8,0.30037005092595437,0.47258539027647317
ZYG11B,ensemble_rmse,8,0.24994455280147679,0.47258539027647317
ACE2,pair_mean_rmse,8,0.38758429024921282,0.47295926564019647
ATF4,pair_mean_rmse,8,0.27227004607667221,0.47295926564019647
CASP7,pair_mean_rmse,8,0.52492339403356292,0.47295926564019647
COG5,pair_mean_rmse,8,0.31163646937773354,0.47295926564019647
CTSB,pair_mean_rmse,8,0.24899418177032681,0.47295926564019647
EIF3F,pair_mean_rmse,8,0.47255748762837635,0.47295926564019647
EIF4B,pair_mean_rmse,8,0.47295926564019647,0.47295926564019647
EIF4H,pair_mean_rmse,8,0.21984704817314316,0.47295926564019647
EXOC2,pair_mean_rmse,8,0.26132531581663476,0.47295926564019647
EXOC8,pair_mean_rmse,8,0.21704841157203156,0.47295926564019647
F2RL1,pair_mean_rmse,8,0.27819894592536804,0.47295926564019647
HDAC2,pair_mean_rmse,8,0.32217027350189181,0.47295926564019647
IFITM2,pair_mean_rmse,8,0.2831800619108058,0.47295926564019647
IFNAR2,pair_mean_rmse,8,0.34686697249882475,0.47295926564019647
ISG15,pair_mean_rmse,8,0.30492438929552512,0.47295926564019647
KEAP1,pair_mean_rmse,8,0.57246981893831239,0.47295926564019647
KPNA2,pair_mean_rmse,8,0.45326438382194251,0.47295926564019647
LDLR,pair_mean_rmse,8,0.11589537704273593,0.47295926564019647
NFKBIA,pair_mean_rmse,8,0.35318445786693203,0.47295926564019647
PPIH,pair_mean_rmse,8,0.26793957012800834,0.47295926564019647
PRKCI,pair_mean_rmse,8,0.27592961500597735,0.47295926564019647
SGTA,pair_mean_rmse,8,0.23990215737812076,0.47295926564019647
SPNS1,pair_mean_rmse,8,0.24691061964197078,0.47295926564019647
STAT1,pair_mean_rmse,8,0.31701419292782823,0.47295926564019647
STK16,pair_mean_rmse,8,0.31518632616136666,0.47295926564019647
TLR3,pair_mean_rmse,8,0.34910125083578963,0.47295926564019647
TOM1,pair_mean_rmse,8,0.21622932735688821,0.47295926564019647
VAC14,pair_mean_rmse,8,0.11003549256576695,0.47295926564019647
VPS39,pair_mean_rmse,8,0.30079177057006362,0.47295926564019647
ZYG11B,pair_mean_rmse,8,0.2508176215877736,0.47295926564019647
