perturbation,mse,pearson,mse_de,pearson_de
ARRDC3+ctrl,0.000716880545951426,0.9983819859262097,0.005260870326310396,0.9988911774333784
ATL1+ctrl,0.0030406455043703318,0.9929254806001586,0.17726591229438782,0.9497278906515516
BPGM+ctrl,0.0020116297528147697,0.9952871888138223,0.19701221585273743,0.9344545009113333
CBFA2T3+ctrl,0.0014448785223066807,0.9967019214423476,0.1263052523136139,0.8742291736167652
CDKN1C+ctrl,0.0021814347710460424,0.9952725346730023,0.037215180695056915,0.9782183624212016
CEBPA+ctrl,0.007003707345575094,0.985552871389304,0.17812132835388184,0.9414560275061328
CEBPB+ctrl,0.002875286154448986,0.9941719247749474,0.097258061170578,0.9731796567227868
CELF2+ctrl,0.0016545765101909637,0.9963028624298764,0.10654947906732559,0.9601215190657275
COL1A1+ctrl,0.004292404744774103,0.9898495651718703,0.3134131133556366,0.9356694000691043
COL2A1+ctrl,0.004498947877436876,0.9900346290796588,0.33608072996139526,0.8835410398283149
CSRNP1+ctrl,0.0027606391813606024,0.9942325244964596,0.083094522356987,0.9775218029260591
DLX2+ctrl,0.005976236891001463,0.9903116314874207,0.08931167423725128,0.9656741922796709
HK2+ctrl,0.0009154584258794785,0.9978286228452814,0.03207125887274742,0.991916983090909
HOXA13+ctrl,0.006014536134898663,0.9857118855538792,0.23786315321922302,0.8016727372255469
NCL+ctrl,0.0012518614530563354,0.9971348872919243,0.02942204847931862,0.9789450183421642
RREB1+ctrl,0.0013503491645678878,0.9967966419515256,0.06741341948509216,0.9803496835464881
SAMD1+ctrl,0.002187205944210291,0.9959917246730255,0.03177358955144882,0.9895600760538924
SGK1+ctrl,0.0016293388325721025,0.9961761579984401,0.07261259108781815,0.9793596886862984
SLC38A2+ctrl,0.001671685604378581,0.9963611093782211,0.025962918996810913,0.9934666912162536
SLC4A1+ctrl,0.002818192820996046,0.993377616176736,0.2601848840713501,0.8653756590181717
SLC6A9+ctrl,0.001215545111335814,0.9971596442560063,0.06161366030573845,0.9787097287487402
TBX3+ctrl,0.0027741757221519947,0.993541630254243,0.22542650997638702,0.9133573916252895
TP73+ctrl,0.011930182576179504,0.9714238500267106,0.9477118253707886,0.7724972264813281
ZC3HAV1+ctrl,0.0013701762072741985,0.996931736685294,0.08593776077032089,0.9780950625560806
