method,baseline,metric,mean,delta,ci95_lower,ci95_upper,positive_studies,favorable_studies,n_studies
magnitude,magnitude,spearman,0.14661006645060426,0.0,0.0,0.0,0,0,8
magnitude,magnitude,utility_20,0.17415317445129735,0.0,0.0,0.0,0,0,8
magnitude,magnitude,capture_20,0.22238382469128054,0.0,0.0,0.0,0,0,8
magnitude,magnitude,remaining_relative_error_80,0.9786528890473334,0.0,0.0,0.0,0,0,8
fixed_80m_20s,magnitude,spearman,0.1649118338417712,0.018301767391166922,0.008792166404011885,0.026879973957516207,7,7,8
fixed_80m_20s,magnitude,utility_20,0.17830413528817352,0.004150960836876154,-0.01927355847330781,0.03151365231462635,2,2,8
fixed_80m_20s,magnitude,capture_20,0.2225844691546192,0.00020064446333869015,-0.0024844465249239823,0.003249216834681403,2,2,8
fixed_80m_20s,magnitude,remaining_relative_error_80,0.9784034960490883,-0.00024939299824522365,-0.0040758569548188794,0.0031215264567379247,6,2,8
learned_magnitude,magnitude,spearman,0.1375715403161227,-0.009038526134481556,-0.03407376000669009,0.019809154449981405,2,2,8
learned_magnitude,magnitude,utility_20,0.17415317445129735,0.0,0.0,0.0,0,0,8
learned_magnitude,magnitude,capture_20,0.22238382469128054,0.0,0.0,0.0,0,0,8
learned_magnitude,magnitude,remaining_relative_error_80,0.9786528890473334,0.0,0.0,0.0,0,0,8
learned_full,magnitude,spearman,0.20345825629937092,0.05684818984876667,-0.030730283569580227,0.13886459082795458,6,6,8
learned_full,magnitude,utility_20,0.17582261126884002,0.001669436817542667,-0.03734054668894743,0.04070022048088796,4,4,8
learned_full,magnitude,capture_20,0.2237093751200282,0.0013255504287476814,-0.0014235391890618336,0.00408309072835527,4,4,8
learned_full,magnitude,remaining_relative_error_80,0.9769929118993343,-0.0016599771479991338,-0.0051357269037800414,0.0018018822271368001,4,4,8
guarded_full,magnitude,spearman,0.1768785501311867,0.030268483680582447,0.0034543944427665382,0.0643585573062079,3,3,8
guarded_full,magnitude,utility_20,0.15195386870543676,-0.02219930574586064,-0.048141164788992274,-0.0034779128582265325,0,0,8
guarded_full,magnitude,capture_20,0.2212676824498519,-0.0011161422414286172,-0.002274504577848075,-0.00020172975187809916,0,0,8
guarded_full,magnitude,remaining_relative_error_80,0.9800605028644691,0.001407613817135625,0.0002572054336446028,0.0028584159062216147,3,0,8
magnitude,learned_magnitude,spearman,0.14661006645060426,0.009038526134481556,-0.019809154449981468,0.03407376000669009,6,6,8
magnitude,learned_magnitude,utility_20,0.17415317445129735,0.0,0.0,0.0,0,0,8
magnitude,learned_magnitude,capture_20,0.22238382469128054,0.0,0.0,0.0,0,0,8
magnitude,learned_magnitude,remaining_relative_error_80,0.9786528890473334,0.0,0.0,0.0,0,0,8
fixed_80m_20s,learned_magnitude,spearman,0.1649118338417712,0.027340293525648478,0.0006374248424376085,0.05142857254533455,5,5,8
fixed_80m_20s,learned_magnitude,utility_20,0.17830413528817352,0.004150960836876154,-0.01927355847330781,0.03151365231462635,2,2,8
fixed_80m_20s,learned_magnitude,capture_20,0.2225844691546192,0.00020064446333869015,-0.0024844465249239823,0.003249216834681403,2,2,8
fixed_80m_20s,learned_magnitude,remaining_relative_error_80,0.9784034960490883,-0.00024939299824522365,-0.0040758569548188794,0.0031215264567379247,6,2,8
learned_magnitude,learned_magnitude,spearman,0.1375715403161227,0.0,0.0,0.0,0,0,8
learned_magnitude,learned_magnitude,utility_20,0.17415317445129735,0.0,0.0,0.0,0,0,8
learned_magnitude,learned_magnitude,capture_20,0.22238382469128054,0.0,0.0,0.0,0,0,8
learned_magnitude,learned_magnitude,remaining_relative_error_80,0.9786528890473334,0.0,0.0,0.0,0,0,8
learned_full,learned_magnitude,spearman,0.20345825629937092,0.06588671598324822,-0.004760809866831549,0.1302962948205974,6,6,8
learned_full,learned_magnitude,utility_20,0.17582261126884002,0.001669436817542667,-0.03734054668894743,0.04070022048088796,4,4,8
learned_full,learned_magnitude,capture_20,0.2237093751200282,0.0013255504287476814,-0.0014235391890618336,0.00408309072835527,4,4,8
learned_full,learned_magnitude,remaining_relative_error_80,0.9769929118993343,-0.0016599771479991338,-0.0051357269037800414,0.0018018822271368001,4,4,8
guarded_full,learned_magnitude,spearman,0.1768785501311867,0.039307009815064006,-0.005708150915187634,0.08437911755571134,6,6,8
guarded_full,learned_magnitude,utility_20,0.15195386870543676,-0.02219930574586064,-0.048141164788992274,-0.0034779128582265325,0,0,8
guarded_full,learned_magnitude,capture_20,0.2212676824498519,-0.0011161422414286172,-0.002274504577848075,-0.00020172975187809916,0,0,8
guarded_full,learned_magnitude,remaining_relative_error_80,0.9800605028644691,0.001407613817135625,0.0002572054336446028,0.0028584159062216147,3,0,8
