dataset,fold_id,setting,method,n_tasks,status,spearman,utility_20,capture_20,remaining_relative_error_80
Frangieh,frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,magnitude,30,EVALUATED,0.06785317018909899,0.11451744244790432,0.2103827074594064,0.987021615675742
Frangieh,frangieh_context_holdout_1_Co-culture,context_unseen_row,magnitude,159,EVALUATED,0.25013434439933124,0.374027101570265,0.2277176553464038,0.9668731716529276
Frangieh,frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,magnitude,60,EVALUATED,0.016504584606835234,-0.01877490779074205,0.1984183687810437,1.0019770390236955
Frangieh,frangieh_context_holdout_1_Co-culture,random_missing_pair,magnitude,30,EVALUATED,0.13726362625139044,0.29979216854876356,0.2099938249977848,0.987507718752769
Frangieh,frangieh_context_holdout_2_Control,context_and_perturbation_unseen,magnitude,30,EVALUATED,-0.0028921023359288096,-0.06599388591988647,0.19757288139789678,1.003033898252629
Frangieh,frangieh_context_holdout_2_Control,context_unseen_row,magnitude,159,EVALUATED,0.1962891091473609,0.2804270171109946,0.21525670706594446,0.9824738864292507
Frangieh,frangieh_context_holdout_2_Control,perturbation_unseen_column,magnitude,60,EVALUATED,0.18438455126424008,0.5488104621586899,0.24704951717289628,0.9411881035338796
Frangieh,frangieh_context_holdout_2_Control,random_missing_pair,magnitude,30,EVALUATED,0.25739710789766407,0.6039500879724182,0.23086802284482671,0.9614149714439666
Frangieh,frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,magnitude,30,EVALUATED,0.09810901001112346,0.6603358700846784,0.24049336997111054,0.9493832875361118
Frangieh,frangieh_context_holdout_3_IFNγ,context_unseen_row,magnitude,159,EVALUATED,0.2086816336278959,0.21345287344049177,0.21791943607782993,0.9791402335718508
Frangieh,frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,magnitude,60,EVALUATED,0.09552653514865242,0.26210215790961344,0.21458908742903884,0.9817636407137014
Frangieh,frangieh_context_holdout_3_IFNγ,random_missing_pair,magnitude,30,EVALUATED,-0.23648498331479423,-0.2624670681803888,0.17945752607227874,1.0256780924096516
Frangieh,frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,fixed_80m_20s,30,EVALUATED,0.06830570739786465,0.11451744244790432,0.2103827074594064,0.987021615675742
Frangieh,frangieh_context_holdout_1_Co-culture,context_unseen_row,fixed_80m_20s,159,EVALUATED,0.2517440554342398,0.37402710157026536,0.22771765534640384,0.9668731716529275
Frangieh,frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,fixed_80m_20s,60,EVALUATED,0.0189777574032958,-0.01877490779074205,0.1984183687810437,1.0019770390236955
Frangieh,frangieh_context_holdout_1_Co-culture,random_missing_pair,fixed_80m_20s,30,EVALUATED,0.1546162402669633,0.29979216854876356,0.2099938249977848,0.987507718752769
Frangieh,frangieh_context_holdout_2_Control,context_and_perturbation_unseen,fixed_80m_20s,30,EVALUATED,-0.0024471635150166847,-0.06599388591988647,0.19757288139789678,1.003033898252629
Frangieh,frangieh_context_holdout_2_Control,context_unseen_row,fixed_80m_20s,159,EVALUATED,0.19808693004306704,0.24780136468513098,0.2136280427878324,0.9845129228089343
Frangieh,frangieh_context_holdout_2_Control,perturbation_unseen_column,fixed_80m_20s,60,EVALUATED,0.1843063158898717,0.5488104621586899,0.24704951717289628,0.9411881035338796
Frangieh,frangieh_context_holdout_2_Control,random_missing_pair,fixed_80m_20s,30,EVALUATED,0.24048943270300333,0.3867032342766674,0.21976448800577986,0.9752943899927752
Frangieh,frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,fixed_80m_20s,30,EVALUATED,0.09810901001112346,0.6603358700846784,0.24049336997111054,0.9493832875361118
Frangieh,frangieh_context_holdout_3_IFNγ,context_unseen_row,fixed_80m_20s,159,EVALUATED,0.20583651779316933,0.2134528734404921,0.21791943607782996,0.9791402335718508
Frangieh,frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,fixed_80m_20s,60,EVALUATED,0.09552653514865242,0.26210215790961344,0.21458908742903884,0.9817636407137014
Frangieh,frangieh_context_holdout_3_IFNγ,random_missing_pair,fixed_80m_20s,30,EVALUATED,-0.2462736373748609,-0.2624670681803888,0.17945752607227874,1.0256780924096516
Frangieh,frangieh_context_holdout_1_Co-culture,context_and_perturbation_unseen,learned_magnitude,30,EVALUATED,-0.28809788654060065,0.11451744244790432,0.2103827074594064,0.987021615675742
Frangieh,frangieh_context_holdout_1_Co-culture,context_unseen_row,learned_magnitude,159,EVALUATED,0.24948949128254122,0.374027101570265,0.2277176553464038,0.9668731716529276
Frangieh,frangieh_context_holdout_1_Co-culture,perturbation_unseen_column,learned_magnitude,60,EVALUATED,-0.22267296471242018,-0.01877490779074205,0.1984183687810437,1.0019770390236955
Frangieh,frangieh_context_holdout_1_Co-culture,random_missing_pair,learned_magnitude,30,EVALUATED,0.19332591768631813,0.29979216854876356,0.2099938249977848,0.987507718752769
Frangieh,frangieh_context_holdout_2_Control,context_and_perturbation_unseen,learned_magnitude,30,EVALUATED,-0.00778642936596218,-0.06599388591988647,0.19757288139789678,1.003033898252629
Frangieh,frangieh_context_holdout_2_Control,context_unseen_row,learned_magnitude,159,EVALUATED,0.17343264867446861,0.2804270171109946,0.21525670706594446,0.9824738864292507
Frangieh,frangieh_context_holdout_2_Control,perturbation_unseen_column,learned_magnitude,60,EVALUATED,0.18649624895804393,0.5488104621586899,0.24704951717289628,0.9411881035338796
Frangieh,frangieh_context_holdout_2_Control,random_missing_pair,learned_magnitude,30,EVALUATED,0.39265850945494996,0.6039500879724182,0.23086802284482671,0.9614149714439666
Frangieh,frangieh_context_holdout_3_IFNγ,context_and_perturbation_unseen,learned_magnitude,30,EVALUATED,-0.010456062291434927,0.6603358700846784,0.24049336997111054,0.9493832875361118
Frangieh,frangieh_context_holdout_3_IFNγ,context_unseen_row,learned_magnitude,159,EVALUATED,0.16076247910198233,0.21345287344049177,0.21791943607782993,0.9791402335718508
Frangieh,frangieh_context_holdout_3_IFNγ,perturbation_unseen_column,learned_magnitude,60,EVALUATED,0.12464573492636846,0.26210215790961344,0.21458908742903884,0.9817636407137014
Frangieh,frangieh_context_holdout_3_IFNγ,random_missing_pair,learned_magnitude,30,EVALUATED,-0.18086763070077863,-0.2624670681803888,0.17945752607227874,1.0256780924096516
