dataset,method,spearman,utility_20,capture_20,remaining_relative_error_80
Frangieh,fixed_80m_20s,0.18221442701615786,0.26335854646679596,0.21891335235846462,0.9772339672286475
Frangieh,guarded_full,0.23399124018757345,0.23208792127969313,0.21658033181837022,0.9801528583976444
Frangieh,learned_full,0.23399124018757345,0.23208792127969313,0.21658033181837022,0.9801528583976444
Frangieh,learned_magnitude,0.12448934861327528,0.2919917777727734,0.22014576860834653,0.9756920652837279
Frangieh,magnitude,0.14814820954296473,0.2919917777727734,0.22014576860834653,0.9756920652837279
Lara_exvivo,fixed_80m_20s,0.1797682172770255,0.3128771885313858,0.2391204262130601,0.9545580107508883
Lara_exvivo,guarded_full,0.147504567044209,0.32046983750319147,0.24007371314867107,0.9533620689589398
Lara_exvivo,learned_full,0.42997442455242973,0.36008916512560984,0.2434644164247092,0.9491082775762738
Lara_exvivo,learned_magnitude,0.21460723419802705,0.32046983750319147,0.24007371314867107,0.9533620689589398
Lara_exvivo,magnitude,0.147504567044209,0.32046983750319147,0.24007371314867107,0.9533620689589398
Liang,fixed_80m_20s,0.08604202193857215,0.02926461619091605,0.20577631207513927,1.0001335329424172
Liang,guarded_full,0.07419848752825811,0.04113261995960918,0.20661725087522165,0.9990745729719431
Liang,learned_full,0.16939174545007274,0.13468563564981514,0.21320837872184714,0.9907746342021184
Liang,learned_magnitude,0.045170566604318556,0.04113261995960918,0.20661725087522165,0.9990745729719431
Liang,magnitude,0.07419848752825811,0.04113261995960918,0.20661725087522165,0.9990745729719431
Nadig_two_cellline,fixed_80m_20s,0.4123847874291692,0.30536033812099284,0.24090563644381488,0.9525890052469774
Nadig_two_cellline,guarded_full,0.4025790835011902,0.23792854619816634,0.23241773330602528,0.9632404915375368
Nadig_two_cellline,learned_full,0.223848654092657,0.2852332192409097,0.23870097027045917,0.9553556451507964
Nadig_two_cellline,learned_magnitude,0.34570705914667643,0.23792854619816634,0.23241773330602528,0.9632404915375368
Nadig_two_cellline,magnitude,0.4025790835011902,0.23792854619816634,0.23241773330602528,0.9632404915375368
Replogle_two_cellline,fixed_80m_20s,0.22727634577839256,0.1631133267114451,0.23664230776028233,0.9579390647714103
Replogle_two_cellline,guarded_full,0.21431670617821097,0.1919882097186021,0.24369419518433638,0.9490896374157347
Replogle_two_cellline,learned_full,0.20085264767522115,0.20418769606474188,0.24732661617257523,0.9445313051951998
Replogle_two_cellline,learned_magnitude,0.16946452113490124,0.1919882097186021,0.24369419518433638,0.9490896374157347
Replogle_two_cellline,magnitude,0.21431670617821097,0.1919882097186021,0.24369419518433638,0.9490896374157347
Santinha,fixed_80m_20s,-0.06163031752830789,-0.03393442509457486,0.211934172769434,1.0047839297189716
Santinha,guarded_full,0.03936651583710407,-0.05391414530938543,0.21084238499604532,1.0061759591300423
Santinha,learned_full,0.03936651583710407,-0.05391414530938543,0.21084238499604532,1.0061759591300423
Santinha,learned_magnitude,-0.11078733031674208,-0.02609084244357317,0.21245622301107012,1.0041183156608855
Santinha,magnitude,-0.08930316742081448,-0.02609084244357317,0.21245622301107012,1.0041183156608855
Shifrut,fixed_80m_20s,0.20164703982092924,0.22126248805569232,0.21690976757075475,0.9903788233663985
Shifrut,guarded_full,0.23633343400785262,0.1485101397010738,0.21356054895961069,0.9946145998451983
Shifrut,learned_full,0.23633343400785262,0.1485101397010738,0.21356054895961069,0.9946145998451983
Shifrut,learned_magnitude,0.20835850196315311,0.23837742630906636,0.21731041208603852,0.9898721258911867
Shifrut,magnitude,0.2086982784657203,0.23837742630906636,0.21731041208603852,0.9898721258911867
Tian_CRISPRi,fixed_80m_20s,0.09159214900223084,0.165131003322735,0.21047377804600384,0.9896116343669952
Tian_CRISPRi,guarded_full,0.06673836676509522,0.09742782059254332,0.20635530131053473,0.9947738346587134
Tian_CRISPRi,learned_full,0.09390738859205663,0.09570125839826224,0.20599135359660875,0.9952300156974013
Tian_CRISPRi,learned_magnitude,0.10356242118537203,0.09742782059254332,0.20635530131053473,0.9947738346587134
Tian_CRISPRi,magnitude,0.06673836676509522,0.09742782059254332,0.20635530131053473,0.9947738346587134
