study,study_cn,n_tasks,n_target_clusters,family_lower_violations,worst_lower_violations,family_upper_tasks_covered,family_upper_task_coverage,family_upper_targets_covered,family_upper_target_coverage,family_upper_target_ci95_low,family_upper_target_ci95_high,worst_upper_targets_covered,worst_upper_target_coverage,worst_upper_target_ci95_low,worst_upper_target_ci95_high,median_family_lower_tightness,median_worst_lower_tightness,max_identity_abs_residual
E176_primary_CD4,E176 四供体原代CD4,1920,640,0,0,1829,0.9526041666666667,579,0.90468749999999998,0.8792516729468105,0.92630845505933879,596,0.93125000000000002,0.90880252839343711,0.94960518647254188,0.24008973128900002,0.24385375729100001,9.2265604878500009e-17
E177_Sunshine,E177 独立公开研究,400,50,0,0,393,0.98250000000000004,44,0.88,0.75689868329443744,0.95466467922633613,46,0.92000000000000004,0.8076572164040372,0.97777203634507026,0.1695636464185,0.20588249535449998,9.6819254002999993e-17
E180_XuCao,E180 XuCao独立数据,73,27,0,0,73,1,27,1,0.87229713238456763,1,27,1,0.87229713238456763,1,0.255306431216,0.26176458131300001,4.1199682554400003e-18
E182_GSE225807,E182 独立RBP CRISPRi,40,20,0,0,36,0.90000000000000002,16,0.80000000000000004,0.5633859970033317,0.94266600294996716,19,0.94999999999999996,0.75126723722797217,0.99873491050205021,0.51339807142259009,0.46742884177021893,2.2551405187698489e-17
