study,study_cn,target_cluster,n_tasks,family_upper_simultaneous_covered,worst_upper_simultaneous_covered,mean_family_lower_tightness,mean_worst_lower_tightness
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000004487,3,False,False,0.17309758364333336,0.15695047917733332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000005483,3,True,True,0.22593457466099998,0.21650083704066669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000005884,3,True,True,0.35696340341933336,0.34879200932599996
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000007372,3,False,False,0.20125966563599998,0.21877969625133331
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000009724,3,True,True,0.30186909488666669,0.27152231635566665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000010322,3,True,True,0.32940462466166665,0.30112255721266662
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000016391,3,True,True,0.43853023303833333,0.41152795727666663
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000042088,3,True,True,0.27389159415333336,0.27296226584766664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000048052,3,True,True,0.41517651314133336,0.359047076337
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000048828,3,False,True,0.16469853595966666,0.15874413705433332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000049192,3,True,True,0.386834848141,0.35824945452466667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000049239,3,True,True,0.36995929928566668,0.31897273784366664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000049769,3,True,True,0.26688119634266666,0.24453560943166666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000057757,3,True,True,0.31143180954066668,0.31183648449233337
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000065717,3,True,True,0.28988231248133328,0.26479010924399998
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000067992,3,True,True,0.26119562726233331,0.23907855218666665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000068383,3,True,True,0.34515313925466667,0.33116641676233333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000070476,3,True,True,0.34691622545066664,0.30380986615666666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000075303,3,True,True,0.29681376215100003,0.26592601086900003
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000079332,3,False,True,0.19792796767366669,0.18502869284933335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000079385,3,True,True,0.42264228884566668,0.40698162953
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000081189,3,True,True,0.37754371426800004,0.32838507968433334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000091436,3,True,True,0.40326202924999999,0.36748041198499998
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000092871,3,True,True,0.39463145605,0.35787103317999996
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000093217,3,True,True,0.3109588820673333,0.28476054001000001
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000097033,3,True,True,0.28435957492433334,0.28981186252833335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000100889,3,True,True,0.33859918162933339,0.323846377352
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000103222,3,True,True,0.25488645687933331,0.24847667026066667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000103485,3,True,True,0.28088819630700002,0.27554816057000003
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000105063,3,True,True,0.34948752648266668,0.34926991132433338
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000105281,3,True,True,0.39195192795433331,0.32993914955166664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000106638,3,True,True,0.37993898003100002,0.34005197190666664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000106665,3,False,False,0.15670111443233334,0.15075258244333334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000107758,3,True,True,0.21212392697399998,0.212862851253
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000107796,3,True,True,0.31338299843166667,0.26590980483800003
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000108100,3,True,True,0.301869235964,0.28527567319966668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000110422,3,True,True,0.30163717619966662,0.281060500963
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000111911,3,True,True,0.24152530255466664,0.22900965514899999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000112200,3,True,True,0.26207000247599999,0.25493988979566667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000114416,3,False,True,0.20682777551533335,0.19219593580366667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000114446,3,True,True,0.38451672185266667,0.38318274061099999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000114450,3,True,True,0.3396173073803333,0.30121985216666669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000115271,3,True,True,0.35631099220700002,0.30452021702833332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000115295,3,False,False,0.19609135758600002,0.19446470282100001
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000115604,3,True,True,0.41536670381633334,0.368715615532
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000116791,3,True,True,0.36219472220133331,0.31839049461133334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000117394,3,True,True,0.35205901129,0.30522125404366668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000117640,3,True,True,0.30665966626899999,0.30120337065166664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000118785,3,True,True,0.38391517649733337,0.37339842153566666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000118961,3,True,True,0.38327754604199998,0.35827398989233333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000119844,3,True,True,0.27145469415966667,0.27690013813566666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000121904,3,True,True,0.28545464328666664,0.27505280476866667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000125459,3,True,True,0.28474568132299999,0.249775361606
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000125648,3,True,True,0.527380847155,0.45706267941899997
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000125730,3,True,True,0.28950340768366667,0.24449911580999997
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000126091,3,False,False,0.18353550476033334,0.18136007132099999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000126522,3,True,True,0.36407049110833328,0.33414870532866664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000126746,3,True,True,0.2361727333093333,0.22198534765466668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000127483,3,False,False,0.155428441487,0.14895113123666667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000130159,3,True,True,0.29372500891500003,0.27916647993266669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000130830,3,True,True,0.35653155162099998,0.33189327537899999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000131873,3,True,True,0.39070044061733333,0.32690516051566665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000133943,3,True,True,0.37737132465133333,0.34325111160766664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000135374,3,True,True,0.22170038598066666,0.210604729308
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000135482,3,False,False,0.20051566500233334,0.19550399426833331
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000135637,3,True,True,0.22514196353066665,0.23985353909600002
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000135709,3,True,True,0.35899273633133338,0.31499612955066669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000135905,3,True,True,0.39721442799266665,0.35529332902399996
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000136404,3,True,True,0.32645115736466668,0.28786781328833333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000136935,3,True,True,0.389776297419,0.33240665029033334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000137198,3,True,True,0.246913166702,0.21651581210699999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000137841,3,True,True,0.24936504821300001,0.25206838432033335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000137942,3,True,True,0.28026709693000001,0.25933499464533333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000138078,3,True,True,0.36640908855733328,0.33513305179866665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000138399,3,True,True,0.26323676581166666,0.25614278126599999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000138594,3,True,True,0.35448386598533332,0.37366031432633334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000140262,3,True,True,0.33546311139366664,0.31824801127899999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000140368,3,True,True,0.31327474109100001,0.29948443960333332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000141258,3,True,True,0.30231079354533336,0.31907237467999999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000141499,3,False,False,0.175641143528,0.169625370315
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000142945,3,True,True,0.34294111267999999,0.31529662476633336
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000143149,3,True,True,0.32755837454333331,0.31418664573600003
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000143653,3,True,True,0.30170826041600002,0.29655355543366668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000143862,3,True,True,0.24253354129933333,0.23003833085899997
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000144635,3,True,True,0.3126536012236667,0.29357953462899999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000146243,3,True,True,0.339658613858,0.30119329802833333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000146904,3,False,True,0.15996764961166668,0.16853291882300001
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000147437,3,True,True,0.29264533716500002,0.28462376847333332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000148384,3,True,True,0.19614976308866669,0.19431689899299998
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000148943,3,True,True,0.25521377542766666,0.25967331357366669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000150687,3,True,True,0.31689922250333336,0.29682339501433336
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000155016,3,True,True,0.29579056881299998,0.27650939863200003
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000156110,3,True,True,0.3924011728666667,0.40363940403866666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000156509,3,True,True,0.29539481839999998,0.26865792666466665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000158062,3,True,True,0.40738278073433332,0.369205573851
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000159263,3,True,True,0.28104199791099999,0.26268519314366667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000159339,3,True,True,0.29081599114700002,0.27775546220533331
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000160014,3,True,True,0.30829786096600004,0.30612825175466668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000160791,3,True,True,0.23443748027066666,0.21886939758033333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000162139,3,True,True,0.40956828072299994,0.38061714182566669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000162783,3,True,True,0.23862783233999998,0.238455345161
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000163577,3,True,True,0.39384682393700005,0.35015373255566667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000163806,3,True,True,0.32902134927733334,0.29829548717966664
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000164037,3,True,True,0.34535321241899997,0.30928014215133331
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000164484,3,True,True,0.40620222207999995,0.33969061567766667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000164822,3,False,False,0.192442588675,0.21007208203899999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000165795,3,True,True,0.30496818056133335,0.27626822730466666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000165813,3,True,True,0.42325596812999994,0.38383747504166665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000166016,3,True,True,0.37925088590000006,0.34604975611300004
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000166532,3,True,True,0.32065483628133334,0.289460727955
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000167112,3,True,True,0.30390337697733333,0.28797979736899998
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000167371,3,True,True,0.24129806369333331,0.22293811343633332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000168275,3,False,True,0.20154687037966665,0.18890374880833335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000168874,3,True,True,0.36747020731566665,0.37046303736466668
