quadrant,score_name,target_error,n_tasks,spearman
new_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,26,0.8707692307692306
new_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,26,0.5808547008547009
new_context_new_perturbation,predicted_magnitude_cpa,error_cpa_rmse,26,0.643076923076923
new_context_new_perturbation,predicted_magnitude_ridge,error_ridge_rmse,26,0.8393162393162392
new_context_new_perturbation,predicted_magnitude_mean,pair_mean_rmse,26,0.8488888888888889
new_context_new_perturbation,predicted_magnitude_max,pair_max_rmse,26,0.6478632478632478
new_context_seen_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,8,0.5952380952380953
new_context_seen_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,8,-0.3571428571428572
new_context_seen_perturbation,predicted_magnitude_cpa,error_cpa_rmse,8,0.3333333333333334
new_context_seen_perturbation,predicted_magnitude_ridge,error_ridge_rmse,8,0.9523809523809524
new_context_seen_perturbation,predicted_magnitude_mean,pair_mean_rmse,8,0.7619047619047621
new_context_seen_perturbation,predicted_magnitude_max,pair_max_rmse,8,0.3333333333333334
seen_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,54,0.3898989898989899
seen_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,54,0.4629311987802553
seen_context_new_perturbation,predicted_magnitude_cpa,error_cpa_rmse,54,0.3923384791309319
seen_context_new_perturbation,predicted_magnitude_ridge,error_ridge_rmse,54,0.650771869639794
seen_context_new_perturbation,predicted_magnitude_mean,pair_mean_rmse,54,0.6340766152086906
seen_context_new_perturbation,predicted_magnitude_max,pair_max_rmse,54,0.3923384791309319
seen_context_seen_perturbation_pair_holdout,cpa_ridge_disagreement_rmse,pair_mean_rmse,4,0.7999999999999999
seen_context_seen_perturbation_pair_holdout,cpa_ridge_disagreement_rmse,pair_max_rmse,4,1.0
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_cpa,error_cpa_rmse,4,0.39999999999999997
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_ridge,error_ridge_rmse,4,0.7999999999999999
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_mean,pair_mean_rmse,4,0.39999999999999997
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_max,pair_max_rmse,4,0.39999999999999997
