scope,target,comparator,unit,delta,ci95_low,ci95_high,p_gt_zero
Frangieh,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.011194129105613659,-0.029742039026346517,0.05784919551960011,0.6945
Lara_exvivo,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.03210814760686883,-0.017886550818621436,0.09593396603245646,0.822
Liang,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.010245952592419151,-0.11708101713271275,0.10758299738240161,0.5445
Santinha,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.15950709036019428,-0.07628824415124584,0.4256615019514221,0.913
Shifrut,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.11933705829054668,-0.04273742411731359,0.3394983202191024,0.919
Tian_CRISPRi,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,outer_fold_plus_perturbation_cluster,0.022853794459282713,-0.10243339702368555,0.16524922774546136,0.6225
six_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,fixed_six_datasets,0.05920769540248755,0.0005037000163039941,0.12275081154213532,0.9775
six_dataset_macro,error_two_predictor_mean_rmse,safeconf_frozen_pair_risk,dataset_population_plus_fold_plus_perturbation,0.05920769540248755,-0.0066659846547146365,0.15015544307515494,0.96
Frangieh,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.11571162110279931,-0.02832343992744428,0.27989182139889857,0.931
Lara_exvivo,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.21102667153818047,0.05993309842122273,0.3479831119380066,0.9995
Liang,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.13785174290768,-0.0814613130565373,0.3380826079438869,0.888
Santinha,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.1913984930751264,-0.0983030709014584,0.49400189797892463,0.895
Shifrut,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.12133796436122019,-0.07564349128113328,0.3585709884638463,0.8795
Tian_CRISPRi,error_two_predictor_mean_rmse,risk_model_disagreement,outer_fold_plus_perturbation_cluster,0.1520848182466144,-0.11065822703541664,0.41614197945725223,0.8685
six_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,fixed_six_datasets,0.15490188520527012,0.06283705848968493,0.2458649139086514,0.999
six_dataset_macro,error_two_predictor_mean_rmse,risk_model_disagreement,dataset_population_plus_fold_plus_perturbation,0.15490188520527012,0.05934999053542546,0.2513707230019281,0.999
Frangieh,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.10485818403678393,-0.036485152189963,0.25495302150597454,0.9265
Lara_exvivo,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.23962002192181217,0.08635169589913702,0.39843250892681376,1.0
Liang,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.13820377643145074,-0.06064568933456528,0.33344226906055224,0.918
Santinha,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.1538962306316875,-0.1602319472328756,0.42988169645315255,0.8065
Shifrut,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,-0.036016309272123216,-0.22537156469158076,0.25974191918211875,0.3745
Tian_CRISPRi,error_two_predictor_mean_rmse,baseline_predicted_magnitude,outer_fold_plus_perturbation_cluster,0.06747804939180566,-0.11459697866913682,0.2742135979637621,0.712
six_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,fixed_six_datasets,0.11133999219023615,0.02518603060145185,0.19977037338559547,0.9955
six_dataset_macro,error_two_predictor_mean_rmse,baseline_predicted_magnitude,dataset_population_plus_fold_plus_perturbation,0.11133999219023615,0.0007136331835318925,0.21507870850611724,0.9755
