score_name,score_label,top_fraction,n_records,aligned_rho,precision,random_expected_precision,enrichment,magnitude_enrichment_same_top_fraction,delta_enrichment_vs_magnitude_same_top_fraction,delta_rho_vs_magnitude_reference,interpretation
safeconf_full,SafeConf full,0.05,16114,0.3989332569577674,0.4739454094292804,0.0500186173513714,9.47538005898688,14.485921346723396,-5.010541287736515,-0.08644233042118843,below magnitude; keep as boundary evidence
safeconf_full,SafeConf full,0.1,16114,0.3989332569577674,0.4882133995037221,0.1000372347027429,4.880316823575049,6.486418548233164,-1.6061017246581155,-0.08644233042118843,below magnitude; keep as boundary evidence
safeconf_full,SafeConf full,0.2,16114,0.3989332569577674,0.4846416382252559,0.2000124115675809,2.4230578213967653,2.925663925194814,-0.5026061037980489,-0.08644233042118843,below magnitude; keep as boundary evidence
predicted_magnitude,Magnitude-only,0.05,16114,0.4853755873789558,0.7245657568238213,0.0500186173513714,14.485921346723396,14.485921346723396,0.0,0.0,chemical dominant baseline
predicted_magnitude,Magnitude-only,0.1,16114,0.4853755873789558,0.6488833746898263,0.1000372347027429,6.486418548233164,6.486418548233164,0.0,0.0,chemical dominant baseline
predicted_magnitude,Magnitude-only,0.2,16114,0.4853755873789558,0.5851690971144896,0.2000124115675809,2.925663925194814,2.925663925194814,0.0,0.0,chemical dominant baseline
combined_equal,Combined equal,0.05,16114,0.489050544502504,0.5744416873449132,0.0500186173513714,11.484557506049542,14.485921346723396,-3.0013638406738536,0.003674957123548206,below magnitude; keep as boundary evidence
combined_equal,Combined equal,0.1,16114,0.489050544502504,0.5732009925558312,0.1000372347027429,5.729876423104631,6.486418548233164,-0.7565421251285329,0.003674957123548206,below magnitude; keep as boundary evidence
combined_equal,Combined equal,0.2,16114,0.489050544502504,0.5609680421967111,0.2000124115675809,2.804666159465654,2.925663925194814,-0.1209977657291601,0.003674957123548206,below magnitude; keep as boundary evidence
combined_magnitude75,Combined 75% magnitude,0.05,16114,0.503299428530534,0.6464019851116626,0.0500186173513714,12.92322777678577,14.485921346723396,-1.5626935699376254,0.01792384115157819,below magnitude; keep as boundary evidence
combined_magnitude75,Combined 75% magnitude,0.1,16114,0.503299428530534,0.6265508684863523,0.1000372347027429,6.263176609670646,6.486418548233164,-0.22324193856251817,0.01792384115157819,below magnitude; keep as boundary evidence
combined_magnitude75,Combined 75% magnitude,0.2,16114,0.503299428530534,0.5842382873099596,0.2000124115675809,2.921010164974461,2.925663925194814,-0.004653760220353131,0.01792384115157819,below magnitude; keep as boundary evidence
combined_safeconf75,Combined 75% SafeConf,0.05,16114,0.4527984131068084,0.5421836228287841,0.0500186173513714,10.839636350202268,14.485921346723396,-3.6462849965211284,-0.0325771742721474,below magnitude; keep as boundary evidence
combined_safeconf75,Combined 75% SafeConf,0.1,16114,0.4527984131068084,0.5241935483870968,0.1000372347027429,5.239984391259105,6.486418548233164,-1.2464341569740593,-0.0325771742721474,below magnitude; keep as boundary evidence
combined_safeconf75,Combined 75% SafeConf,0.2,16114,0.4527984131068084,0.5187713310580204,0.2000124115675809,2.593695696143016,2.925663925194814,-0.33196822905179824,-0.0325771742721474,below magnitude; keep as boundary evidence
