perturbation,mse,pearson,mse_de,pearson_de
APOD+ctrl,0.001112378784455359,0.9967742429580969,0.0011113255750387907,0.9924893655576199
B2M+ctrl,0.0019419598393142223,0.9942893542631795,0.004964010789990425,0.9871551946110629
BOLA2B+ctrl,0.0016455425648018718,0.9951221222601706,0.0018665909301489592,0.994326880991012
CD63+ctrl,0.0022776909172534943,0.9933407466102082,0.012805466540157795,0.976277211368803
CDK4+ctrl,0.0012444438179954886,0.9963315820107965,0.008133206516504288,0.9872229377089983
DDR1+ctrl,0.001133351936005056,0.9966711941072429,0.0024981372989714146,0.9497239572517969
DDX39A+ctrl,0.0015724067343398929,0.9953683053338095,0.01096010860055685,0.9773994739784354
EEA1+ctrl,0.0014463650295510888,0.995824003076203,0.0034148916602134705,0.9879058234975611
ENPP1+ctrl,0.0011790524004027247,0.996523139157968,0.0017444631084799767,0.9943594030885666
HLA-B+ctrl,0.0018009035848081112,0.9946778808851943,0.010779979638755322,0.9929937175653814
IRF4+ctrl,0.0012813209323212504,0.9962500250824534,0.0023515208158642054,0.9862371101769272
JAK1+ctrl,0.003976164851337671,0.9885275396602194,0.1824180781841278,0.9425770367612628
JAK2+ctrl,0.003252125345170498,0.9905843815789179,0.1471671164035797,0.9632660539324964
KLF4+ctrl,0.0011954319197684526,0.9964793538076846,0.002573341364040971,0.9939751505946923
LRPAP1+ctrl,0.0012053262908011675,0.9964329110156748,0.019758831709623337,0.9653612251307836
NOLC1+ctrl,0.002325681736692786,0.9930845320211044,0.0011607827618718147,0.4150460632292671
NSG1+ctrl,0.0011311121052131057,0.9966555735932126,0.004104975610971451,0.9907547145065363
PSAP+ctrl,0.001188941183499992,0.9965239379963807,0.006760218180716038,0.9834845731495229
S100A6+ctrl,0.001186619745567441,0.9964914184660628,0.0020051233004778624,0.9983824990029567
SAT1+ctrl,0.0015296036144718528,0.9954889955123666,0.003525160253047943,0.9952109087987565
SDCBP+ctrl,0.0011951574124395847,0.9964785550257197,0.017010610550642014,0.9444635546193313
SET+ctrl,0.001641955110244453,0.9951696099285007,0.02253314107656479,0.9732355351174306
SHMT2+ctrl,0.0014580793213099241,0.9957078822419106,0.007585398852825165,0.9801144607021354
STOM+ctrl,0.0011601384030655026,0.9965695882541745,0.006004771217703819,0.981553859785233
