panel,n_obs,n_vars,obs_order_equal,var_order_equal,max_abs_X_delta,max_abs_X_pca_delta,max_abs_pca_mean_delta,max_abs_pca_components_delta,max_abs_y_n_delta,max_abs_y_d_delta,max_abs_y_s_delta,comparison_target
Norman_P3,44132,2044,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E156_attempt2_valid_assets_missing_runner_provenance
Norman_P4,44132,2044,true,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E156_attempt2_valid_assets_missing_runner_provenance
